group,run_name,run_dir,seed,strategy,network_type,router_mode,variant,display_label,train_accuracy,valid_accuracy,test_accuracy,router_mean_max_assignment,router_assignment_entropy
cue_hard_fixed_additive_localca,cue_hard_fixed_additive_localca_s42,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_cue_routing_seed_repeats_20260306232402/results/config_0,42,local_ca,dendritic_additive,fixed,baseline,"Fixed
Additive",0.9911250472068787,0.9940000176429749,0.9910000562667847,,
cue_hard_fixed_additive_localca,cue_hard_fixed_additive_localca_s43,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_cue_routing_seed_repeats_20260306232402/results/config_1,43,local_ca,dendritic_additive,fixed,baseline,"Fixed
Additive",0.9938750267028809,0.9950000643730164,0.987000048160553,,
cue_hard_learned_additive_localca,cue_hard_learned_additive_localca_s42,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_cue_routing_seed_repeats_20260306232402/results/config_10,42,local_ca,dendritic_additive,learned,baseline,"Learned
Additive",0.9905000329017639,0.9950000643730164,0.9920000433921814,0.9999086856842041,0.0008350287098437548
cue_hard_learned_additive_localca,cue_hard_learned_additive_localca_s43,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_cue_routing_seed_repeats_20260306232402/results/config_11,43,local_ca,dendritic_additive,learned,baseline,"Learned
Additive",0.9912500381469727,0.9920000433921814,0.984000027179718,0.9999881386756897,0.00012766430154442787
cue_hard_learned_additive_localca,cue_hard_learned_additive_localca_s44,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_cue_routing_seed_repeats_20260306232402/results/config_12,44,local_ca,dendritic_additive,learned,baseline,"Learned
Additive",0.9453750252723694,0.9460000395774841,0.9390000700950623,0.9175578951835632,0.1995803713798523
cue_hard_learned_additive_localca,cue_hard_learned_additive_localca_s45,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_cue_routing_seed_repeats_20260306232402/results/config_13,45,local_ca,dendritic_additive,learned,baseline,"Learned
Additive",0.9933750629425049,0.9950000643730164,0.9940000176429749,0.9999970197677612,4.113867544219829e-05
cue_hard_learned_additive_localca,cue_hard_learned_additive_localca_s46,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_cue_routing_seed_repeats_20260306232402/results/config_14,46,local_ca,dendritic_additive,learned,baseline,"Learned
Additive",0.9903750419616699,0.9920000433921814,0.9950000643730164,0.999980092048645,0.00021798282978124917
cue_hard_learned_shunting_localca,cue_hard_learned_shunting_localca_s42,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_cue_routing_seed_repeats_20260306232402/results/config_15,42,local_ca,dendritic_shunting,learned,baseline,"Learned
Shunting
per-soma",0.7502500414848328,0.7750000357627869,0.7270000576972961,0.9592829942703247,0.14054082334041595
cue_hard_learned_shunting_localca,cue_hard_learned_shunting_localca_s43,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_cue_routing_seed_repeats_20260306232402/results/config_16,43,local_ca,dendritic_shunting,learned,baseline,"Learned
Shunting
per-soma",0.9936250448226929,0.9950000643730164,0.9890000224113464,0.9901372194290161,0.04015941545367241
cue_hard_learned_shunting_localca,cue_hard_learned_shunting_localca_s44,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_cue_routing_seed_repeats_20260306232402/results/config_17,44,local_ca,dendritic_shunting,learned,baseline,"Learned
Shunting
per-soma",0.9777500629425049,0.9850000739097595,0.9740000367164612,0.9994250535964966,0.0038022419903427362
