group,strategy,network_type,router_mode,variant,display_label,n_seeds,run_name,run_dir,train_accuracy,train_accuracy_std,valid_accuracy,valid_accuracy_std,test_accuracy,test_accuracy_std,test_accuracy_min,test_accuracy_max,router_mean_max_assignment,router_mean_max_assignment_std,router_assignment_entropy,router_assignment_entropy_std
cue_hard_fixed_additive_localca,local_ca,dendritic_additive,fixed,baseline,"Fixed
Additive",5,cue_hard_fixed_additive_localca_s42,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_cue_routing_seed_repeats_20260306232402/results/config_0,0.9920000314712525,0.0013749978759360318,0.9934000372886658,0.0011401816566053982,0.990600049495697,0.003209369204051935,0.987000048160553,0.9950000643730164,,,,
cue_hard_fixed_shunting_localca,local_ca,dendritic_shunting,fixed,baseline,"Fixed
Shunting",5,cue_hard_fixed_shunting_localca_s46,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_cue_routing_seed_repeats_20260306232402/results/config_9,0.9281250476837158,0.0552441183909162,0.9322000503540039,0.055827412079883044,0.9284000277519227,0.06087939917944214,0.8600000143051147,0.9930000305175781,,,,
cue_hard_learned_additive_localca,local_ca,dendritic_additive,learned,baseline,"Learned
Additive",5,cue_hard_learned_additive_localca_s43,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_cue_routing_seed_repeats_20260306232402/results/config_11,0.9821750402450562,0.02060693286384362,0.984000051021576,0.02129554655951764,0.9808000445365905,0.02376340453280068,0.9390000700950623,0.9950000643730164,0.9834863662719726,0.03685515240862101,0.04016043717929278,0.08911899888349425
cue_hard_learned_shunting_localca,local_ca,dendritic_shunting,learned,baseline,"Learned
Shunting
per-soma",5,cue_hard_learned_shunting_localca_s45,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_cue_routing_seed_repeats_20260306232402/results/config_18,0.8339750409126282,0.13978026319789194,0.8470000386238098,0.13237072032498234,0.8262000322341919,0.1422627822660681,0.706000030040741,0.9890000224113464,0.9775055050849915,0.027004062481547037,0.07197165801189839,0.0789473230520737
cue_hard_learned_shunting_localca_e140,local_ca,dendritic_shunting,learned,baseline_e140,"Learned
Shunting
per-soma
140 ep",5,cue_hard_learned_shunting_localca_e140_s45,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_cue_routing_tuning_20260307000918/results/config_3,0.8343250393867493,0.14064063128492774,0.8468000411987304,0.1317467385881885,0.8250000357627869,0.14146025972398504,0.706000030040741,0.9850000739097595,0.9661165237426758,0.04316159569149797,0.09290697607211769,0.10695388588296469
cue_hard_learned_shunting_localca_lr10_e140,local_ca,dendritic_shunting,learned,baseline_tuned,"Learned
Shunting
per-soma
+ tune",5,cue_hard_learned_shunting_localca_lr10_e140_s43,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_cue_routing_tuning_20260307000918/results/config_6,0.8907750248908997,0.13143176319676197,0.9014000415802002,0.12275506099360102,0.8824000239372254,0.13916645145848866,0.7250000238418579,0.984000027179718,0.9817169070243835,0.028176436692238908,0.057579837121011224,0.07760429257605722
cue_hard_learned_shunting_localca_freeze20,local_ca,dendritic_shunting,learned,freeze20,"Learned
Shunting
freeze-20",5,cue_hard_learned_shunting_localca_freeze20_s44,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_cue_routing_seed_repeats_20260306232402/results/config_27,0.8414000391960144,0.1308374266760827,0.854200029373169,0.12597302564113658,0.8376000404357911,0.1385254602896548,0.7260000109672546,0.9920000433921814,0.9812562465667725,0.017391991277720033,0.06573170748888515,0.06026798669716857
cue_hard_learned_shunting_localca_pathway_vector_e140,local_ca,dendritic_shunting,learned,pathway_vector_e140,"Learned
Shunting
pathway-vector
140 ep",5,cue_hard_learned_shunting_localca_pathway_vector_e140_s42,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_cue_routing_tuning_20260307000918/results/config_10,0.9919000506401062,0.0014932166081338745,0.9940000534057617,0.003316613540222619,0.9896000385284424,0.004335891717924705,0.9860000610351562,0.9970000386238098,0.9928022980690002,0.008461768828422773,0.030318095730035566,0.03334211236492338
cue_hard_learned_shunting_localca_pathway_vector,local_ca,dendritic_shunting,learned,pathway_vector_hierarchical,"Learned
Shunting
pathway-vector",5,cue_hard_learned_shunting_localca_pathway_vector_s43,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_cue_routing_seed_repeats_20260306232402/results/config_31,0.9373750329017639,0.12207787116612843,0.9356000542640686,0.12948474720638842,0.9404000520706177,0.11040064624544682,0.7430000305175781,0.9950000643730164,0.9933196783065796,0.007867969551843042,0.028477647362160498,0.03139972018474158
cue_hard_learned_shunting_localca_pathway_vector_lr10_e140,local_ca,dendritic_shunting,learned,pathway_vector_tuned,"Learned
Shunting
pathway-vector
+ tune",5,cue_hard_learned_shunting_localca_pathway_vector_lr10_e140_s42,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_cue_routing_tuning_20260307000918/results/config_15,0.9916500329971314,0.000777611928834972,0.993600046634674,0.0015165830751067834,0.991200041770935,0.003346642435786166,0.9890000224113464,0.9970000386238098,0.9947469592094421,0.008235960379114254,0.02093407476786524,0.027512247927918315
