effect,dataset,error_broadcast_mode,ie_value,value
claimA_shunting_minus_additive,info_shunting,local_mismatch,0,0.0
claimA_shunting_minus_additive,info_shunting,local_mismatch,2,0.004800009727478072
claimA_shunting_minus_additive,info_shunting,local_mismatch,5,0.011600011587142967
claimA_shunting_minus_additive,info_shunting,local_mismatch,10,0.011600011587142967
claimA_shunting_minus_additive,info_shunting,local_mismatch,20,0.011600011587142967
claimA_shunting_minus_additive,info_shunting,local_mismatch,30,0.011600011587142967
claimA_shunting_minus_additive,info_shunting,local_mismatch,40,0.011600011587142967
claimA_shunting_minus_additive,info_shunting,per_soma,0,0.11255001723766334
claimA_shunting_minus_additive,info_shunting,per_soma,2,0.11900001764297491
claimA_shunting_minus_additive,info_shunting,per_soma,5,0.12323335111141204
claimA_shunting_minus_additive,info_shunting,per_soma,10,0.128100014726321
claimA_shunting_minus_additive,info_shunting,per_soma,20,0.128100014726321
claimA_shunting_minus_additive,info_shunting,per_soma,30,0.128100014726321
claimA_shunting_minus_additive,info_shunting,per_soma,40,0.128100014726321
claimA_shunting_minus_additive,info_shunting,scalar,0,0.0
claimA_shunting_minus_additive,info_shunting,scalar,2,0.009600007534027122
claimA_shunting_minus_additive,info_shunting,scalar,5,0.009600007534027122
claimA_shunting_minus_additive,info_shunting,scalar,10,0.009600007534027122
claimA_shunting_minus_additive,info_shunting,scalar,20,0.009600007534027122
claimA_shunting_minus_additive,info_shunting,scalar,30,0.009600007534027122
claimA_shunting_minus_additive,info_shunting,scalar,40,0.009600007534027122
claimA_shunting_minus_additive,noise_resilience,local_mismatch,0,-0.009600001573562611
claimA_shunting_minus_additive,noise_resilience,local_mismatch,2,-0.005599999427795377
claimA_shunting_minus_additive,noise_resilience,local_mismatch,5,-0.005599999427795377
claimA_shunting_minus_additive,noise_resilience,local_mismatch,10,-0.006800001859664895
claimA_shunting_minus_additive,noise_resilience,local_mismatch,20,0.0
claimA_shunting_minus_additive,noise_resilience,local_mismatch,30,-0.006999999284744263
claimA_shunting_minus_additive,noise_resilience,local_mismatch,40,-0.005599999427795377
claimA_shunting_minus_additive,noise_resilience,per_soma,0,0.17083334177732468
claimA_shunting_minus_additive,noise_resilience,per_soma,2,0.1400500034292539
claimA_shunting_minus_additive,noise_resilience,per_soma,5,0.1637166773279507
claimA_shunting_minus_additive,noise_resilience,per_soma,10,0.35010002702474596
claimA_shunting_minus_additive,noise_resilience,per_soma,20,0.3371833518147468
claimA_shunting_minus_additive,noise_resilience,per_soma,30,0.2704166834553082
claimA_shunting_minus_additive,noise_resilience,per_soma,40,0.29731667886177704
claimA_shunting_minus_additive,noise_resilience,scalar,0,0.0
claimA_shunting_minus_additive,noise_resilience,scalar,2,-0.005199998617172241
claimA_shunting_minus_additive,noise_resilience,scalar,5,0.0
claimA_shunting_minus_additive,noise_resilience,scalar,10,0.0
claimA_shunting_minus_additive,noise_resilience,scalar,20,0.05899999737739564
claimA_shunting_minus_additive,noise_resilience,scalar,30,0.06319999694824219
claimA_shunting_minus_additive,noise_resilience,scalar,40,-0.005199998617172241
