network_type,branch_factors,depth,branch_product,ie,test_acc_mean,test_acc_std
dendritic_additive,"[2, 2, 2]",3,8,0,0.39400002360343933,0.10243048588151857
dendritic_additive,"[2, 2, 2]",3,8,5,0.33900001645088196,0.020663976929459895
dendritic_additive,"[2, 2, 2]",3,8,10,0.33900001645088196,0.020663976929459895
dendritic_additive,"[2, 2, 2]",3,8,20,0.33900001645088196,0.020663976929459895
dendritic_additive,"[2, 2, 2]",3,8,40,0.33900001645088196,0.020663976929459895
dendritic_additive,"[2, 2]",2,4,0,0.34833334883054096,0.006658320724221431
dendritic_additive,"[2, 2]",2,4,5,0.33900001645088196,0.020663976929459895
dendritic_additive,"[2, 2]",2,4,10,0.33900001645088196,0.020663976929459895
dendritic_additive,"[2, 2]",2,4,20,0.3323333462079366,0.020984115691772005
dendritic_additive,"[2, 2]",2,4,40,0.33900001645088196,0.020663976929459895
dendritic_additive,"[3, 3, 3]",3,27,0,0.34833334883054096,0.006658320724221431
dendritic_additive,"[3, 3, 3]",3,27,5,0.3323333462079366,0.020984115691772012
dendritic_additive,"[3, 3, 3]",3,27,10,0.33900001645088196,0.020663976929459895
dendritic_additive,"[3, 3, 3]",3,27,20,0.3323333462079366,0.020984115691772012
dendritic_additive,"[3, 3, 3]",3,27,40,0.3323333462079366,0.020984115691772012
dendritic_additive,"[3, 3]",2,9,0,0.34833334883054096,0.006658320724221431
dendritic_additive,"[3, 3]",2,9,5,0.34833334883054096,0.006658320724221431
dendritic_additive,"[3, 3]",2,9,10,0.34833334883054096,0.006658320724221431
dendritic_additive,"[3, 3]",2,9,20,0.44366668661435443,0.16234635655400748
dendritic_additive,"[3, 3]",2,9,40,0.4476666748523712,0.16926999987595606
dendritic_additive,"[4, 4]",2,16,0,0.37933334708213806,0.07767453923014593
dendritic_additive,"[4, 4]",2,16,5,0.3323333462079366,0.020984115691772012
dendritic_additive,"[4, 4]",2,16,10,0.3323333462079366,0.020984115691772012
dendritic_additive,"[4, 4]",2,16,20,0.3323333462079366,0.020984115691772012
dendritic_additive,"[4, 4]",2,16,40,0.3323333462079366,0.020984115691772012
dendritic_shunting,"[2, 2, 2]",3,8,0,0.5553333659966787,0.18319481370066343
dendritic_shunting,"[2, 2, 2]",3,8,5,0.5250000158945719,0.15875452867791848
dendritic_shunting,"[2, 2, 2]",3,8,10,0.4293333391348521,0.1375402915737163
dendritic_shunting,"[2, 2, 2]",3,8,20,0.34833334883054096,0.006658320724221431
dendritic_shunting,"[2, 2, 2]",3,8,40,0.34833334883054096,0.006658320724221431
dendritic_shunting,"[2, 2]",2,4,0,0.5616666873296102,0.1782704073458159
dendritic_shunting,"[2, 2]",2,4,5,0.4440000156561534,0.18812762491923285
dendritic_shunting,"[2, 2]",2,4,10,0.33900001645088196,0.020663976929459895
dendritic_shunting,"[2, 2]",2,4,20,0.34833334883054096,0.006658320724221431
dendritic_shunting,"[2, 2]",2,4,40,0.3323333462079366,0.020984115691772012
dendritic_shunting,"[3, 3, 3]",3,27,0,0.4426666895548503,0.19116051211638088
dendritic_shunting,"[3, 3, 3]",3,27,5,0.5556666851043701,0.17379970499922057
dendritic_shunting,"[3, 3, 3]",3,27,10,0.44566668073336285,0.1909982607200167
dendritic_shunting,"[3, 3, 3]",3,27,20,0.33900001645088196,0.020663976929459895
dendritic_shunting,"[3, 3, 3]",3,27,40,0.4446666936079661,0.18927584095742556
dendritic_shunting,"[3, 3]",2,9,0,0.5650000174840292,0.19052557919700436
dendritic_shunting,"[3, 3]",2,9,5,0.45233334104220074,0.1773480548077378
dendritic_shunting,"[3, 3]",2,9,10,0.44200002153714496,0.1846835318447294
dendritic_shunting,"[3, 3]",2,9,20,0.3323333462079366,0.020984115691772005
dendritic_shunting,"[3, 3]",2,9,40,0.3323333462079366,0.020984115691772012
dendritic_shunting,"[4, 4]",2,16,0,0.6613333622614542,0.012583076971298946
dendritic_shunting,"[4, 4]",2,16,5,0.44800002376238507,0.19501797053599546
dendritic_shunting,"[4, 4]",2,16,10,0.45933335026105243,0.18946592976025653
dendritic_shunting,"[4, 4]",2,16,20,0.3323333462079366,0.020984115691772012
dendritic_shunting,"[4, 4]",2,16,40,0.3323333462079366,0.020984115691772012
