dataset,network_type,ie_value,error_broadcast_mode,n_runs,train_accuracy_mean,train_accuracy_std,valid_accuracy_mean,valid_accuracy_std,test_accuracy_mean,test_accuracy_std
mnist,dendritic_additive,0,path_transport,3,0.9414999882380167,0.001245307650616944,0.9320277770360311,0.001954914417225612,0.9346332947413126,0.0005033150261734593
mnist,dendritic_additive,5,path_transport,3,0.9474861025810242,0.0019273328691925425,0.9382499853769938,0.0025426776861815145,0.9399999777475992,0.003251126634129352
mnist,dendritic_additive,10,path_transport,3,0.9543055295944214,0.0016218485364636033,0.9426944454511007,0.002744094094864172,0.9441999594370524,0.002381188327327491
mnist,dendritic_additive,20,path_transport,3,0.9590972264607748,0.0009900425520890188,0.944694439570109,0.0023780211907908112,0.9455666343371073,0.0021385585180678374
mnist,dendritic_additive,40,path_transport,3,0.9615069230397543,0.0010876101920947363,0.9433888792991638,0.0015418617852678885,0.9459999601046244,0.000529147955460725
mnist,dendritic_shunting,0,path_transport,3,0.9801041682561239,0.000791380640366397,0.9625277717908224,0.00186401269428691,0.9658999840418497,0.0015874326016968106
mnist,dendritic_shunting,5,path_transport,3,0.9824722011884054,0.0032268256522697504,0.9638055562973022,0.0006938956404472134,0.9659666617711385,0.0007767501819351592
mnist,dendritic_shunting,10,path_transport,3,0.9823472102483114,0.0016096187389719628,0.9651666482289633,0.0009013886125731034,0.9665666619936625,0.0003511873315040214
mnist,dendritic_shunting,20,path_transport,3,0.9839166402816772,0.0024644242192035748,0.9655277729034424,0.001586258634255768,0.9678999582926432,0.0014000066689104193
mnist,dendritic_shunting,40,path_transport,3,0.9857152501742045,0.0003658089400969325,0.9675833185513815,0.0006614236799389712,0.9681666294733683,0.0010016529791532281
noise_resilience,dendritic_additive,0,path_transport,3,0.8272083600362142,0.01082266223977149,0.765333374341329,0.015502667130952077,0.7560000419616699,0.009539387915314062
noise_resilience,dendritic_additive,5,path_transport,3,0.9364167054494222,0.004476213458284985,0.8576667110125223,0.012342337103361722,0.8586666981379191,0.012423092758042884
noise_resilience,dendritic_additive,10,path_transport,3,0.9635833899180094,0.0009042753872238058,0.8866667151451111,0.022898312746527115,0.8876667022705078,0.00971253357157315
noise_resilience,dendritic_additive,20,path_transport,3,0.9967500567436218,0.0015155525977936996,0.9636667172114054,0.008082917691091259,0.9626667102177938,0.005859479694738833
noise_resilience,dendritic_additive,40,path_transport,3,1.0,0.0,0.9813333749771118,0.01457166527953962,0.9850000341733297,0.0036055379181425397
noise_resilience,dendritic_shunting,0,path_transport,3,1.0,0.0,0.9953333735466003,0.001527531579136392,0.9930000503857931,0.0017320629208595977
noise_resilience,dendritic_shunting,5,path_transport,3,1.0,0.0,0.9906667073567709,0.002309405756893567,0.9903333783149719,0.0020816726041946974
noise_resilience,dendritic_shunting,10,path_transport,3,1.0,0.0,0.9903333783149719,0.0037859242660678825,0.9850000540415446,0.0029999911785619305
noise_resilience,dendritic_shunting,20,path_transport,3,1.0,0.0,0.9923333724339803,0.0005773428360339693,0.9880000551541647,0.0029999911785619305
noise_resilience,dendritic_shunting,40,path_transport,3,1.0,0.0,0.9856666922569275,0.005773497185855025,0.987000048160553,0.004358897521483714
