panel,record,rule,severity,mean,ci_low,ci_high,n,forward,metric,seed,value,comparison,rate_scope,task
B,stress mean,exact,1.0,9.777268681497116e-05,8.594913687421892e-05,0.0001107759505437,20.0,,,,,,,
B,stress mean,exact,1.5,0.000103700834658,9.183950172969764e-05,0.0001169251899175,20.0,,,,,,,
B,stress mean,exact,2.0,0.0001092619706286,9.686795669134808e-05,0.0001227797102314,20.0,,,,,,,
B,stress mean,exact,2.5,0.000114412271842,0.0001014395861681,0.0001284697012117,20.0,,,,,,,
B,stress mean,exact,3.0,0.0001191262441904,0.0001056034286907,0.0001337389779823,20.0,,,,,,,
B,stress mean,broadcast,1.0,0.0001585113673782,0.0001418575088471,0.0001759664116451,20.0,,,,,,,
B,stress mean,broadcast,1.5,0.000434575037417,0.0003832771421,0.0004995257991694,20.0,,,,,,,
B,stress mean,broadcast,2.0,0.0020320821597341,0.0017505248652261,0.00238093635297,20.0,,,,,,,
B,stress mean,broadcast,2.5,0.0056415321381737,0.0047803675958788,0.0066713524882771,20.0,,,,,,,
B,stress mean,broadcast,3.0,0.0105060115352738,0.0087673450126214,0.0125581985423588,20.0,,,,,,,
B,stress mean,resistance,1.0,9.634285835832728e-05,8.151687941123627e-05,0.0001113505042074,20.0,,,,,,,
B,stress mean,resistance,1.5,0.000103093995189,8.706717254946008e-05,0.0001194879300879,20.0,,,,,,,
B,stress mean,resistance,2.0,0.0001095737600408,9.24440805760122e-05,0.0001272763005148,20.0,,,,,,,
B,stress mean,resistance,2.5,0.0001157016319978,9.746148008976916e-05,0.0001346116932032,20.0,,,,,,,
B,stress mean,resistance,3.0,0.0001212789862259,0.0001022836101134,0.0001411234067725,20.0,,,,,,,
B,stress mean,swapped,1.0,0.0009943810666843,0.000840485477258,0.0011504254508919,20.0,,,,,,,
B,stress mean,swapped,1.5,0.0021833798268951,0.0017282042377703,0.0027096306805471,20.0,,,,,,,
B,stress mean,swapped,2.0,0.0093549021244285,0.0064326263413319,0.0129747736807532,20.0,,,,,,,
B,stress mean,swapped,2.5,0.0284104879732757,0.0183170701308858,0.0407734808796315,20.0,,,,,,,
B,stress mean,swapped,3.0,0.0601664250190654,0.03760748437915,0.0877696027796931,20.0,,,,,,,
B,stress mean,uniform_rms,1.0,0.000153653963873,0.0001391626138145,0.0001689569284452,20.0,,,,,,,
B,stress mean,uniform_rms,1.5,0.0004074875988237,0.0003691348508735,0.0004479507274481,20.0,,,,,,,
B,stress mean,uniform_rms,2.0,0.0018949634473313,0.0016698351803193,0.0021429611829651,20.0,,,,,,,
B,stress mean,uniform_rms,2.5,0.0052354681887076,0.0045361543667531,0.0060256070813744,20.0,,,,,,,
B,stress mean,uniform_rms,3.0,0.0097162050815134,0.0082854291507639,0.0113245221742541,20.0,,,,,,,
C,mean and bootstrap interval,exact,,0.00011912624419039682,0.0001053449132747194,0.00013365430221944598,20.0,shunt,ood_3.0,,,,,
C,seed outcome,exact,,,,,,shunt,ood_3.0,2026092200.0,9.993975398233904e-05,,,
C,seed outcome,exact,,,,,,shunt,ood_3.0,2026092201.0,6.584924574506431e-05,,,
C,seed outcome,exact,,,,,,shunt,ood_3.0,2026092202.0,9.363593947231642e-05,,,
C,seed outcome,exact,,,,,,shunt,ood_3.0,2026092203.0,0.0001506335737798,,,
C,seed outcome,exact,,,,,,shunt,ood_3.0,2026092204.0,0.0001130357561771,,,
C,seed outcome,exact,,,,,,shunt,ood_3.0,2026092205.0,0.0001622882576439,,,
C,seed outcome,exact,,,,,,shunt,ood_3.0,2026092206.0,9.04219797871846e-05,,,
C,seed outcome,exact,,,,,,shunt,ood_3.0,2026092207.0,0.0001327464905457,,,
C,seed outcome,exact,,,,,,shunt,ood_3.0,2026092208.0,9.269077101725828e-05,,,
C,seed outcome,exact,,,,,,shunt,ood_3.0,2026092209.0,7.443311358655528e-05,,,
C,seed outcome,exact,,,,,,shunt,ood_3.0,2026092210.0,0.0001254156142471,,,
C,seed outcome,exact,,,,,,shunt,ood_3.0,2026092211.0,0.0001312437774164,,,
C,seed outcome,exact,,,,,,shunt,ood_3.0,2026092212.0,0.0001984157516407,,,
C,seed outcome,exact,,,,,,shunt,ood_3.0,2026092213.0,9.971020648896147e-05,,,
C,seed outcome,exact,,,,,,shunt,ood_3.0,2026092214.0,8.43810626980572e-05,,,
C,seed outcome,exact,,,,,,shunt,ood_3.0,2026092215.0,0.000148103157469,,,
C,seed outcome,exact,,,,,,shunt,ood_3.0,2026092216.0,0.0001379582771872,,,
C,seed outcome,exact,,,,,,shunt,ood_3.0,2026092217.0,0.0001156894285966,,,
C,seed outcome,exact,,,,,,shunt,ood_3.0,2026092218.0,0.0001531698907762,,,
C,seed outcome,exact,,,,,,shunt,ood_3.0,2026092219.0,0.0001127628355505,,,
C,mean and bootstrap interval,broadcast,,0.01050601153527379,0.0087532106990197,0.012519980061403934,20.0,shunt,ood_3.0,,,,,
C,seed outcome,broadcast,,,,,,shunt,ood_3.0,2026092200.0,0.0152486095705045,,,
C,seed outcome,broadcast,,,,,,shunt,ood_3.0,2026092201.0,0.0100488159064166,,,
C,seed outcome,broadcast,,,,,,shunt,ood_3.0,2026092202.0,0.0055978438760745,,,
C,seed outcome,broadcast,,,,,,shunt,ood_3.0,2026092203.0,0.0061612877598202,,,
C,seed outcome,broadcast,,,,,,shunt,ood_3.0,2026092204.0,0.0084317043641213,,,
C,seed outcome,broadcast,,,,,,shunt,ood_3.0,2026092205.0,0.0085867303752323,,,
C,seed outcome,broadcast,,,,,,shunt,ood_3.0,2026092206.0,0.0095081352081808,,,
C,seed outcome,broadcast,,,,,,shunt,ood_3.0,2026092207.0,0.0095333210110024,,,
C,seed outcome,broadcast,,,,,,shunt,ood_3.0,2026092208.0,0.0094767626046968,,,
C,seed outcome,broadcast,,,,,,shunt,ood_3.0,2026092209.0,0.01728444591543,,,
C,seed outcome,broadcast,,,,,,shunt,ood_3.0,2026092210.0,0.0153118378413194,,,
C,seed outcome,broadcast,,,,,,shunt,ood_3.0,2026092211.0,0.0132235867468344,,,
C,seed outcome,broadcast,,,,,,shunt,ood_3.0,2026092212.0,0.0083155634661889,,,
C,seed outcome,broadcast,,,,,,shunt,ood_3.0,2026092213.0,0.0079038383285236,,,
C,seed outcome,broadcast,,,,,,shunt,ood_3.0,2026092214.0,0.0235759624731625,,,
C,seed outcome,broadcast,,,,,,shunt,ood_3.0,2026092215.0,0.0073446217170696,,,
C,seed outcome,broadcast,,,,,,shunt,ood_3.0,2026092216.0,0.0087639636341892,,,
C,seed outcome,broadcast,,,,,,shunt,ood_3.0,2026092217.0,0.0053069271709625,,,
