artifact	origin	origin_sha256	journal_copy	journal_modification
feedback sweep YAML	drafts/dendritic-local-learning/configs/sweeps/sweep_rebuttal_feedback_definition_3f_mnist_extra10seed.yaml	f0941d5c34a80a5f2d43a6e1583db1dbe198041038ac037540cffae7cb7a9f29	configs/regular_tree/feedback_definition_extra10_seeds_portable.yaml	private output and data paths replaced
exact-transport sweep YAML	drafts/dendritic-local-learning/configs/sweeps/sweep_revision_exact_transport_factorial_mnist_5seed.yaml	f474d492091adbda7993386ffd1dbb726242063aeacccd5efbefc4f72b85ca00	configs/regular_tree/exact_transport_factorial_5seed_portable.yaml	private output and data paths replaced
backprop sweep YAML	drafts/dendritic-local-learning/configs/sweeps/sweep_revision_exact_transport_bp_mnist_5seed.yaml	760f94d9d4c1bc788c865f5c5adb13aad1c3f2c77ec5bb672dc9501248cf3990	configs/regular_tree/backprop_reference_5seed_portable.yaml	private output and data paths replaced
task learning analysis	drafts/dendritic-credit-routing/analysis/run_task_derived_credit_learning.py	b14d1357726c4bc6c55a77d2b1c0214cc9bf1542a354ff0758ff1dbcd8bea0e0	code/task_derived/run_task_derived_credit_learning.py	portable defaults and minimal local helper import
DANDI extraction wrapper	drafts/dendritic-credit-routing/analysis/extract_functional_partner_responses.py	7fade7d50fc6859fe9cb140662961b63d9081e908f007ce06ab8b7bdb61488eb	code/task_derived/extract_functional_partner_responses.py	portable defaults and local loader path
DANDI NWB loader	drafts/dendritic-credit-routing/imported/population/analysis/loaders/microns_dandi_nwb_trial_extract.py	f9ac1ce2206a4e9c59646a333a16dd48ebc3cc0bbb49f32997d57c33d5306e97	code/task_derived/microns_dandi_nwb_trial_extract.py	portable defaults
functional partner join	drafts/dendritic-credit-routing/analysis/build_functional_partner_manifest.py	fd8116f1722115754b6647b3814481770b15d2d977b86301e7af4b278d1ca20b	code/task_derived/build_functional_partner_manifest.py	portable defaults
functional contact analysis	drafts/dendritic-credit-routing/analysis/analyze_functional_topology.py	686b6c5101458033036755dace9d3e4cfcef02b1b69317eefb55e5c2e34597e8	code/task_derived/analyze_functional_topology.py	portable defaults
functional cohort summary	drafts/dendritic-credit-routing/analysis/summarize_functional_topology_cohort.py	ac0c21c3edd5ce4bd4dc488f8b36f234df57cb29fdf1a9b6c698026c98e14809	code/task_derived/summarize_functional_topology_cohort.py	portable input/output defaults
tree helper source	drafts/dendritic-credit-routing/analysis/analyze_microns_morphology_credit.py	cd1fcbb26d7a96d0a13882fdcfcc0493a2fa30296ccb83a7f26b7efd3373714f	code/task_derived/morphology_tree_helpers.py	only parent_map and ancestry_matrix copied
raw additive alias	src/dendritic_modeling/config/model_aliases.py	ea57ca43f5b7379bc4cb9b9617a01955eb1dcf48275326e1e120f80687533d24	code/regular_tree/additive_reference.py	equations re-expressed as standalone NumPy; training source not replaced
raw additive forward	src/dendritic_modeling/networks/architectures/excitation_inhibition/dendritic/branch_dynamics.py	b8b9162d7798132627b977c22d1e86a2b2a124b3c7bd67063925d68830cee0d0	code/regular_tree/additive_reference.py	equations re-expressed as standalone NumPy; training source not replaced
parametric tanh	src/dendritic_modeling/networks/activations/parametric.py	78d77f5258433da149c1a7eea2b28666cc1ab332441f764def783efb847e8236	code/regular_tree/additive_reference.py	equation and voltage derivative re-expressed as standalone NumPy
