seed,reliability_heterogeneity,branch,oracle_initial_gain,adaptive_final_gain
8200,0,0,1,0.4728903537
8200,0,1,1,0.2329014664
8200,0,2,1,0.03
8200,0,3,1,0.03
8200,0,4,1,0.1876586044
8200,0,5,1,0.5480139454
8200,0,6,1,0.8565019814
8200,0,7,1,0.78353005
8200,1,0,0.238405844,0.03
8200,1,1,0.3866427396,0.03
8200,1,2,0.5958732602,0.03
8200,1,3,0.8581068062,0.1600128533
8200,1,4,1,0.5157787772
8200,1,5,1,0.9390313708
8200,1,6,1,0.9394467976
8200,1,7,1,0.8916548632
8200,2,0,0.03597241992,0.03
8200,2,1,0.1086265323,0.03
8200,2,2,0.3052173297,0.03
8200,2,3,0.7218145097,0.5120548291
8200,2,4,1,0.3658016249
8200,2,5,1,1
8200,2,6,1,1
8200,2,7,1,1
8201,0,0,1,0.9545437165
8201,0,1,1,0.4811033373
8201,0,2,1,0.9587005253
8201,0,3,1,1
8201,0,4,1,0.03
8201,0,5,1,0.1827075783
8201,0,6,1,0.5431443922
8201,0,7,1,0.1333610911
8201,1,0,0.238405844,0.233004717
8201,1,1,0.3866427396,0.03
8201,1,2,0.5958732602,0.03
8201,1,3,0.8581068062,0.598791514
8201,1,4,1,0.3102432085
8201,1,5,1,0.7486962052
8201,1,6,1,0.6544026897
8201,1,7,1,0.8374314443
8201,2,0,0.03597241992,0.2789274298
8201,2,1,0.1086265323,0.5124512077
8201,2,2,0.3052173297,0.3186355366
8201,2,3,0.7218145097,0.3246560903
8201,2,4,1,1
8201,2,5,1,0.9304249506
8201,2,6,1,1
8201,2,7,1,1
8202,0,0,1,0.3856816299
8202,0,1,1,0.03
8202,0,2,1,0.5655911808
8202,0,3,1,0.8949454881
8202,0,4,1,0.4805279756
8202,0,5,1,0.03
8202,0,6,1,0.03
8202,0,7,1,0.03
8202,1,0,0.238405844,0.5810597079
8202,1,1,0.3866427396,0.2139180349
8202,1,2,0.5958732602,0.129723447
8202,1,3,0.8581068062,0.6465512714
8202,1,4,1,0.5501921514
8202,1,5,1,0.2711345164
8202,1,6,1,0.9977030471
8202,1,7,1,0.9710321744
8202,2,0,0.03597241992,0.1863426023
8202,2,1,0.1086265323,0.03
8202,2,2,0.3052173297,0.03
8202,2,3,0.7218145097,0.4047215721
8202,2,4,1,0.6913961342
8202,2,5,1,1
8202,2,6,1,1
8202,2,7,1,1
8203,0,0,1,0.3967117272
8203,0,1,1,0.7230984808
8203,0,2,1,0.6559782079
8203,0,3,1,0.5563800546
8203,0,4,1,0.7498762974
8203,0,5,1,0.03
8203,0,6,1,0.2257275213
8203,0,7,1,0.7304049828
8203,1,0,0.238405844,0.03
8203,1,1,0.3866427396,0.1676833807
8203,1,2,0.5958732602,0.03
8203,1,3,0.8581068062,0.2096058607
8203,1,4,1,0.3973025906
8203,1,5,1,0.7926675061
8203,1,6,1,1
8203,1,7,1,1
8203,2,0,0.03597241992,0.03
8203,2,1,0.1086265323,0.03
8203,2,2,0.3052173297,0.03
8203,2,3,0.7218145097,0.05619167229
8203,2,4,1,0.9053700408
8203,2,5,1,1
8203,2,6,1,1
8203,2,7,1,1
8204,0,0,1,0.5808425905
8204,0,1,1,0.03
8204,0,2,1,0.1239268576
8204,0,3,1,0.4558627264
8204,0,4,1,0.7772535673
8204,0,5,1,0.4929226128
8204,0,6,1,0.5431713743
8204,0,7,1,0.3425256837
8204,1,0,0.238405844,0.03
8204,1,1,0.3866427396,0.1269301409
8204,1,2,0.5958732602,0.5241094084
8204,1,3,0.8581068062,0.4395472916
8204,1,4,1,0.6455388929
8204,1,5,1,0.7812383689
8204,1,6,1,0.746536327
8204,1,7,1,0.906888837
8204,2,0,0.03597241992,0.5061695183
8204,2,1,0.1086265323,0.4341882878
8204,2,2,0.3052173297,0.2475880052
8204,2,3,0.7218145097,0.7816417186
8204,2,4,1,0.9534279647
8204,2,5,1,0.9934252275
8204,2,6,1,1
8204,2,7,1,1
8205,0,0,1,0.5076620582
8205,0,1,1,0.9835392809
8205,0,2,1,0.4641033652
8205,0,3,1,1
8205,0,4,1,0.4889509126
8205,0,5,1,0.5754952881
8205,0,6,1,0.4470023513
8205,0,7,1,0.3842822553
8205,1,0,0.238405844,0.5024014044
8205,1,1,0.3866427396,0.03
8205,1,2,0.5958732602,0.03
8205,1,3,0.8581068062,0.5979676166
8205,1,4,1,0.7829947896
8205,1,5,1,0.8697646096
8205,1,6,1,0.9842166635
8205,1,7,1,0.9663719163
8205,2,0,0.03597241992,0.04391424031
8205,2,1,0.1086265323,0.03
8205,2,2,0.3052173297,0.03
8205,2,3,0.7218145097,0.03
8205,2,4,1,0.1538294223
8205,2,5,1,0.9785652361
8205,2,6,1,1
8205,2,7,1,1
8206,0,0,1,0.6609468592
8206,0,1,1,0.7057532028
8206,0,2,1,0.03
8206,0,3,1,0.7556560027
8206,0,4,1,0.8967478757
8206,0,5,1,1
8206,0,6,1,0.5057068326
8206,0,7,1,0.07827980593
8206,1,0,0.238405844,0.2884480092
8206,1,1,0.3866427396,0.4617997712
8206,1,2,0.5958732602,0.325828114
8206,1,3,0.8581068062,0.6168613872
8206,1,4,1,0.03
8206,1,5,1,0.08760831636
8206,1,6,1,0.9963816855
8206,1,7,1,1
8206,2,0,0.03597241992,0.03
8206,2,1,0.1086265323,0.3336134355
8206,2,2,0.3052173297,0.1357445872
8206,2,3,0.7218145097,0.6868086643
8206,2,4,1,1
8206,2,5,1,0.7842980729
8206,2,6,1,1
8206,2,7,1,1
8207,0,0,1,0.1368514836
8207,0,1,1,0.1413308124
8207,0,2,1,0.4631265009
8207,0,3,1,0.03
8207,0,4,1,0.9348453237
8207,0,5,1,0.2420375032
8207,0,6,1,0.7899606801
8207,0,7,1,0.5193669124
8207,1,0,0.238405844,0.03
8207,1,1,0.3866427396,0.03
8207,1,2,0.5958732602,0.3233764286
8207,1,3,0.8581068062,1
8207,1,4,1,0.5359062973
8207,1,5,1,1
8207,1,6,1,0.4320918461
8207,1,7,1,1
8207,2,0,0.03597241992,0.03
8207,2,1,0.1086265323,0.03
8207,2,2,0.3052173297,0.4736226309
8207,2,3,0.7218145097,0.8412956072
8207,2,4,1,0.2140064935
8207,2,5,1,1
8207,2,6,1,1
8207,2,7,1,1
8208,0,0,1,0.926362304
8208,0,1,1,0.2580419639
8208,0,2,1,0.4624470225
8208,0,3,1,0.5848331975
8208,0,4,1,0.3598526566
8208,0,5,1,0.2532499701
8208,0,6,1,0.6888326672
8208,0,7,1,0.03
8208,1,0,0.238405844,0.03
8208,1,1,0.3866427396,0.03
8208,1,2,0.5958732602,1
8208,1,3,0.8581068062,0.2624992297
8208,1,4,1,0.4797017312
8208,1,5,1,0.8911634859
8208,1,6,1,0.8149606498
8208,1,7,1,1
8208,2,0,0.03597241992,0.03
8208,2,1,0.1086265323,0.3375873449
8208,2,2,0.3052173297,0.6906777799
8208,2,3,0.7218145097,0.5288361317
8208,2,4,1,0.03
8208,2,5,1,0.8224774545
8208,2,6,1,1
8208,2,7,1,1
8209,0,0,1,0.1131591475
8209,0,1,1,0.4968392716
8209,0,2,1,0.8784363149
8209,0,3,1,0.4745257424
8209,0,4,1,0.03
8209,0,5,1,0.03
8209,0,6,1,0.2448296112
8209,0,7,1,0.6627178621
8209,1,0,0.238405844,0.03
8209,1,1,0.3866427396,0.4870081891
8209,1,2,0.5958732602,0.03
8209,1,3,0.8581068062,0.4478783108
8209,1,4,1,0.7422773404
8209,1,5,1,0.751380934
8209,1,6,1,1
8209,1,7,1,1
8209,2,0,0.03597241992,0.03
8209,2,1,0.1086265323,0.03
8209,2,2,0.3052173297,0.3699581953
8209,2,3,0.7218145097,0.1361069601
8209,2,4,1,0.7393920045
8209,2,5,1,0.7877542182
8209,2,6,1,1
8209,2,7,1,1
8210,0,0,1,0.898028204
8210,0,1,1,0.8626501804
8210,0,2,1,0.276149791
8210,0,3,1,0.07120933924
8210,0,4,1,0.5885215532
8210,0,5,1,0.9087604361
8210,0,6,1,0.4763083897
8210,0,7,1,0.6860878998
8210,1,0,0.238405844,0.8415369909
8210,1,1,0.3866427396,0.2635576053
8210,1,2,0.5958732602,0.03
8210,1,3,0.8581068062,0.7415989517
8210,1,4,1,0.2932301853
8210,1,5,1,0.4095787687
8210,1,6,1,0.7293630612
8210,1,7,1,0.7736948686
8210,2,0,0.03597241992,0.03
8210,2,1,0.1086265323,0.3643722287
8210,2,2,0.3052173297,0.03
8210,2,3,0.7218145097,0.03
8210,2,4,1,0.515369371
8210,2,5,1,0.8674350945
8210,2,6,1,1
8210,2,7,1,1
8211,0,0,1,0.7010848178
8211,0,1,1,0.7070665408
8211,0,2,1,0.2633000785
8211,0,3,1,0.2736944208
8211,0,4,1,0.5937300907
8211,0,5,1,0.71855252
8211,0,6,1,0.9422481716
8211,0,7,1,0.3345605442
8211,1,0,0.238405844,0.2748662289
8211,1,1,0.3866427396,0.2906799932
8211,1,2,0.5958732602,0.09719988843
8211,1,3,0.8581068062,0.2547493303
8211,1,4,1,0.6311209721
8211,1,5,1,1
8211,1,6,1,0.7345244704
8211,1,7,1,0.7594460522
8211,2,0,0.03597241992,0.03
8211,2,1,0.1086265323,0.45961773
8211,2,2,0.3052173297,0.1608561243
8211,2,3,0.7218145097,0.1807140146
8211,2,4,1,0.7579917524
8211,2,5,1,1
8211,2,6,1,1
8211,2,7,1,1
8212,0,0,1,0.520357482
8212,0,1,1,1
8212,0,2,1,0.5254948435
8212,0,3,1,0.6504381668
