reliability_heterogeneity,method,n_seeds,mean_one_step_test_loss_decrease,ci95_low_one_step_test_loss_decrease,ci95_high_one_step_test_loss_decrease,mean_final_test_loss,ci95_low_final_test_loss,ci95_high_final_test_loss,mean_final_test_accuracy,ci95_low_final_test_accuracy,ci95_high_final_test_accuracy
0,adaptive_global_shunt,50,0.004205364747,0.003964675132,0.004439344168,0.357267737,0.3551874456,0.3593831956,0.9961914063,0.9954589844,0.9968652344
0,adaptive_local_shunt,50,0.003932984358,0.003703802589,0.004161920594,0.3578105045,0.3557705405,0.3598323978,0.9972070312,0.9966796875,0.9977050781
0,adaptive_point_gate,50,0.003932984358,0.00370086128,0.004162150847,0.3578105045,0.3557605089,0.3598226035,0.9972070312,0.9966699219,0.9977053223
0,adaptive_shuffled_shunt,50,0.003864366185,0.003619268157,0.004097923921,0.3590798997,0.3570655072,0.3611095691,0.9973730469,0.9968554687,0.9978417969
0,exact_clean_bp,50,0.00446900649,0.00437679245,0.004555790488,0.3454599404,0.3434465467,0.3475655316,0.99796875,0.9976171875,0.9983007812
0,initial_oracle_shunt,50,0.004300614447,0.004051367092,0.00453786327,0.3479617832,0.3458906069,0.3500763308,0.9975585938,0.9970117188,0.9980957031
0,noisy_no_shunt,50,0.004300614447,0.004055258075,0.004535983468,0.3479617832,0.3459229657,0.3500745294,0.9975585938,0.9969921875,0.9980957031
1,adaptive_global_shunt,50,0.003341834055,0.003004937345,0.003663586201,0.36502611,0.3633848834,0.3666673022,0.9960351563,0.9948339844,0.9970703125
1,adaptive_local_shunt,50,0.003427524851,0.003124357288,0.003722302961,0.3604674269,0.3587554135,0.362218795,0.9971484375,0.9963574219,0.9978320312
1,adaptive_point_gate,50,0.003427524851,0.003122020895,0.003722953462,0.3604674269,0.3587508717,0.3622196639,0.9971484375,0.9963476562,0.9978322754
1,adaptive_shuffled_shunt,50,0.003287142995,0.002887979006,0.00363297863,0.362781968,0.3611478247,0.3644562643,0.9961914063,0.9940820313,0.997734375
1,exact_clean_bp,50,0.00446900649,0.004376723424,0.004556276812,0.3454599404,0.3434334463,0.3475498668,0.99796875,0.9976171875,0.9983007812
1,initial_oracle_shunt,50,0.003700914844,0.003485382471,0.003912360591,0.3563766204,0.3544346829,0.3583341765,0.9970605469,0.9961816406,0.9978417969
1,noisy_no_shunt,50,0.004008390998,0.003582176925,0.004388390181,0.3500062922,0.3480032888,0.3520580307,0.9960546875,0.9936621094,0.9976367188
2,adaptive_global_shunt,50,0.001737773037,0.001429405143,0.00204232475,0.3800121167,0.3782640848,0.381643514,0.9971875,0.9961230469,0.9980664062
2,adaptive_local_shunt,50,0.003158175137,0.002893060167,0.00339377217,0.3637949539,0.361766044,0.3658114674,0.9975683594,0.9970703125,0.9980273438
2,adaptive_point_gate,50,0.003158175137,0.002899456226,0.003395288207,0.3637949539,0.3617503614,0.3657924918,0.9975683594,0.9970605469,0.9980273438
2,adaptive_shuffled_shunt,50,0.002422171339,0.001816861496,0.002970375849,0.3693225525,0.3672180531,0.3714957607,0.9944921875,0.9921777344,0.9965234375
2,exact_clean_bp,50,0.00446900649,0.004378305082,0.004556406909,0.3454599404,0.3434094453,0.3475295542,0.99796875,0.9976269531,0.9983007812
2,initial_oracle_shunt,50,0.003244835517,0.00308803259,0.00340567282,0.3603460466,0.358383264,0.362294449,0.9981152344,0.9977050781,0.9985058594
2,noisy_no_shunt,50,0.002524913287,0.001758917226,0.003196427787,0.3595448724,0.3571542675,0.361922297,0.9940039063,0.9916699219,0.9959765625
