seed,reliability_heterogeneity,method,step_size,initial_test_loss,test_loss_after_one_step,one_step_test_loss_decrease,final_train_loss,final_test_loss,final_test_accuracy,mean_final_gain,minimum_input_rate
8200,0,exact_clean_bp,23.98199886,0.3935044076,0.3891521812,0.004352226409,0.3416886859,0.340733248,0.9970703125,1,0
8200,0,noisy_no_shunt,23.98199886,0.3935044076,0.3886617755,0.004842632103,0.3489623205,0.3475642999,1,1,0
8200,0,initial_oracle_shunt,23.98199886,0.3935044076,0.3886617755,0.004842632103,0.3489623205,0.3475642999,1,1,0
8200,0,adaptive_local_shunt,23.98199886,0.3935044076,0.3892043261,0.004300081493,0.3564686214,0.3559755058,0.9995117188,0.3926870502,0
8200,0,adaptive_global_shunt,23.98199886,0.3935044076,0.3890821545,0.004422253137,0.3546743737,0.3538702926,0.9995117188,0.4032596451,0
8200,0,adaptive_shuffled_shunt,23.98199886,0.3935044076,0.3893588211,0.004145586507,0.3555467311,0.3553365099,0.9995117188,0.3986212151,0
8200,0,adaptive_point_gate,23.98199886,0.3935044076,0.3892043261,0.004300081493,0.3564686214,0.3559755058,0.9995117188,0.3926870502,0
8200,1,exact_clean_bp,23.98199886,0.3935044076,0.3891521812,0.004352226409,0.3416886859,0.340733248,0.9970703125,1,0
8200,1,noisy_no_shunt,23.98199886,0.3935044076,0.3956185844,-0.002114176768,0.3442213604,0.3428823105,0.9975585938,1,0
8200,1,initial_oracle_shunt,23.98199886,0.3935044076,0.391331494,0.00217291355,0.3506362274,0.3502689341,0.9965820312,0.7598785813,0
8200,1,adaptive_local_shunt,23.98199886,0.3935044076,0.3910359153,0.002468492256,0.3568321561,0.356842317,0.99609375,0.4419905828,0
8200,1,adaptive_global_shunt,23.98199886,0.3935044076,0.3942200769,-0.0007156693353,0.3624149094,0.3622920195,0.9956054688,0.2957940857,0
8200,1,adaptive_shuffled_shunt,23.98199886,0.3935044076,0.3965907069,-0.003086299317,0.3605150645,0.3600914419,0.99609375,0.5519769231,0
8200,1,adaptive_point_gate,23.98199886,0.3935044076,0.3910359153,0.002468492256,0.3568321561,0.356842317,0.99609375,0.4419905828,0
8200,2,exact_clean_bp,23.98199886,0.3935044076,0.3891521812,0.004352226409,0.3416886859,0.340733248,0.9970703125,1,0
8200,2,noisy_no_shunt,23.98199886,0.3935044076,0.3907252199,0.002779187724,0.344039092,0.3430818811,1,1,0
8200,2,initial_oracle_shunt,23.98199886,0.3935044076,0.3903745486,0.003129858994,0.3579798898,0.3582057004,0.9970703125,0.6464538489,0
8200,2,adaptive_local_shunt,23.98199886,0.3935044076,0.390743894,0.002760513549,0.3599990795,0.360395421,0.9975585938,0.4959820568,0
8200,2,adaptive_global_shunt,23.98199886,0.3935044076,0.3927465948,0.0007578128452,0.3853297795,0.3861043578,0.9990234375,0.08600929798,0
8200,2,adaptive_shuffled_shunt,23.98199886,0.3935044076,0.3915032204,0.002001187164,0.3628134183,0.3631138655,0.9995117188,0.520697449,0
8200,2,adaptive_point_gate,23.98199886,0.3935044076,0.390743894,0.002760513549,0.3599990795,0.360395421,0.9975585938,0.4959820568,0
8201,0,exact_clean_bp,23.87832756,0.3953374814,0.3907440954,0.004593386043,0.3385186729,0.3408256095,0.9956054688,1,0
8201,0,noisy_no_shunt,23.87832756,0.3953374814,0.3915444137,0.00379306769,0.3405758014,0.3430194502,0.9965820312,1,0
8201,0,initial_oracle_shunt,23.87832756,0.3953374814,0.3915444137,0.00379306769,0.3405758014,0.3430194502,0.9965820312,1,0
8201,0,adaptive_local_shunt,23.87832756,0.3953374814,0.3915472394,0.003790241988,0.3511353703,0.3528010911,0.9965820312,0.5354450801,0
8201,0,adaptive_global_shunt,23.87832756,0.3953374814,0.3915444137,0.00379306769,0.348892607,0.3504537577,0.9956054688,0.5443547467,0
8201,0,adaptive_shuffled_shunt,23.87832756,0.3953374814,0.391549679,0.003787802436,0.352910269,0.3548089878,0.99609375,0.5205677654,0
8201,0,adaptive_point_gate,23.87832756,0.3953374814,0.3915472394,0.003790241988,0.3511353703,0.3528010911,0.9965820312,0.5354450801,0
8201,1,exact_clean_bp,23.87832756,0.3953374814,0.3907440954,0.004593386043,0.3385186729,0.3408256095,0.9956054688,1,0
8201,1,noisy_no_shunt,23.87832756,0.3953374814,0.3918288246,0.003508656785,0.3469470131,0.3497482469,0.982421875,1,0
8201,1,initial_oracle_shunt,23.87832756,0.3953374814,0.3925301001,0.002807381274,0.3519892325,0.3526934225,0.9912109375,0.7598785813,0
8201,1,adaptive_local_shunt,23.87832756,0.3953374814,0.3923954898,0.002941991579,0.3564831899,0.355333749,0.9931640625,0.4303212223,0
