cohort,channels,method,total_capture_mean,total_capture_std,total_capture_count,residual_capture_mean,residual_capture_std,residual_capture_count,dictionary_rank_mean,dictionary_rank_std,dictionary_rank_count,nonzero_coefficients_mean,nonzero_coefficients_std,nonzero_coefficients_count,wiring_density_mean,wiring_density_std,wiring_density_count,coverage_mean,coverage_std,coverage_count,incremental_total_capture_mean,incremental_total_capture_std,incremental_total_capture_count
original8,1,common + ancestry,0.3137594524653593,0.09618537305517903,8,1.2254253220128969e-32,7.179432434786924e-33,8,1.0,0.0,8,68.875,40.46316667220766,8,1.0,0.0,8,1.0,0.0,8,8.326672684688674e-17,1.2588745812754728e-16,8
original8,1,common + depth bins,0.3137594524653593,0.09618537305517903,8,1.2254253220128969e-32,7.179432434786924e-33,8,1.0,0.0,8,68.875,40.46316667220766,8,1.0,0.0,8,1.0,0.0,8,8.326672684688674e-17,1.2588745812754728e-16,8
original8,1,common + random routes,0.3137594524653593,0.09618537305517903,8,1.2254253220128969e-32,7.179432434786924e-33,8,1.0,0.0,8,68.875,40.46316667220766,8,1.0,0.0,8,1.0,0.0,8,8.326672684688674e-17,1.2588745812754728e-16,8
original8,1,common + shuffled routes,0.3137594524653593,0.09618537305517903,8,1.2254253220128969e-32,7.179432434786924e-33,8,1.0,0.0,8,68.875,40.46316667220766,8,1.0,0.0,8,1.0,0.0,8,8.326672684688674e-17,1.2588745812754728e-16,8
original8,1,common + surrogate ancestry,0.3137594524653593,0.09618537305517903,8,1.2254253220128969e-32,7.179432434786924e-33,8,1.0,0.0,8,68.875,40.46316667220766,8,1.0,0.0,8,1.0,0.0,8,8.326672684688674e-17,1.2588745812754728e-16,8
original8,1,common-constrained SVD,0.3137594524653593,0.09618537305517903,8,1.2254253220128969e-32,7.179432434786924e-33,8,1.0,0.0,8,68.875,40.46316667220766,8,1.0,0.0,8,1.0,0.0,8,8.326672684688674e-17,1.2588745812754728e-16,8
original8,2,common + ancestry,0.40195662118600173,0.13575097233512395,8,0.13655926664796963,0.11202200268175609,8,2.0,0.0,8,72.625,42.22706478077774,8,0.5293291362507406,0.025354156426104994,8,1.0,0.0,8,0.08819716872064248,0.06714815778500727,8
original8,2,common + depth bins,0.3296460831962289,0.09611789004392439,8,0.023461913320021437,0.008541109858051083,8,2.0,0.0,8,102.5,60.63238173027441,8,0.7419034837848788,0.00521184081482248,8,1.0,0.0,8,0.015886630730869662,0.0056248706584004875,8
original8,2,common + random routes,0.343022982786439,0.10270579368525862,8,0.044678981386643,0.02389735753838788,8,1.97625,0.02216013151069797,8,72.983125,41.22022431295971,8,0.5387284640457675,0.018996216261014227,8,1.0,0.0,8,0.02926353032107977,0.01344662736594006,8
original8,2,common + shuffled routes,0.33159860278220676,0.10106978699494196,8,0.027470593067655737,0.017384280886824137,8,2.0,0.0,8,72.625,42.22706478077774,8,0.5293291362507406,0.025354156426104994,8,1.0,0.0,8,0.01783915031684752,0.009943786862469698,8
