cohort,root_id,channels,method,total_capture,residual_capture,dictionary_rank,nonzero_coefficients,wiring_density,coverage,incremental_total_capture
pinky,648518346349531254,1,common + ancestry,0.3556909653962848,1.1782261176594701e-32,1.0,12.0,1.0,1.0,0.0
pinky,648518346349531254,1,common + depth bins,0.3556909653962848,1.1782261176594701e-32,1.0,12.0,1.0,1.0,0.0
pinky,648518346349531254,1,common + random routes,0.3556909653962848,1.1782261176594701e-32,1.0,12.0,1.0,1.0,0.0
pinky,648518346349531254,1,common + shuffled routes,0.3556909653962848,1.1782261176594701e-32,1.0,12.0,1.0,1.0,0.0
pinky,648518346349531254,1,common + surrogate ancestry,0.3556909653962848,1.1782261176594701e-32,1.0,12.0,1.0,1.0,0.0
pinky,648518346349531254,1,common-constrained SVD,0.3556909653962848,1.1782261176594701e-32,1.0,12.0,1.0,1.0,0.0
pinky,648518346349531254,2,common + ancestry,0.4224626418583528,0.1036329973288925,2.0,14.0,0.5833333333333334,1.0,0.066771676462068
pinky,648518346349531254,2,common + depth bins,0.4860597029964404,0.2023388321418457,2.0,17.0,0.7083333333333334,1.0,0.1303687376001556
pinky,648518346349531254,2,common + random routes,0.4272337604973957,0.11103801321847602,1.79,13.085,0.5452083333333333,1.0,0.07154279510111088
pinky,648518346349531254,2,common + shuffled routes,0.4385731063412107,0.12863724780128657,2.0,14.0,0.5833333333333334,1.0,0.08288214094492584
pinky,648518346349531254,2,common + surrogate ancestry,0.4517812305435681,0.14913692030778972,2.0,14.36,0.5983333333333334,1.0,0.09609026514728324
pinky,648518346349531254,2,common-constrained SVD,0.5528502871618252,0.3060011751764491,2.0,24.0,1.0,1.0,0.1971593217655403
pinky,648518346349531254,4,common + ancestry,0.6377747636177648,0.4378082303237862,4.0,16.0,0.3333333333333333,1.0,0.2820837982214799
pinky,648518346349531254,4,common + depth bins,0.6192411888719502,0.4090431909553509,4.0,20.0,0.4166666666666667,1.0,0.2635502234756654
pinky,648518346349531254,4,common + random routes,0.5766999380667511,0.34301703189122384,3.385,15.375,0.3203125,1.0,0.2210089726704663
pinky,648518346349531254,4,common + shuffled routes,0.5522809781728334,0.30511757901619657,3.9,16.0,0.33333333333333326,1.0,0.19659001277654847
pinky,648518346349531254,4,common + surrogate ancestry,0.6402956761476699,0.4417208132529636,3.89,18.22,0.3795833333333334,1.0,0.284604710751385
pinky,648518346349531254,4,common-constrained SVD,0.8252208405752764,0.7287339614409999,4.0,48.0,1.0,1.0,0.4695298751789916
