budgets,cohort,common_capture,elapsed_seconds,n_e_sites,n_i_sites,rank_one_capture,residual_rank,residual_weighted_energy,response_rank,root_id,total_weighted_energy
"[1, 2, 4, 8]",pinky,0.35569096539628475,1.065049796947278,12,12,0.38680335771914476,11,0.9201339847672787,12,648518346349531254,1.4280941836136298
"[1, 2, 4, 8]",pinky,0.2619226857025734,1.3217645100085065,11,17,0.41194399941693305,10,0.4784989170484776,11,648518346349538278,0.6483045986909368
"[1, 2, 4]",pinky,0.46538182062294087,1.3466267250478268,5,11,0.5731867470381261,4,0.38443846519931707,5,648518346349538332,0.7190897729053425
"[1, 2, 4, 8]",pinky,0.21277151818745876,0.8738706109579653,13,21,0.4454524290327286,12,1.6497085084931982,13,648518346349538440,2.09559047545492
"[1, 2, 4, 8]",pinky,0.3341185110991557,0.9402675000019372,10,12,0.3625383895487386,9,1.3996675377206553,10,648518346349538466,2.1019769449231203
"[1, 2, 4, 8]",pinky,0.40590401151220956,0.9923969189403579,9,12,0.4956760199954711,8,0.931385686200982,9,648518346349539333,1.567736029613207
"[1, 2, 4, 8]",pinky,0.4293927026721387,0.9570971030043438,9,16,0.4952151371262233,8,0.35934432741753536,9,648518346349539366,0.6297576794063715
"[1, 2, 4, 8]",pinky,0.29104589734480324,0.795629383996129,11,9,0.679668522973286,9,0.19964597925454383,9,648518346349539785,0.2816063529455906
"[1, 2, 4]",pinky,0.5883157322277872,0.8608171319356188,12,4,0.7637635860752199,4,0.23993306540686116,4,648518346349539825,0.5828084388680539
"[1, 2, 4, 8]",pinky,0.4544812156706991,1.0672679130220786,10,10,0.5625095279462229,9,0.33266767534538627,10,648518346349539864,0.6098189189844145
