root_id,inherited_qc_included,n_e_sites,n_i_sites,focus_budget_eligible
864691134941194851,True,50,74,True
864691135082534135,True,19,64,True
864691135334986985,True,48,77,True
864691135342193329,True,20,25,True
864691135367232761,True,26,35,True
864691135404231406,True,34,72,True
864691135404277230,True,30,62,True
864691135416557754,True,16,63,True
864691135455195242,True,21,53,True
864691135468547212,True,33,64,True
864691135495249040,True,37,63,True
864691135502788957,True,38,61,True
864691135516884435,True,24,47,True
864691135572379429,True,42,53,True
864691135573814980,True,46,77,True
864691135658994050,True,42,62,True
864691135687601120,True,36,70,True
864691135716106266,True,30,40,True
864691135716174106,True,30,62,True
864691135740320660,True,25,54,True
864691135762339894,True,28,45,True
864691135856802606,True,27,42,True
864691135856845358,True,35,61,True
864691135867632406,True,39,62,True
864691135919106224,True,14,49,True
864691135938349828,True,29,65,True
864691135947212897,True,34,59,True
864691135952698659,True,17,47,True
864691135992368833,True,19,45,True
864691136024229689,True,28,53,True
864691136066506392,True,22,30,True
864691136066697624,True,38,50,True
864691136066733720,True,23,50,True
864691136100511093,True,28,67,True
864691136109892792,True,28,43,True
864691136137737085,True,21,25,True
864691136195348812,True,136,148,True
864691136275165965,True,22,31,True
864691136371808392,True,32,40,True
864691136389026167,True,23,65,True
864691136419314071,True,20,49,True
864691136486753554,True,30,54,True
864691136619341965,True,16,56,True
864691136663284190,True,20,53,True
864691136673975943,True,28,32,True
864691136953057759,True,47,91,True
864691137197373249,True,20,43,True
