optimizer           rate_scope                         contrast  n_seeds  mean_difference  ci95_low  ci95_high  ci975_low  ci975_high  primary  margin_nmse  passes_adjusted_interval_and_mean_margin
     adam development_selected broadcast_minus_exact_compatible       20         0.002507  0.001867   0.003199   0.001780    0.003318     True         0.01                                     False
     adam development_selected   crossed_minus_compatible_exact       20         0.563174  0.550148   0.579890   0.549144    0.582749     True         0.01                                      True
     family           tree optimizer      rule  mean_population_nmse  mean_balanced_accuracy
       and4 balanced_ab_cd      adam broadcast              0.003765                1.000000
       and4 balanced_ab_cd      adam     exact              0.001266                1.000000
       and4 balanced_ac_bd      adam broadcast              0.003304                1.000000
       and4 balanced_ac_bd      adam     exact              0.001462                1.000000
       and4 balanced_ad_bc      adam broadcast              0.004525                1.000000
       and4 balanced_ad_bc      adam     exact              0.001118                1.000000
       and4    comb_a_b_cd      adam broadcast              0.002370                1.000000
       and4    comb_a_b_cd      adam     exact              0.000929                1.000000
and_of_xors balanced_ab_cd      adam broadcast              0.002240                1.000000
and_of_xors balanced_ab_cd      adam     exact              0.000895                1.000000
and_of_xors balanced_ac_bd      adam broadcast              0.925842                0.550000
and_of_xors balanced_ac_bd      adam     exact              0.682761                0.689583
and_of_xors balanced_ad_bc      adam broadcast              0.919798                0.547917
and_of_xors balanced_ad_bc      adam     exact              0.679773                0.700000
and_of_xors    comb_a_b_cd      adam broadcast              0.686629                0.662500
and_of_xors    comb_a_b_cd      adam     exact              0.352537                0.987500
     nested balanced_ab_cd      adam broadcast              0.171166                0.920000
     nested balanced_ab_cd      adam     exact              0.173875                0.915000
     nested balanced_ac_bd      adam broadcast              0.150950                0.985000
     nested balanced_ac_bd      adam     exact              0.134758                0.970909
     nested balanced_ad_bc      adam broadcast              0.147368                0.970909
     nested balanced_ad_bc      adam     exact              0.134585                0.966364
     nested    comb_a_b_cd      adam broadcast              0.002473                1.000000
     nested    comb_a_b_cd      adam     exact              0.001015                1.000000
        or4 balanced_ab_cd      adam broadcast              0.003402                1.000000
        or4 balanced_ab_cd      adam     exact              0.000942                1.000000
        or4 balanced_ac_bd      adam broadcast              0.004480                1.000000
        or4 balanced_ac_bd      adam     exact              0.000997                1.000000
        or4 balanced_ad_bc      adam broadcast              0.003445                1.000000
        or4 balanced_ad_bc      adam     exact              0.001004                1.000000
        or4    comb_a_b_cd      adam broadcast              0.003043                1.000000
        or4    comb_a_b_cd      adam     exact              0.000995                1.000000
 or_of_ands balanced_ab_cd      adam broadcast              0.001916                1.000000
 or_of_ands balanced_ab_cd      adam     exact              0.001044                1.000000
 or_of_ands balanced_ac_bd      adam broadcast              0.323217                0.892063
 or_of_ands balanced_ac_bd      adam     exact              0.311149                0.881349
 or_of_ands balanced_ad_bc      adam broadcast              0.314473                0.888889
 or_of_ands balanced_ad_bc      adam     exact              0.306914                0.883730
 or_of_ands    comb_a_b_cd      adam broadcast              0.247950                1.000000
 or_of_ands    comb_a_b_cd      adam     exact              0.243255                1.000000
    parity4 balanced_ab_cd      adam broadcast              0.976114                0.537500
    parity4 balanced_ab_cd      adam     exact              0.000830                1.000000
    parity4 balanced_ac_bd      adam broadcast              0.892780                0.578125
    parity4 balanced_ac_bd      adam     exact              0.000995                1.000000
    parity4 balanced_ad_bc      adam broadcast              0.933615                0.581250
    parity4 balanced_ad_bc      adam     exact              0.000793                1.000000
    parity4    comb_a_b_cd      adam broadcast              0.927943                0.575000
    parity4    comb_a_b_cd      adam     exact              0.000901                1.000000
xor_of_ands balanced_ab_cd      adam broadcast              0.003452                1.000000
xor_of_ands balanced_ab_cd      adam     exact              0.000945                1.000000
xor_of_ands balanced_ac_bd      adam broadcast              0.555004                0.850000
xor_of_ands balanced_ac_bd      adam     exact              0.565957                0.796667
xor_of_ands balanced_ad_bc      adam broadcast              0.562884                0.839167
xor_of_ands balanced_ad_bc      adam     exact              0.562281                0.806667
xor_of_ands    comb_a_b_cd      adam broadcast              0.477947                0.892500
xor_of_ands    comb_a_b_cd      adam     exact              0.437758                0.845000
