seed,family,optimizer,rule,reference,population_nmse,accuracy,balanced_accuracy
2026210,and4,adam,broadcast,constant_mean_predictor,1.0,0.9375,0.5
2026210,and4,adam,broadcast,uniform_random_candidate_expectation,0.0026766748808285503,1.0,1.0
2026210,and4,adam,exact,constant_mean_predictor,1.0,0.9375,0.5
2026210,and4,adam,exact,uniform_random_candidate_expectation,0.00063274204313665,1.0,1.0
2026210,and4,sgd,broadcast,constant_mean_predictor,1.0,0.9375,0.5
2026210,and4,sgd,broadcast,uniform_random_candidate_expectation,0.0011024943772337,1.0,1.0
2026210,and4,sgd,exact,constant_mean_predictor,1.0,0.9375,0.5
2026210,and4,sgd,exact,uniform_random_candidate_expectation,0.0004033614839976,1.0,1.0
2026210,and_of_xors,adam,broadcast,constant_mean_predictor,1.0,0.75,0.5
2026210,and_of_xors,adam,broadcast,uniform_random_candidate_expectation,0.5884809606785536,0.84375,0.7291666666666666
2026210,and_of_xors,adam,exact,constant_mean_predictor,1.0,0.75,0.5
2026210,and_of_xors,adam,exact,uniform_random_candidate_expectation,0.4404693317798269,0.90625,0.8125
2026210,and_of_xors,sgd,broadcast,constant_mean_predictor,1.0,0.75,0.5
2026210,and_of_xors,sgd,broadcast,uniform_random_candidate_expectation,0.5633395562638022,0.859375,0.7395833333333333
2026210,and_of_xors,sgd,exact,constant_mean_predictor,1.0,0.75,0.5
2026210,and_of_xors,sgd,exact,uniform_random_candidate_expectation,0.4417812156387784,0.90625,0.8125
2026210,nested,adam,broadcast,constant_mean_predictor,1.0,0.6875,0.5
2026210,nested,adam,broadcast,uniform_random_candidate_expectation,0.11394851087845244,0.96875,0.95
2026210,nested,adam,exact,constant_mean_predictor,1.0,0.6875,0.5
2026210,nested,adam,exact,uniform_random_candidate_expectation,0.11291091803460253,0.953125,0.925
2026210,nested,sgd,broadcast,constant_mean_predictor,1.0,0.6875,0.5
2026210,nested,sgd,broadcast,uniform_random_candidate_expectation,0.11515023970396118,0.953125,0.925
2026210,nested,sgd,exact,constant_mean_predictor,1.0,0.6875,0.5
2026210,nested,sgd,exact,uniform_random_candidate_expectation,0.11219959073728449,0.953125,0.925
2026210,or4,adam,broadcast,constant_mean_predictor,1.0,0.9375,0.5
2026210,or4,adam,broadcast,uniform_random_candidate_expectation,0.0026814810969192503,1.0,1.0
2026210,or4,adam,exact,constant_mean_predictor,1.0,0.9375,0.5
2026210,or4,adam,exact,uniform_random_candidate_expectation,0.0007549933438661,1.0,1.0
2026210,or4,sgd,broadcast,constant_mean_predictor,1.0,0.9375,0.5
2026210,or4,sgd,broadcast,uniform_random_candidate_expectation,0.0013126393924167,1.0,1.0
2026210,or4,sgd,exact,constant_mean_predictor,1.0,0.9375,0.5
2026210,or4,sgd,exact,uniform_random_candidate_expectation,0.0007551576161944249,1.0,1.0
2026210,or_of_ands,adam,broadcast,constant_mean_predictor,1.0,0.5625,0.5
