seed,split,condition_id,family,tree,optimizer,rule,rate,step,population_nmse,test_noisy_nmse,accuracy,balanced_accuracy,gradient_cosine,gradient_clipped_steps,parameter_clipped_steps,parameter_clipped_coefficients,max_abs_parameter,parameter_norm,failed,failure_step,elapsed_seconds
2026210,fresh,2,and4,balanced_ab_cd,sgd,exact,0.03,2048,0.0004140219995701,0.0226047442247164,1.0,1.0,1.0,0,0,0,0.8530551675356528,1.7324397033375565,False,-1,7.131003377959132
2026210,fresh,4,and4,balanced_ab_cd,sgd,broadcast,0.01,2048,0.0015372521728794,0.0237980061040534,1.0,1.0,0.8403443686653074,0,0,0,0.9093368342693228,2.104132711793214,False,-1,7.13102542294655
2026210,fresh,6,and4,balanced_ab_cd,adam,exact,0.003,2048,0.0007157622242564,0.0228518343342463,1.0,1.0,1.0,0,0,0,0.8450789337182405,1.7464190159322135,False,-1,7.131045870948583
2026210,fresh,10,and4,balanced_ab_cd,adam,broadcast,0.01,2048,0.0033605778376097,0.0256139488721583,1.0,1.0,0.8294114922715639,0,0,0,1.0749179465686385,2.3879428982566564,False,-1,7.131088295020163
2026210,fresh,14,and4,balanced_ac_bd,sgd,exact,0.03,2048,0.0002925935367183,0.0223755601949221,1.0,1.0,1.0000000000000002,0,0,0,0.8565526624575466,1.734546416592445,False,-1,7.131139348028228
2026210,fresh,16,and4,balanced_ac_bd,sgd,broadcast,0.01,2048,0.0010926194597613,0.0234106197996874,1.0,1.0,0.8890486544436951,0,0,0,0.9079112977122424,2.10045521009312,False,-1,7.131160877994262
2026210,fresh,18,and4,balanced_ac_bd,adam,exact,0.003,2048,0.0004991836166321,0.0225637071798415,1.0,1.0,1.0,0,0,0,0.8316246595378032,1.7601522088995725,False,-1,7.1311818290269
2026210,fresh,22,and4,balanced_ac_bd,adam,broadcast,0.01,2048,0.0032561149837026,0.024993774966998,1.0,1.0,0.9012360613196738,0,0,0,1.0480281698735043,2.3400164126019787,False,-1,7.13122356205713
2026210,fresh,26,and4,balanced_ad_bc,sgd,exact,0.03,2048,0.0002553096403039,0.0224904326168773,1.0,1.0,1.0,0,0,0,0.8551819084473138,1.7333179159064398,False,-1,7.131274866987951
2026210,fresh,28,and4,balanced_ad_bc,sgd,broadcast,0.01,2048,0.0009723241865979,0.0230282610976942,1.0,1.0,0.8388705320227313,0,0,0,0.9011628466669106,2.102033746133792,False,-1,7.131298289052211
2026210,fresh,30,and4,balanced_ad_bc,adam,exact,0.003,2048,0.0004939348300119,0.0226751675748075,1.0,1.0,1.0000000000000002,0,0,0,0.8438261814917141,1.7478626912951891,False,-1,7.131319665000774
