family,tree_id,tree,depth,internal_cuts,internal_nodes,coefficients,edges,maximum_centered_cut_rank,raw_mse_lower_bound,normalized_mse_lower_bound,zero_bound_exact,exact_construction_verified,exact_construction_max_abs_coefficient,exact_construction_box_2_verified
and4,T01,"(((a,b),c),d)",3,ab;abc,3,12,6,1,0.0,0.0,True,True,1.0327955589886444,True
and4,T02,"(((a,b),d),c)",3,ab;abd,3,12,6,1,0.0,0.0,True,True,1.0327955589886444,True
and4,T03,"(((a,c),b),d)",3,ac;abc,3,12,6,1,0.0,0.0,True,True,1.0327955589886444,True
and4,T04,"(((a,c),d),b)",3,ac;acd,3,12,6,1,0.0,0.0,True,True,1.0327955589886444,True
and4,T05,"(((a,d),b),c)",3,ad;abd,3,12,6,1,0.0,0.0,True,True,1.0327955589886444,True
and4,T06,"(((a,d),c),b)",3,ad;acd,3,12,6,1,0.0,0.0,True,True,1.0327955589886444,True
and4,T07,"((a,(b,c)),d)",3,bc;abc,3,12,6,1,0.0,0.0,True,True,1.0327955589886444,True
and4,T08,"((a,(b,d)),c)",3,bd;abd,3,12,6,1,0.0,0.0,True,True,1.0327955589886444,True
and4,T09,"((a,(c,d)),b)",3,cd;acd,3,12,6,1,0.0,0.0,True,True,1.0327955589886444,True
and4,T10,"((a,b),(c,d))",2,ab;cd,3,12,6,1,0.0,0.0,True,True,1.0327955589886444,True
and4,T11,"((a,c),(b,d))",2,ac;bd,3,12,6,1,0.0,0.0,True,True,1.0327955589886444,True
and4,T12,"((a,d),(b,c))",2,ad;bc,3,12,6,1,0.0,0.0,True,True,1.0327955589886444,True
and4,T13,"(a,((b,c),d))",3,bc;bcd,3,12,6,1,0.0,0.0,True,True,1.0327955589886444,True
and4,T14,"(a,((b,d),c))",3,bd;bcd,3,12,6,1,0.0,0.0,True,True,1.0327955589886444,True
and4,T15,"(a,(b,(c,d)))",3,cd;bcd,3,12,6,1,0.0,0.0,True,True,1.0327955589886444,True
or4,T01,"(((a,b),c),d)",3,ab;abc,3,12,6,1,0.0,0.0,True,True,1.0327955589886444,True
or4,T02,"(((a,b),d),c)",3,ab;abd,3,12,6,1,0.0,0.0,True,True,1.0327955589886444,True
or4,T03,"(((a,c),b),d)",3,ac;abc,3,12,6,1,0.0,0.0,True,True,1.0327955589886444,True
or4,T04,"(((a,c),d),b)",3,ac;acd,3,12,6,1,0.0,0.0,True,True,1.0327955589886444,True
or4,T05,"(((a,d),b),c)",3,ad;abd,3,12,6,1,0.0,0.0,True,True,1.0327955589886444,True
or4,T06,"(((a,d),c),b)",3,ad;acd,3,12,6,1,0.0,0.0,True,True,1.0327955589886444,True
or4,T07,"((a,(b,c)),d)",3,bc;abc,3,12,6,1,0.0,0.0,True,True,1.0327955589886444,True
or4,T08,"((a,(b,d)),c)",3,bd;abd,3,12,6,1,0.0,0.0,True,True,1.0327955589886444,True
or4,T09,"((a,(c,d)),b)",3,cd;acd,3,12,6,1,0.0,0.0,True,True,1.0327955589886444,True
or4,T10,"((a,b),(c,d))",2,ab;cd,3,12,6,1,0.0,0.0,True,True,1.0327955589886444,True
or4,T11,"((a,c),(b,d))",2,ac;bd,3,12,6,1,0.0,0.0,True,True,1.0327955589886444,True
or4,T12,"((a,d),(b,c))",2,ad;bc,3,12,6,1,0.0,0.0,True,True,1.0327955589886444,True
or4,T13,"(a,((b,c),d))",3,bc;bcd,3,12,6,1,0.0,0.0,True,True,1.0327955589886444,True
