condition,feedback,seed,config_index,validation_accuracy,test_accuracy,n_epochs_recorded,best_epoch,best_validation_loss,final10_validation_slope,right_censored,active_optimizer_group_count,active_learning_rate,sparse_active_weight_maintenance_rate,adam_weight_decay,calibration_converged,calibration_reverted,pairing_projection_sha256,calibration_signature_sha256,generated_config_sha256,resolved_config_sha256,result_sha256,checkpoint_sha256,training_summary_sha256,calibration_sha256
cifar10_raw_additive_matched_bp_confirmatory,backpropagation,10800,60,0.49059998989105225,0.4919999837875366,58,18,1.423007026863098,0.0034575642868966768,False,1,0.001,0.01,0.0,True,False,ee5d71a7eaa2979a2f179b23ac35d77f26f2e228f7a3f85f733ffb0991aef5ff,6ed7ea8a577856c74149b71012cbf08c711f926e3a5c7c1aea1e58d9aca4ac45,f9381c08821a8ae546339f6a015f73d92d21d18c1b81363734f1c707cd1db823,2ebfda12a84e2cf0abd2be93f947ea49df7fbc1d7e340dc6c21aea05297d3d5f,38afa7357a706f8d00705413cfb165a493ed439762e089e92ad571d40f8fb8f9,f1e42d9b5f8fa3ea27c3850fe2f7d093c090e9e87126850add191d0d72e787e0,557b2ccc211d328273c9823564f721427f3a47fccfe0b74d782b481aed8a7713,fc9804c56f230564b2c1f6acbea1f7aa5858874453bfe4349686c0a816ad2b7f
cifar10_raw_additive_exact_path_confirmatory,exact path,10800,40,0.5,0.503600001335144,62,22,1.4157477291107177,0.0005170636968901295,False,1,0.001,0.01,0.0,True,False,ee5d71a7eaa2979a2f179b23ac35d77f26f2e228f7a3f85f733ffb0991aef5ff,6ed7ea8a577856c74149b71012cbf08c711f926e3a5c7c1aea1e58d9aca4ac45,b685a6fefa77a4bba2c1c31d09067cba6fe9c44d77da65d068ba8a13c7147f4c,c439e1129ce56346600d7d76692a07d0dd8992d25973995a1bf6689424009b6a,98311e70e4f1837890b5e7143f888fda8f91c75c0174940254b404f6a4bbf84b,a50d8343ce1b6c5dae677e8f8fae74a6cf8ff855b9f6c5702682dfb25a0a63d8,9c469328b060287807322252c037ecdca2070c14cd98a0e96963f39cb17d4400,fc9804c56f230564b2c1f6acbea1f7aa5858874453bfe4349686c0a816ad2b7f
cifar10_raw_additive_neuron_specific_confirmatory,neuron specific,10800,20,0.5117999911308289,0.5033999681472778,94,54,1.3704268018722534,0.00047316231583111675,False,1,0.001,0.01,0.0,True,False,ee5d71a7eaa2979a2f179b23ac35d77f26f2e228f7a3f85f733ffb0991aef5ff,6ed7ea8a577856c74149b71012cbf08c711f926e3a5c7c1aea1e58d9aca4ac45,9dc4776d5a52e1fcea16509e8f8213f5b3ca87c6b4f1f7c4fe11c149b0dfe435,89793d03ae8375f590dffc4c2cb1a66294b535d9bab844b765d3ed0149bd51a6,4d4f61db50ce4147201b94c72914159b65f37e9e458a827f707cc911ad6eae3b,61b089d74ca2dfa440a27e33b20bfae5d206d992e9b535abb1e23452663c584b,f8f1b3c8af25388b5b91f4000df95448b576b1b8715238305afa93e7eae83072,fc9804c56f230564b2c1f6acbea1f7aa5858874453bfe4349686c0a816ad2b7f
cifar10_raw_additive_strict_scalar_confirmatory,strict scalar,10800,0,0.32179999351501465,0.33159998059272766,103,63,1.817533268737793,0.00325525207172741,False,1,0.001,0.01,0.0,True,False,ee5d71a7eaa2979a2f179b23ac35d77f26f2e228f7a3f85f733ffb0991aef5ff,6ed7ea8a577856c74149b71012cbf08c711f926e3a5c7c1aea1e58d9aca4ac45,d876548d1ca35a8c714b7202f9f004699a71c17a06fdb7f7898823e69951207d,8bd6fa2725257f7f05455c2c1db6f80c0480baec9472a1aa4d5f79d114b2a3a6,de6b111745f0c9e8d08d1f01ad34a38ca5731aec0117acb6cc98f8aafc713ace,7698f313a9372800e932b7c48939ff28815d4f304b670f98713752d2ac898aee,54bf580668e6f5eb96435f19397fac3b40dd09e70c1c9ed0fbe068ef58a34c2a,fc9804c56f230564b2c1f6acbea1f7aa5858874453bfe4349686c0a816ad2b7f
cifar10_raw_additive_matched_bp_confirmatory,backpropagation,10801,61,0.49480000138282776,0.503600001335144,61,21,1.4494720249176025,0.00292678062554558,False,1,0.001,0.01,0.0,True,False,513ca81d8bb2a655f57e245cac48df85627f6d1583dea5f58301d7bdabe1cf71,68a1d13b1e592fda483de8331beb22282c22f34fdfaf8586c58d73be24afaf5a,618ae57c2cf72c285ab4e56e80f0b38ef491f5db10a57a2db6d5d2af179a5911,adf8c50434d3762453798a43cf5ced6c7da9467fa5320349738ca82d36b03d0e,fbff06aca8e843dc34cc180dbdecc728f16e6196198f2f24578cad7fa550e89d,9524fc0c4df53a022d4ae6d8a4123b0468be0887d8fb167d148b44ee97c6493f,582a83ee5625a6491838a4d2832ca9aa278eda2080e6f3f06015dcf097959171,058ead14b61e2dab8aff2190568947511342fd9ddc804f0788e2deb72f8cb01b
cifar10_raw_additive_exact_path_confirmatory,exact path,10801,41,0.48420000076293945,0.493399977684021,59,19,1.4746275276184082,2.5892117818228886e-05,False,1,0.001,0.01,0.0,True,False,513ca81d8bb2a655f57e245cac48df85627f6d1583dea5f58301d7bdabe1cf71,68a1d13b1e592fda483de8331beb22282c22f34fdfaf8586c58d73be24afaf5a,bf86f4873adcbf65c5facaf78d2b0e31c49d094f85e896fa15ac92fca10122ea,09727fc21387aa50aa910965f1d72c29d34fa93100c810a0d0687a38de9ab18d,893fc9c004f14e7fedd5641cd85c3e446c44b922f88a49968e406cc88e1cedde,1aafc9f54e5208276ac36abdf25e15bea96e7b074ad553ac314df47f1e6c6fb9,d8a3f225ac207347bf968aec52dc1dc468cbaaef392c17d21c32c51f8a3b0f6f,058ead14b61e2dab8aff2190568947511342fd9ddc804f0788e2deb72f8cb01b
cifar10_raw_additive_neuron_specific_confirmatory,neuron specific,10801,21,0.49480000138282776,0.5066999793052673,89,49,1.438866382598877,-0.0006672742346560631,False,1,0.001,0.01,0.0,True,False,513ca81d8bb2a655f57e245cac48df85627f6d1583dea5f58301d7bdabe1cf71,68a1d13b1e592fda483de8331beb22282c22f34fdfaf8586c58d73be24afaf5a,98d56915b0f4c514024e91cb2ce1cde3ea907e4b9b3be636968f182bd2fab52d,fbc3a8b785e8fedd2c7a9092a34e2abdf60cacd9bec72c0b8a7407e2d0d0ac94,3c3ef22a6106e18d120fd79066e31d0504d5d39f6da118e5701b863a2ed88c6d,88e30f04c8d88a386320a7b9f4c0a36cc7d46b8364126a7d9f0124b247a5d882,a2cb807f857113dbd6a3eda2422326028c240d717663c9436b3f7f42108d5cec,058ead14b61e2dab8aff2190568947511342fd9ddc804f0788e2deb72f8cb01b
cifar10_raw_additive_strict_scalar_confirmatory,strict scalar,10801,1,0.36039999127388,0.358599990606308,107,67,1.7729798194885253,0.0006877919827085388,False,1,0.001,0.01,0.0,True,False,513ca81d8bb2a655f57e245cac48df85627f6d1583dea5f58301d7bdabe1cf71,68a1d13b1e592fda483de8331beb22282c22f34fdfaf8586c58d73be24afaf5a,4e75d12948a76c59f86d39cc5ef6c8bb875abc4190a17a24d80a27b1b46abdcd,da709a55177355e875c0f4ab3572983d9741275e2aa9871ca9bebbd57f94060b,79b4570c1d69bd00503c02bac12edd9b790080d2c702bb03cb86a633557b60e2,c395b508bf4e3e3784fe8ef84bc69a435cf17d7d254a1c60f94196d64680a469,112fa6f5612c283fb456faa0b59fbf03f916ee07579968c45f039e9beb795391,058ead14b61e2dab8aff2190568947511342fd9ddc804f0788e2deb72f8cb01b
cifar10_raw_additive_matched_bp_confirmatory,backpropagation,10802,62,0.4803999960422516,0.4983999729156494,59,19,1.4568361486434938,0.004427479845682743,False,1,0.001,0.01,0.0,True,False,46903de37bffaba1df00190fd23e78f85d366214d22d40b90e58225b0a34e70b,0950a2106c6fe193bd177b446b401de5b7ca7b6fa6b64eb05addfe4f40b18a0e,0aae35eace8e0089b731b912b875328aaf82e86c66d31adac55283f83d1ac2de,3d86beb62750c98af28e5a5a435c345c7c8908293b094d1ab145e275e681a371,7330f190ce13e0e7654e22d7b9d04640fb829dfe0894ed1cce64b02736b673e3,4971bb0d87d32b60de3c2dc256100e3dd37bd3d4649ca480a10386f79d76ea4b,876d294ba197e163ec9f1274459605472241611f13c56ebe0b95efb1b5e1b667,d0c245d291213a060d137ed98fbf2aa54624638509699bcd468f2401455b12f5
cifar10_raw_additive_exact_path_confirmatory,exact path,10802,42,0.49139997363090515,0.5009999871253967,63,23,1.44357329120636,0.0006162027532404459,False,1,0.001,0.01,0.0,True,False,46903de37bffaba1df00190fd23e78f85d366214d22d40b90e58225b0a34e70b,0950a2106c6fe193bd177b446b401de5b7ca7b6fa6b64eb05addfe4f40b18a0e,cff66ae7d0e3a26eac8eacdd7ce5d4f4584d628e2253a5e826b66cba6fee2b86,5a04ad31bd1d13d8409d36d52e5b0c57798c82f3eaf8d6a3766b9522de526869,66e31262be12888de33b2fa05e54515bb7fc80af02520ac5641f02c8b0265775,47343290d7ccece437a907a8c2aa828d336cbd8c3d8e5a882495835386004900,46dc25a874baee8adae88dc65dbc2efa74b40f4d894d2b5f1c8305950b98b89a,d0c245d291213a060d137ed98fbf2aa54624638509699bcd468f2401455b12f5
cifar10_raw_additive_neuron_specific_confirmatory,neuron specific,10802,22,0.5045999884605408,0.5144000053405762,101,61,1.4263053161621093,0.0024224544987533725,False,1,0.001,0.01,0.0,True,False,46903de37bffaba1df00190fd23e78f85d366214d22d40b90e58225b0a34e70b,0950a2106c6fe193bd177b446b401de5b7ca7b6fa6b64eb05addfe4f40b18a0e,3661e8d2d5c75e55921b52d9a58dafaba212fd338757f62f89c0694eefb265a2,d574097495de35e29a7760b59b90ca9669fea1d2a4b0a0bdba0593b63de14e17,091cb6745c7115a93955893cacfe8aabf707a0ced2ebb60899ba18cb162ab2bc,5c9898a48a47128cdf07ef65ed3d40db2bccfe5d2e8b594efc01ccb2459348df,4df813c4bf565bf71607341424c7423392e02c5b37ee48f2e6d9b9e8a5e31d80,d0c245d291213a060d137ed98fbf2aa54624638509699bcd468f2401455b12f5
cifar10_raw_additive_strict_scalar_confirmatory,strict scalar,10802,2,0.3527999818325043,0.35510000586509705,85,45,1.7578608606338502,0.00029612577958541505,False,1,0.001,0.01,0.0,True,False,46903de37bffaba1df00190fd23e78f85d366214d22d40b90e58225b0a34e70b,0950a2106c6fe193bd177b446b401de5b7ca7b6fa6b64eb05addfe4f40b18a0e,65cc92a9e0696543dca9bdf05c43c855ab0771318d4b5a32695a6d4f6fa43f90,6ec3d2ebb852ed12ec740527fa29edf06047ac88b5b1d322de067cbb1e099a27,71254f82bf3d68b0359de22868bd3702dee50035230b8ef31601a93d2ff17a46,e62b8a1598da91cb5a40c2850241bf4ec29374584e8a64c8fa07a1f605010f87,7b4dd190d039bd9f0286b79dc012c05946c40ca575b602115ec4b385fd070d92,d0c245d291213a060d137ed98fbf2aa54624638509699bcd468f2401455b12f5
