dataset,core,depth,n_paired_seeds,mean_exact_accuracy,mean_backpropagation_accuracy,mean_exact_minus_backpropagation_accuracy,sample_sd_exact_minus_backpropagation_accuracy,ci95_low,ci95_high,positive_seeds,negative_seeds,ties,wilcoxon_two_sided_p,maximum_absolute_seed_difference
mnist,additive,1,10,0.9639899730682373,0.9631399691104889,0.0008500039577484131,0.0016174294385068802,-5.9986114501953124e-05,0.001810002326965332,6,4,0,0.232421875,0.003399968147277832
mnist,additive,2,10,0.9698299884796142,0.969219970703125,0.0006100177764892578,0.001669634615956582,-0.00040998473763465877,0.0015600144863128663,7,3,0,0.275390625,0.0028000473976135254
mnist,additive,3,10,0.9720199823379516,0.9725599706172943,-0.0005399882793426514,0.001216734472498682,-0.0012399913370609282,0.00019000172615051268,3,7,0,0.203125,0.002400040626525879
mnist,additive,4,10,0.974679970741272,0.9754099786281586,-0.0007300078868865967,0.001023119631010933,-0.0013300061225891113,-0.00012000203132629394,2,8,0,0.046875,0.002499997615814209
mnist,additive,all_depths_seed_mean,10,0.9701299786567688,0.9700824722647667,4.750639200210571e-05,0.0005784829832676064,-0.00027748797088861466,0.0004050742834806388,4,5,1,1.0,0.0012999922037124634
mnist,shunting,1,10,0.9661499738693238,0.9669699847698212,-0.0008200109004974365,0.001026108267650941,-0.001320016384124756,-0.00014001131057739258,1,9,0,0.060546875,0.001999974250793457
mnist,shunting,2,10,0.9699899733066559,0.97008997797966,-0.00010000467300415039,0.001442993347649752,-0.0009299933910369873,0.0007699847221374512,5,5,0,0.8671875,0.0020999908447265625
mnist,shunting,3,10,0.9705799758434296,0.9705899775028228,-1.0001659393310548e-05,0.0016285277152278375,-0.0009600043296813965,0.0009499968588352203,5,5,0,1.0,0.00279998779296875
mnist,shunting,4,10,0.9716899693012238,0.9712699830532074,0.0004199862480163574,0.0009366654200542163,-0.00011002421379089356,0.0009699881076812745,6,4,0,0.322265625,0.001799941062927246
mnist,shunting,all_depths_seed_mean,10,0.9696024730801582,0.9697299808263778,-0.000127507746219635,0.0005816040173111311,-0.0004650116339325905,0.00021999333053827287,4,6,0,0.4921875,0.001100003719329834
noise_resilience,additive,1,10,0.3299000203609467,0.3276000201702118,0.002300000190734863,0.007944940134819185,-0.0020999908447265625,0.007399994134902954,3,1,6,0.625,0.019999980926513672
noise_resilience,additive,2,10,0.33650001883506775,0.33770001828670504,-0.0011999994516372682,0.004366537822155905,-0.004099997878074646,0.0009000003337860107,2,2,6,0.625,0.01199999451637268
noise_resilience,additive,3,10,0.3360000133514404,0.3362000107765198,-0.0001999974250793457,0.011073490150225393,-0.006899997591972351,0.006000003293156624,5,3,2,0.9453125,0.021999984979629517
noise_resilience,additive,4,10,0.3327000141143799,0.3381000131368637,-0.0053999990224838255,0.02130832386984453,-0.019699996709823607,0.005099993944168091,5,5,0,0.865234375,0.05900001525878906
noise_resilience,additive,all_depths_seed_mean,10,0.33377501666545867,0.3349000155925751,-0.001124998927116394,0.006077337411753819,-0.004649999756366014,0.0024749979376792906,4,6,0,0.625,0.011000007390975952
noise_resilience,shunting,1,10,0.34470002055168153,0.3430000126361847,0.0017000079154968263,0.011065960808638307,-0.004799988865852356,0.008200004696846008,6,3,1,0.55078125,0.018999993801116943
noise_resilience,shunting,2,10,0.34910001456737516,0.35560002028942106,-0.0065000057220458984,0.011207640015488015,-0.012700006365776062,0.00030000217258930207,2,8,0,0.087890625,0.021000027656555176
noise_resilience,shunting,3,10,0.38710001707077024,0.382800018787384,0.0042999982833862305,0.015195393572816683,-0.005300000384449959,0.012300002574920654,7,3,0,0.263671875,0.030000001192092896
noise_resilience,shunting,4,10,0.3867000162601471,0.390100023150444,-0.003400006890296936,0.019426212986331074,-0.016300004720687867,0.005699998214840889,4,6,0,0.6953125,0.05500000715255737
noise_resilience,shunting,all_depths_seed_mean,10,0.36690001711249354,0.3678750187158585,-0.0009750016033649445,0.008915069873963717,-0.0065250032208859915,0.003899994492530823,7,3,0,1.0,0.017750002443790436
