cohort,config_index,method,dataset,core,core_type,depth,seed,test_accuracy,test_categorical_loglikelihood,best_epoch,checkpoint_tensor_count,checkpoint_bytes,checkpoint_sha256,config_sha256,latest_log_critical_count,used_streaming_evaluation
bp_mnist_additive,0,backpropagation,mnist,additive,dendritic_additive,1,42,0.963699996471405,-0.12111840397119522,42,15,1622346,f1f4bcc90b850b7b26abb75af73c8d782bf07ead1f6e5ac3c6ab2c378b7fc1c0,9f85396409305989209dc293395733acc69ddcfc84b24363fa23a3bb4fac5c22,0,False
exact_mnist_additive,0,exact_transport,mnist,additive,dendritic_additive,1,42,0.9656999707221985,-0.12268193066120148,47,15,1622346,9e4640eebef86c4a9674cbd5f0c6515ebb765a030b7f3fe6f9285137cdcf1e1c,0379f148efa20e3f714d24285ddc0414e519bb335130fa5f3256c6e1dceb7864,0,False
bp_mnist_additive,1,backpropagation,mnist,additive,dendritic_additive,1,43,0.9602999687194824,-0.12314008176326752,42,15,1622346,03a8d7f08e6a0dbd11c520024da7f3a95276566fd8b7ff3c1f1a2d6418d2fdc3,e51536225729c1f23040ac3fa4293a2dbd8434113c569ed2beecba9f8de1516d,0,False
exact_mnist_additive,1,exact_transport,mnist,additive,dendritic_additive,1,43,0.960599958896637,-0.127616286277771,43,15,1622346,c1a2baf8fc9c563385516546597e39fdf0aca80cf2ff1d5d39e941c7ec4d9143,ec1a89288d48847ad505774f9163fed637990c030e7dbbde0b2018dfc5286237,0,False
bp_mnist_additive,2,backpropagation,mnist,additive,dendritic_additive,1,44,0.9651999473571777,-0.11879916489124298,45,15,1622346,1a3fc7ec9cc2bd743ee59a7ae14dc1d14c7f22344a89f589594f3f8fcb11d91c,10fb1a364f8a7d6f15a7158675c6ddb997b63fc8402cd3a83ce88f13787dbac4,0,False
exact_mnist_additive,2,exact_transport,mnist,additive,dendritic_additive,1,44,0.9639999866485596,-0.12664733827114105,42,15,1622346,b62a3bb6c156db5a02270e59676ccc065916abd106ca21d785eedcaaac2ff35b,deac1b443cc3903e084701222f3c4197e39cbb3aee2ab710d58c88981eaa660f,0,False
bp_mnist_additive,3,backpropagation,mnist,additive,dendritic_additive,1,45,0.9626999497413635,-0.12781256437301636,43,15,1622346,076d9c6df0aeb6af8ff00f33fe4433c9df2643c24cdf9b273e16861626aa4aef,08eee5f9be6cdc15488770215558cd417c9f1ca9c44556db91936abf5e7023e6,0,False
exact_mnist_additive,3,exact_transport,mnist,additive,dendritic_additive,1,45,0.9657999873161316,-0.12451113015413284,35,15,1622346,1311d14e81c6dbfad07b3c7c68523e08a78f52c7e25bdc934f2046601dd6bd16,331ff5efc3ef1354c70e25def45b90be82cf5b5f51c6c334ef93b8310cf0af80,0,False
bp_mnist_additive,4,backpropagation,mnist,additive,dendritic_additive,1,46,0.962399959564209,-0.12206217646598816,42,15,1622346,70eb92b0c5a81b4c7996e8c68878a4353cbbc24e06e704b14352feca8d927414,736a8b3a90abca1c305da25999587bd4a06949b2b0cfba214553707cea2f02c6,0,False
exact_mnist_additive,4,exact_transport,mnist,additive,dendritic_additive,1,46,0.9634999632835388,-0.11625855416059494,45,15,1622346,92eb881b3ca2df14f9b67c596e3e87cb5a1dc30ced1eec24150fcdd893668d20,54f4982798e590a91a5f1ff46d71f3892de31aef16aa4386f4b17db15e6cf388,0,False
bp_mnist_additive,5,backpropagation,mnist,additive,dendritic_additive,1,47,0.9628999829292297,-0.11975985765457153,40,15,1622346,086281c84104673fcd76223092f952abd9240a5d2838e53f73deb3d186558023,f0c87a37853d14e1b47a9c28325e373a09c773d7e38e7601fc79cc171c2dd7b0,0,False
exact_mnist_additive,5,exact_transport,mnist,additive,dendritic_additive,1,47,0.9662999510765076,-0.11370370537042618,38,15,1622346,b3f1b5b42e8baf063563d583bd93054608927827615d713b3f3190c3125a280b,d2031975bcc488eb6e16120baa33d34565820bf99702ca2d058213dc7ae8c184,0,False
bp_mnist_additive,6,backpropagation,mnist,additive,dendritic_additive,1,48,0.965399980545044,-0.11526212841272354,42,15,1622346,a1cbfdaff60424870f72359ebfd19e8320b9000b65a032207e83fa24f9491ce6,b44e399e4a5587227cb72e989f877fef841898b2890369188e8590b1edab5738,0,False
exact_mnist_additive,6,exact_transport,mnist,additive,dendritic_additive,1,48,0.9649999737739563,-0.1163920983672142,44,15,1622346,26fa28a64b696e778c05647b5f5b2f5f9f728bf59e71e359087bb9337c3de269,c3a47eeb63b861f59609dc6b8cd4af7dc2e05c55679ae55972d1090c8f139ab6,0,False
bp_mnist_additive,7,backpropagation,mnist,additive,dendritic_additive,1,49,0.9630999565124512,-0.12090546637773514,48,15,1622346,b99c8eb5659b41ab8eb65c10b7d964378e227c96fb7e6e96e513647a54c00060,590b17f104dc02f1ce8419de6b19e0221150f3e97ebdb87c93b0e41c42481c67,0,False
exact_mnist_additive,7,exact_transport,mnist,additive,dendritic_additive,1,49,0.962399959564209,-0.12491050362586975,48,15,1622346,e3fa52fcd7bdab2298c5e449a0765407443e1b5b1f3cc2aea110f1db6a455cfd,4b9e56caa9347febc126887aa1f4f8b31a995f416cafa7e2d91641cda97822c4,0,False
bp_mnist_additive,8,backpropagation,mnist,additive,dendritic_additive,1,50,0.9637999534606934,-0.1204894632101059,44,15,1622346,04ec9b2a7c806e897b221a1b5117fad7acbb66fc75c36fd619143a34a4095cc1,061cbcfd5f74b48356862c99d4ea7ace8244485f30d4b4b65c3a5ff0d56de389,0,False
exact_mnist_additive,8,exact_transport,mnist,additive,dendritic_additive,1,50,0.9632999897003174,-0.12434789538383484,44,15,1622346,b345d64a49ac47485c55a7c46736231d2be5df9facfb1d170cca29ae6e8ad2c1,439fed38a93505217f355a751870e33c3c68939b2b389c62855944db8f54f197,0,False
