panel,task,optimizer,rule,step,mean,ci_low,ci_high,n,phase,rate_scope,contrast,n_positive,n_negative,metric
A,ungated_independent,adam,exact,0.0,24.80946564052498,21.62190325792333,28.411771083820458,20.0,,,,,,
A,ungated_independent,adam,exact,64.0,0.39980065818685456,0.3090222255141714,0.5003625825417044,20.0,,,,,,
A,ungated_independent,adam,exact,256.0,0.04642658594665014,0.037489415752596844,0.055401418755273796,20.0,,,,,,
A,ungated_independent,adam,exact,1024.0,0.007210620539062735,0.005839135779073216,0.008604596816025002,20.0,,,,,,
A,ungated_independent,adam,exact,2048.0,0.00248302394387237,0.0019063851264565221,0.0031132042386806057,20.0,,,,,,
A,ungated_independent,adam,exact,4096.0,0.0004868660059439287,0.0002469574865011614,0.0007821434747596489,20.0,,,,,,
A,ungated_independent,adam,exact,8192.0,5.908004434199584e-05,4.410943488390778e-05,7.556470381873169e-05,20.0,,,,,,
A,ungated_independent,adam,exact,12288.0,8.680403031343008e-06,4.926361989113724e-06,1.3572768102472048e-05,20.0,,,,,,
A,ungated_independent,adam,exact,16384.0,5.892109631870862e-06,1.4606532017908327e-06,1.2111946274091341e-05,20.0,,,,,,
A,ungated_independent,adam,unit_broadcast,0.0,24.80946564052498,21.565308409885645,28.371182217634995,20.0,,,,,,
A,ungated_independent,adam,unit_broadcast,64.0,0.13877353597420436,0.11402595350242702,0.16563705923462535,20.0,,,,,,
A,ungated_independent,adam,unit_broadcast,256.0,0.019764123626566966,0.01602156955366968,0.02376445833285696,20.0,,,,,,
A,ungated_independent,adam,unit_broadcast,1024.0,0.0035056392513106,0.0030041770144620564,0.004010019120325995,20.0,,,,,,
A,ungated_independent,adam,unit_broadcast,2048.0,0.000701063130734915,0.0006034464922623686,0.0008015458756682657,20.0,,,,,,
A,ungated_independent,adam,unit_broadcast,4096.0,3.767858558816876e-05,2.6991171479654078e-05,5.12494319692772e-05,20.0,,,,,,
A,ungated_independent,adam,unit_broadcast,8192.0,1.8028731838688382e-05,1.3413065666412343e-05,2.3104691859206865e-05,20.0,,,,,,
A,ungated_independent,adam,unit_broadcast,12288.0,4.595525607387096e-06,2.4045953782808437e-06,7.586405364078292e-06,20.0,,,,,,
A,ungated_independent,adam,unit_broadcast,16384.0,1.643407114972664e-06,7.007108058809827e-07,2.735690485388312e-06,20.0,,,,,,
A,ungated_independent,adam,calibrated_broadcast,0.0,24.80946564052498,21.55111499988415,28.444611512505034,20.0,,,,,,
A,ungated_independent,adam,calibrated_broadcast,64.0,0.4312621459466812,0.31404255154286775,0.5621743844109907,20.0,,,,,,
A,ungated_independent,adam,calibrated_broadcast,256.0,0.02339566527156268,0.01876284572756644,0.02816398954916816,20.0,,,,,,
A,ungated_independent,adam,calibrated_broadcast,1024.0,0.004942759465402386,0.004088268017265748,0.005787042048076293,20.0,,,,,,
A,ungated_independent,adam,calibrated_broadcast,2048.0,0.0013741660676194801,0.00109444560678207,0.001672364312597307,20.0,,,,,,
A,ungated_independent,adam,calibrated_broadcast,4096.0,5.307748495013012e-05,3.9123016488569676e-05,7.041165577318634e-05,20.0,,,,,,
A,ungated_independent,adam,calibrated_broadcast,8192.0,2.1135219018846093e-05,1.5873709869723677e-05,2.6923522667362146e-05,20.0,,,,,,
A,ungated_independent,adam,calibrated_broadcast,12288.0,4.73950087121455e-06,3.2286157910871738e-06,6.492952283462066e-06,20.0,,,,,,
A,ungated_independent,adam,calibrated_broadcast,16384.0,3.3345398865533404e-06,3.3638322209271505e-07,8.314268923235452e-06,20.0,,,,,,
B,gated_conflict,adam,exact,0.0,19.18886232283178,16.405045370344393,22.416539920327548,20.0,,,,,,
B,gated_conflict,adam,exact,64.0,0.44125299898108794,0.3342845083516982,0.5689631315818946,20.0,,,,,,
B,gated_conflict,adam,exact,256.0,0.058185125538024664,0.04953855404979656,0.06748891792837262,20.0,,,,,,
B,gated_conflict,adam,exact,1024.0,0.006753698842128783,0.004358418939281046,0.00961203108121646,20.0,,,,,,
B,gated_conflict,adam,exact,2048.0,0.0009839877774077998,0.0007599222588039694,0.0012268933961910192,20.0,,,,,,
B,gated_conflict,adam,exact,4096.0,0.0005981196936158601,0.00043307551015067707,0.0007864826584948868,20.0,,,,,,
B,gated_conflict,adam,exact,8192.0,6.481059765297722e-05,2.1780398968577917e-05,0.00011953081147063694,20.0,,,,,,
B,gated_conflict,adam,exact,12288.0,1.2437939822875129e-05,6.155781923106287e-06,2.0382559387011706e-05,20.0,,,,,,
