seed,task,phase,step,optimizer,rule,rate,selected_rate,common_rate,validation_nmse,test_nmse,gradient_clipped_steps,projected_steps,bound
2111,aligned_strong,bound_sensitivity,0,adam,exact,0.03,True,True,1.8136191181625936,1.758503020902279,0,0,7.0
2111,aligned_strong,bound_sensitivity,0,adam,unit_broadcast,0.03,True,True,1.8136191181625936,1.758503020902279,0,0,7.0
2111,aligned_strong,bound_sensitivity,0,adam,calibrated_broadcast,0.03,True,True,1.8136191181625936,1.758503020902279,0,0,7.0
2111,aligned_strong,bound_sensitivity,0,adam,ancestry_three_oracle,0.03,True,True,1.8136191181625936,1.758503020902279,0,0,7.0
2111,aligned_strong,bound_sensitivity,0,sgd,exact,0.3,True,True,1.8136191181625936,1.758503020902279,0,0,7.0
2111,aligned_strong,bound_sensitivity,0,sgd,unit_broadcast,0.3,True,True,1.8136191181625936,1.758503020902279,0,0,7.0
2111,aligned_strong,bound_sensitivity,0,sgd,calibrated_broadcast,0.3,True,True,1.8136191181625936,1.758503020902279,0,0,7.0
2111,aligned_strong,bound_sensitivity,0,sgd,ancestry_three_oracle,0.3,True,True,1.8136191181625936,1.758503020902279,0,0,7.0
2111,aligned_strong,bound_sensitivity,64,adam,exact,0.03,True,True,0.030945843545768223,0.03045496074206234,0,0,7.0
2111,aligned_strong,bound_sensitivity,64,adam,unit_broadcast,0.03,True,True,0.022892124825934237,0.022503394307883205,0,0,7.0
2111,aligned_strong,bound_sensitivity,64,adam,calibrated_broadcast,0.03,True,True,0.022892146851085888,0.022503417447908555,0,0,7.0
2111,aligned_strong,bound_sensitivity,64,adam,ancestry_three_oracle,0.03,True,True,0.03318906866335492,0.03281227410827424,0,0,7.0
2111,aligned_strong,bound_sensitivity,64,sgd,exact,0.3,True,True,0.09395453927062673,0.09465068180375032,0,0,7.0
2111,aligned_strong,bound_sensitivity,64,sgd,unit_broadcast,0.3,True,True,0.01387321848816092,0.014045842607957734,0,0,7.0
2111,aligned_strong,bound_sensitivity,64,sgd,calibrated_broadcast,0.3,True,True,0.1382087573763286,0.13862671254737574,0,0,7.0
2111,aligned_strong,bound_sensitivity,64,sgd,ancestry_three_oracle,0.3,True,True,0.09596301197819884,0.09662813105827965,0,0,7.0
2111,aligned_strong,bound_sensitivity,256,adam,exact,0.03,True,True,0.002618672724084613,0.0025713257263471154,0,0,7.0
2111,aligned_strong,bound_sensitivity,256,adam,unit_broadcast,0.03,True,True,0.010195994303972326,0.009793451212551183,0,0,7.0
2111,aligned_strong,bound_sensitivity,256,adam,calibrated_broadcast,0.03,True,True,0.01019599238011533,0.009793446962235155,0,0,7.0
2111,aligned_strong,bound_sensitivity,256,adam,ancestry_three_oracle,0.03,True,True,0.00247964470214598,0.002435588954718462,0,0,7.0
2111,aligned_strong,bound_sensitivity,256,sgd,exact,0.3,True,True,0.006062986071701864,0.006118819191597777,0,0,7.0
2111,aligned_strong,bound_sensitivity,256,sgd,unit_broadcast,0.3,True,True,0.002361656258168382,0.0022799430689927017,0,0,7.0
2111,aligned_strong,bound_sensitivity,256,sgd,calibrated_broadcast,0.3,True,True,0.00868821793523621,0.008589043817445272,0,0,7.0
2111,aligned_strong,bound_sensitivity,256,sgd,ancestry_three_oracle,0.3,True,True,0.006063826778639171,0.006115696497349882,0,0,7.0
2111,aligned_strong,bound_sensitivity,1024,adam,exact,0.03,True,True,0.00022931649386817837,0.0002337490261837567,0,0,7.0
2111,aligned_strong,bound_sensitivity,1024,adam,unit_broadcast,0.03,True,True,0.003172176917884052,0.0030968140389713824,0,0,7.0
2111,aligned_strong,bound_sensitivity,1024,adam,calibrated_broadcast,0.03,True,True,0.0031718699407599945,0.003096519101717403,0,0,7.0
2111,aligned_strong,bound_sensitivity,1024,adam,ancestry_three_oracle,0.03,True,True,0.0001940358833486491,0.00019679082647481227,0,0,7.0
2111,aligned_strong,bound_sensitivity,1024,sgd,exact,0.3,True,True,0.0006707180557754609,0.0006680890594265969,0,0,7.0
2111,aligned_strong,bound_sensitivity,1024,sgd,unit_broadcast,0.3,True,True,0.0024836503805635173,0.0024090409424489694,0,0,7.0
2111,aligned_strong,bound_sensitivity,1024,sgd,calibrated_broadcast,0.3,True,True,0.00542996344938848,0.005182093155110198,0,0,7.0
