task,optimizer,rule,rate,validation_nmse
aligned_strong,adam,ancestry_three_oracle,0.003,0.0005080038087556334
aligned_strong,adam,ancestry_three_oracle,0.01,0.00011960072713403525
aligned_strong,adam,ancestry_three_oracle,0.03,2.1403432335759642e-05
aligned_strong,adam,calibrated_broadcast,0.003,0.0007045732120516667
aligned_strong,adam,calibrated_broadcast,0.01,0.0003410732488071
aligned_strong,adam,calibrated_broadcast,0.03,0.0002518602174897624
aligned_strong,adam,exact,0.003,0.0005365381031028667
aligned_strong,adam,exact,0.01,0.0001188906535133872
aligned_strong,adam,exact,0.03,1.874244608524652e-05
aligned_strong,adam,unit_broadcast,0.003,0.0007045722687085667
aligned_strong,adam,unit_broadcast,0.01,0.00034107224449763334
aligned_strong,adam,unit_broadcast,0.03,0.0002518619445333434
aligned_strong,sgd,ancestry_three_oracle,0.03,0.002688756821038267
aligned_strong,sgd,ancestry_three_oracle,0.1,0.0006801311061433667
aligned_strong,sgd,ancestry_three_oracle,0.3,0.00019830732522000002
aligned_strong,sgd,calibrated_broadcast,0.03,0.0037970521558061666
aligned_strong,sgd,calibrated_broadcast,0.1,0.0011037371563895999
aligned_strong,sgd,calibrated_broadcast,0.3,0.0003716375580544
aligned_strong,sgd,exact,0.03,0.0027303648377731
aligned_strong,sgd,exact,0.1,0.000687077894638
aligned_strong,sgd,exact,0.3,0.00020099820143513333
aligned_strong,sgd,unit_broadcast,0.03,0.00047020169657879996
aligned_strong,sgd,unit_broadcast,0.1,0.0003093737469603333
aligned_strong,sgd,unit_broadcast,0.3,0.0002641324774760333
opposed_moderate,adam,ancestry_three_oracle,0.003,0.0004920036704817
opposed_moderate,adam,ancestry_three_oracle,0.01,0.00036246083158283335
opposed_moderate,adam,ancestry_three_oracle,0.03,0.00017427457614239473
opposed_moderate,adam,calibrated_broadcast,0.003,0.7062003534539679
opposed_moderate,adam,calibrated_broadcast,0.01,0.6689270840202189
opposed_moderate,adam,calibrated_broadcast,0.03,0.6422201863444096
opposed_moderate,adam,exact,0.003,0.0005152076503111
opposed_moderate,adam,exact,0.01,0.0003617181914787667
opposed_moderate,adam,exact,0.03,0.0001772277813857232
opposed_moderate,adam,unit_broadcast,0.003,0.7066881512665241
opposed_moderate,adam,unit_broadcast,0.01,0.6698961741813072
opposed_moderate,adam,unit_broadcast,0.03,0.642422460141714
opposed_moderate,sgd,ancestry_three_oracle,0.03,0.0006920193895962667
opposed_moderate,sgd,ancestry_three_oracle,0.1,0.0006285579065777
opposed_moderate,sgd,ancestry_three_oracle,0.3,0.0005415251700071
opposed_moderate,sgd,calibrated_broadcast,0.03,0.7305208569625682
opposed_moderate,sgd,calibrated_broadcast,0.1,0.6987963523562141
opposed_moderate,sgd,calibrated_broadcast,0.3,0.7845938823669428
opposed_moderate,sgd,exact,0.03,0.0006934935563527667
opposed_moderate,sgd,exact,0.1,0.0006261398031169667
opposed_moderate,sgd,exact,0.3,0.0005379090910602
opposed_moderate,sgd,unit_broadcast,0.03,0.682083217200529
opposed_moderate,sgd,unit_broadcast,0.1,0.660468909557068
opposed_moderate,sgd,unit_broadcast,0.3,1.1619450657610486
opposed_strong,adam,ancestry_three_oracle,0.003,0.0002109140592049
opposed_strong,adam,ancestry_three_oracle,0.01,8.75212811475888e-05
opposed_strong,adam,ancestry_three_oracle,0.03,2.1426990651611993e-05
opposed_strong,adam,calibrated_broadcast,0.003,0.763764990481934
opposed_strong,adam,calibrated_broadcast,0.01,0.7377469039769428
opposed_strong,adam,calibrated_broadcast,0.03,0.7352950509324035
