task,optimizer,rule,rate,validation_nmse,original_grid
aligned_strong,adam,ancestry_three_oracle,0.003,6.013314076170942e-07,True
aligned_strong,adam,ancestry_three_oracle,0.01,2.6693466248869274e-07,True
aligned_strong,adam,ancestry_three_oracle,0.03,4.7333194847364705e-07,True
aligned_strong,adam,ancestry_three_oracle,0.1,2.4058049512129427e-07,False
aligned_strong,adam,ancestry_three_oracle,0.3,1.9226582921827106e-05,False
aligned_strong,adam,ancestry_three_oracle,1.0,0.00014010192009403333,False
aligned_strong,adam,calibrated_broadcast,0.003,0.00023127053113730265,True
aligned_strong,adam,calibrated_broadcast,0.01,0.00024164593126184343,True
aligned_strong,adam,calibrated_broadcast,0.03,0.00024914608874299576,True
aligned_strong,adam,calibrated_broadcast,0.1,0.00015278712827982297,False
aligned_strong,adam,calibrated_broadcast,0.3,0.0004548846769504667,False
aligned_strong,adam,calibrated_broadcast,1.0,0.0007378289134869001,False
aligned_strong,adam,exact,0.003,7.519154587671029e-07,True
aligned_strong,adam,exact,0.01,2.491249657119414e-07,True
aligned_strong,adam,exact,0.03,3.0300838038580065e-07,True
aligned_strong,adam,exact,0.1,5.631692495510298e-07,False
aligned_strong,adam,exact,0.3,2.3051721664803803e-06,False
aligned_strong,adam,exact,1.0,0.00014505439888960216,False
aligned_strong,adam,unit_broadcast,0.003,0.0002312853639209706,True
aligned_strong,adam,unit_broadcast,0.01,0.0002416580882155019,True
aligned_strong,adam,unit_broadcast,0.03,0.00024913365591607673,True
aligned_strong,adam,unit_broadcast,0.1,0.0001527858557868209,False
aligned_strong,adam,unit_broadcast,0.3,0.0004548847183817,False
aligned_strong,adam,unit_broadcast,1.0,0.0007360185987153999,False
aligned_strong,sgd,ancestry_three_oracle,0.03,0.0005407011185411,True
aligned_strong,sgd,ancestry_three_oracle,0.1,0.00016646482563313332,True
aligned_strong,sgd,ancestry_three_oracle,0.3,0.00012036341037143334,True
aligned_strong,sgd,ancestry_three_oracle,1.0,7.403818572147146e-05,False
aligned_strong,sgd,ancestry_three_oracle,3.0,1.642548880464987e-05,False
aligned_strong,sgd,ancestry_three_oracle,10.0,1.09813929416702,False
aligned_strong,sgd,calibrated_broadcast,0.03,0.0009014006702674,True
aligned_strong,sgd,calibrated_broadcast,0.1,0.0003097924019733667,True
aligned_strong,sgd,calibrated_broadcast,0.3,0.00026238937334063334,True
aligned_strong,sgd,calibrated_broadcast,1.0,0.0001954997661246696,False
aligned_strong,sgd,calibrated_broadcast,3.0,0.00017081380337689143,False
aligned_strong,sgd,calibrated_broadcast,10.0,0.4781400149517688,False
aligned_strong,sgd,exact,0.03,0.0005459916228367667,True
aligned_strong,sgd,exact,0.1,0.00016942743304876668,True
aligned_strong,sgd,exact,0.3,0.00012466677742746667,True
aligned_strong,sgd,exact,1.0,8.599807263371747e-05,False
aligned_strong,sgd,exact,3.0,2.1889707527888254e-05,False
aligned_strong,sgd,exact,10.0,1.4457165333188096,False
aligned_strong,sgd,unit_broadcast,0.03,0.0003020861186703,True
aligned_strong,sgd,unit_broadcast,0.1,0.0002621049037470667,True
aligned_strong,sgd,unit_broadcast,0.3,0.00021676526483333894,True
aligned_strong,sgd,unit_broadcast,1.0,0.00019727229412632832,False
aligned_strong,sgd,unit_broadcast,3.0,0.1505946323936036,False
aligned_strong,sgd,unit_broadcast,10.0,1.4457165333188096,False
opposed_strong,adam,ancestry_three_oracle,0.003,2.5384035537049636e-07,True
opposed_strong,adam,ancestry_three_oracle,0.01,2.3624477730591216e-07,True
