job_id,state,elapsed_seconds,total_cpu
44916608_0,COMPLETED,53,00:47.986
44916608_1,COMPLETED,48,00:40.470
44916608_2,COMPLETED,48,00:40.507
44916753_0,COMPLETED,31,00:11.850
44916753_1,COMPLETED,15,00:10.793
44916753_2,COMPLETED,14,00:08.808
44916753_3,COMPLETED,33,00:08.787
44916753_4,COMPLETED,20,00:09.459
44916753_5,COMPLETED,20,00:09.548
44916753_6,COMPLETED,20,00:09.618
44916753_7,COMPLETED,20,00:09.285
44916753_8,COMPLETED,20,00:09.211
44916753_9,COMPLETED,25,00:08.603
44916753_10,COMPLETED,25,00:13.943
44916753_11,COMPLETED,25,00:13.913
44916753_12,COMPLETED,14,00:09.941
44916753_13,COMPLETED,19,00:16.186
44916753_14,COMPLETED,19,00:16.176
44916753_15,COMPLETED,11,00:08.584
44916753_16,COMPLETED,18,00:08.483
44916753_17,COMPLETED,12,00:09.367
44916753_18,COMPLETED,14,00:12.563
44916753_19,COMPLETED,14,00:08.429
44916924_0,COMPLETED,42,00:27.434
44916924_1,COMPLETED,41,00:27.468
44916924_2,COMPLETED,42,00:27.711
44916924_3,COMPLETED,42,00:27.384
44916924_4,COMPLETED,41,00:27.654
44916924_5,COMPLETED,41,00:27.348
44916924_6,COMPLETED,42,00:27.756
44916924_7,COMPLETED,41,00:27.530
44916924_8,COMPLETED,35,00:24.424
44916924_9,COMPLETED,35,00:24.245
44916924_10,COMPLETED,28,00:25.297
44916924_11,COMPLETED,28,00:25.233
44916924_12,COMPLETED,28,00:25.465
44916924_13,COMPLETED,28,00:25.192
44916924_14,COMPLETED,28,00:25.181
44916924_15,COMPLETED,27,00:25.398
44916924_16,COMPLETED,27,00:25.167
44916924_17,COMPLETED,27,00:25.207
44916924_18,COMPLETED,27,00:25.617
44916924_19,COMPLETED,35,00:31.287
44917524_0,COMPLETED,70,01:05.913
44917524_1,COMPLETED,70,01:05.723
44917524_2,COMPLETED,70,01:05.770
44917912_0,COMPLETED,23,00:19.565
44917912_1,COMPLETED,18,00:14.960
44917912_2,COMPLETED,18,00:15.035
44917912_3,COMPLETED,17,00:14.101
44917912_4,COMPLETED,17,00:13.971
44917912_5,COMPLETED,17,00:13.999
44917912_6,COMPLETED,17,00:14.101
44917912_7,COMPLETED,17,00:14.084
44917912_8,COMPLETED,17,00:14.120
44917912_9,COMPLETED,17,00:14.154
44917912_10,COMPLETED,17,00:14.993
44917912_11,COMPLETED,16,00:14.588
44917912_12,COMPLETED,16,00:14.581
44917912_13,COMPLETED,16,00:14.448
44917912_14,COMPLETED,16,00:14.521
44917912_15,COMPLETED,16,00:14.629
44917912_16,COMPLETED,16,00:14.646
44917912_17,COMPLETED,21,00:18.521
44917912_18,COMPLETED,16,00:14.348
44917912_19,COMPLETED,16,00:14.352
44918065_0,COMPLETED,65,01:00.646
44918065_1,COMPLETED,45,00:41.985
44918065_2,COMPLETED,44,00:41.529
44918065_3,COMPLETED,44,00:41.470
44918065_4,COMPLETED,44,00:41.449
44918065_5,COMPLETED,44,00:41.493
44918065_6,COMPLETED,45,00:42.194
44918065_7,COMPLETED,45,00:41.891
44918065_8,COMPLETED,44,00:41.710
44918065_9,COMPLETED,44,00:41.387
44918065_10,COMPLETED,57,00:53.570
44918065_11,COMPLETED,54,00:42.541
44918065_12,COMPLETED,54,00:42.511
44918065_13,COMPLETED,54,00:42.588
44918065_14,COMPLETED,54,00:42.670
44918065_15,COMPLETED,54,00:42.432
44918065_16,COMPLETED,54,00:43.029
44918065_17,COMPLETED,46,00:44.587
44918065_18,COMPLETED,38,00:36.828
44918065_19,COMPLETED,43,00:36.754
44918688_0,COMPLETED,152,02:27.424
44918688_1,COMPLETED,134,02:09.199
44918688_2,COMPLETED,117,01:49.012
44918688_3,COMPLETED,117,01:49.808
44918688_4,COMPLETED,117,01:50.636
44918688_5,COMPLETED,117,01:49.892
44918688_6,COMPLETED,115,01:49.410
44918688_7,COMPLETED,117,01:49.456
44918688_8,COMPLETED,117,01:50.543
44918688_9,COMPLETED,117,01:50.978
44918688_10,COMPLETED,122,01:58.141
44918688_11,COMPLETED,121,01:57.500
44918688_12,COMPLETED,121,01:57.361
44918688_13,COMPLETED,121,01:57.584
44918688_14,COMPLETED,122,01:58.690
44918688_15,COMPLETED,121,01:57.115
44918688_16,COMPLETED,121,01:56.896
44918688_17,COMPLETED,101,01:37.081
44918688_18,COMPLETED,132,02:07.454
44918688_19,COMPLETED,147,02:19.620
