seed,phase,optimizer,rate_scope,rule,contrast,value
1101,fresh,adam,selected,unit_broadcast,target_gap,0.0006719475562713999
1102,fresh,adam,selected,unit_broadcast,target_gap,0.00025290043022630003
1103,fresh,adam,selected,unit_broadcast,target_gap,-0.0007203438853517001
1104,fresh,adam,selected,unit_broadcast,target_gap,-0.0006501200231802999
1105,fresh,adam,selected,unit_broadcast,target_gap,9.143943508569996e-05
1106,fresh,adam,selected,unit_broadcast,target_gap,-0.00032092544189270007
1107,fresh,adam,selected,unit_broadcast,target_gap,0.0005494706627291999
1108,fresh,adam,selected,unit_broadcast,target_gap,-0.0001410990445288
1109,fresh,adam,selected,unit_broadcast,target_gap,0.00010727313492059999
1110,fresh,adam,selected,unit_broadcast,target_gap,-0.0002742288680546293
1111,fresh,adam,selected,unit_broadcast,target_gap,-5.544930061180005e-05
1112,fresh,adam,selected,unit_broadcast,target_gap,-6.292319510179997e-05
1113,fresh,adam,selected,unit_broadcast,target_gap,0.0005510704296957001
1114,fresh,adam,selected,unit_broadcast,target_gap,-0.00020772419879360002
1115,fresh,adam,selected,unit_broadcast,target_gap,-4.7396404346899935e-05
1116,fresh,adam,selected,unit_broadcast,target_gap,0.0022571175390102
1117,fresh,adam,selected,unit_broadcast,target_gap,-0.0001375521403601
1118,fresh,adam,selected,unit_broadcast,target_gap,-8.109624332395583e-05
1119,fresh,adam,selected,unit_broadcast,target_gap,0.0003709372853599
1120,fresh,adam,selected,unit_broadcast,target_gap,-0.00035872880236050003
1101,fresh,adam,selected,unit_broadcast,control_gap,-0.0005097595765792897
1102,fresh,adam,selected,unit_broadcast,control_gap,-7.187619868519044e-05
1103,fresh,adam,selected,unit_broadcast,control_gap,-0.0017719569830707993
1104,fresh,adam,selected,unit_broadcast,control_gap,-0.00013912125611340528
1105,fresh,adam,selected,unit_broadcast,control_gap,-9.451954735747375e-05
1106,fresh,adam,selected,unit_broadcast,control_gap,-0.002364546672929412
1107,fresh,adam,selected,unit_broadcast,control_gap,-6.17803112035137e-05
1108,fresh,adam,selected,unit_broadcast,control_gap,-2.396283655315948e-05
1109,fresh,adam,selected,unit_broadcast,control_gap,-0.0006019484417640276
1110,fresh,adam,selected,unit_broadcast,control_gap,-7.820775625190225e-05
1111,fresh,adam,selected,unit_broadcast,control_gap,-3.590775294644992e-05
1112,fresh,adam,selected,unit_broadcast,control_gap,-6.704579434589826e-05
1113,fresh,adam,selected,unit_broadcast,control_gap,-0.0006801751550972
1114,fresh,adam,selected,unit_broadcast,control_gap,-0.00042891336710079204
1115,fresh,adam,selected,unit_broadcast,control_gap,-0.0011953183876685684
1116,fresh,adam,selected,unit_broadcast,control_gap,-7.395173468919636e-05
1117,fresh,adam,selected,unit_broadcast,control_gap,-0.0004444046583040281
1118,fresh,adam,selected,unit_broadcast,control_gap,-7.397571186713349e-05
1119,fresh,adam,selected,unit_broadcast,control_gap,-0.00012318856173450273
1120,fresh,adam,selected,unit_broadcast,control_gap,-0.0001431877028532557
1101,fresh,adam,selected,unit_broadcast,task_difference_in_gap,0.0011817071328506896
1102,fresh,adam,selected,unit_broadcast,task_difference_in_gap,0.00032477662891149047
1103,fresh,adam,selected,unit_broadcast,task_difference_in_gap,0.0010516130977190992
1104,fresh,adam,selected,unit_broadcast,task_difference_in_gap,-0.0005109987670668946
1105,fresh,adam,selected,unit_broadcast,task_difference_in_gap,0.0001859589824431737
1106,fresh,adam,selected,unit_broadcast,task_difference_in_gap,0.002043621231036712
1107,fresh,adam,selected,unit_broadcast,task_difference_in_gap,0.0006112509739327136
1108,fresh,adam,selected,unit_broadcast,task_difference_in_gap,-0.00011713620797564052
1109,fresh,adam,selected,unit_broadcast,task_difference_in_gap,0.0007092215766846277
1110,fresh,adam,selected,unit_broadcast,task_difference_in_gap,-0.00019602111180272707
1111,fresh,adam,selected,unit_broadcast,task_difference_in_gap,-1.954154766535013e-05
1112,fresh,adam,selected,unit_broadcast,task_difference_in_gap,4.122599244098284e-06
1113,fresh,adam,selected,unit_broadcast,task_difference_in_gap,0.0012312455847929
1114,fresh,adam,selected,unit_broadcast,task_difference_in_gap,0.00022118916830719202
1115,fresh,adam,selected,unit_broadcast,task_difference_in_gap,0.0011479219833216685
1116,fresh,adam,selected,unit_broadcast,task_difference_in_gap,0.0023310692736993963
1117,fresh,adam,selected,unit_broadcast,task_difference_in_gap,0.0003068525179439281
1118,fresh,adam,selected,unit_broadcast,task_difference_in_gap,-7.120531456822343e-06
1119,fresh,adam,selected,unit_broadcast,task_difference_in_gap,0.0004941258470944028
1120,fresh,adam,selected,unit_broadcast,task_difference_in_gap,-0.00021554109950724432
1101,fresh,adam,selected,calibrated_broadcast,target_gap,0.0007821217975492999
1102,fresh,adam,selected,calibrated_broadcast,target_gap,0.00027579740745989996
1103,fresh,adam,selected,calibrated_broadcast,target_gap,-0.0004780425712848001
1104,fresh,adam,selected,calibrated_broadcast,target_gap,-0.0004884896130840999
1105,fresh,adam,selected,calibrated_broadcast,target_gap,0.0001093216171724
1106,fresh,adam,selected,calibrated_broadcast,target_gap,-0.00011805034067220005
1107,fresh,adam,selected,calibrated_broadcast,target_gap,0.0005899472900348999
1108,fresh,adam,selected,calibrated_broadcast,target_gap,-0.000104357284856
1109,fresh,adam,selected,calibrated_broadcast,target_gap,0.00017758269844939995
1110,fresh,adam,selected,calibrated_broadcast,target_gap,-0.00019516218591299997
1111,fresh,adam,selected,calibrated_broadcast,target_gap,-5.297642325250004e-05
1112,fresh,adam,selected,calibrated_broadcast,target_gap,4.272887860750003e-05
1113,fresh,adam,selected,calibrated_broadcast,target_gap,0.0006236911466685
1114,fresh,adam,selected,calibrated_broadcast,target_gap,-0.00012830135310520007
1115,fresh,adam,selected,calibrated_broadcast,target_gap,-2.718592487620003e-05
1116,fresh,adam,selected,calibrated_broadcast,target_gap,0.0025400196851602
1117,fresh,adam,selected,calibrated_broadcast,target_gap,-7.765754269139998e-05
1118,fresh,adam,selected,calibrated_broadcast,target_gap,-4.833686456990001e-05
1119,fresh,adam,selected,calibrated_broadcast,target_gap,0.0005243082948869998
1120,fresh,adam,selected,calibrated_broadcast,target_gap,-0.00023746777068260003
1101,fresh,adam,selected,calibrated_broadcast,control_gap,-0.0004764329280606163
1102,fresh,adam,selected,calibrated_broadcast,control_gap,-6.929711791740499e-05
1103,fresh,adam,selected,calibrated_broadcast,control_gap,-0.0017514956631283093
1104,fresh,adam,selected,calibrated_broadcast,control_gap,-0.0001211765464249532
1105,fresh,adam,selected,calibrated_broadcast,control_gap,-8.416751740828646e-05
1106,fresh,adam,selected,calibrated_broadcast,control_gap,-0.0022933525275991
