task,budget,rate,rule,n,mean,median,minimum,maximum,ci_low,ci_high,mean_fixed_endpoint,max_best_step,min_changed_parameters,inhibitory_gain0_changed,inhibitory_gain1_changed
aligned_strong,4096,0.01,ancestry_three_oracle,20,3.962594062498367e-05,3.981328938275565e-05,7.961165056918978e-06,9.571976328699578e-05,3.14028928760401e-05,4.854175702097228e-05,3.962594062498367e-05,4096,24,20,20
aligned_strong,4096,0.01,ancestry_two_leaf_oracle_unit_proximal,20,3.967082982410025e-05,3.992005383932855e-05,7.972741097519174e-06,9.55106925054652e-05,3.139762079958008e-05,4.870044043555387e-05,3.967082982410025e-05,4096,24,20,20
aligned_strong,4096,0.01,calibrated_broadcast,20,0.0007912522723024498,0.0005737420792552546,3.126168813541451e-05,0.003311168351467513,0.0004541218684414553,0.001191811726487777,0.0008131421221014021,4096,24,20,20
aligned_strong,4096,0.01,exact,20,4.27831738131505e-05,4.096364487087245e-05,1.1952611474792746e-05,9.849258433039766e-05,3.398946652591038e-05,5.2577733184801054e-05,4.27831738131505e-05,4096,24,20,20
aligned_strong,4096,0.01,hard_distal_and_proximal,20,3.915536761964717e-05,3.4917561876017336e-05,8.311476011637856e-06,9.879935237732795e-05,2.9520075709225058e-05,5.023483735041132e-05,3.915536761964717e-05,4096,22,0,0
aligned_strong,4096,0.01,hard_distal_unit_proximal,20,3.8717990300002675e-05,3.586257965367469e-05,1.080591485827964e-05,7.918276138323248e-05,3.083565568126022e-05,4.729201732905721e-05,3.8717990300002675e-05,4096,24,20,20
aligned_strong,4096,0.01,shunt_proportional_unit_proximal,20,3.872248299863009e-05,3.5803102571494466e-05,1.0765427578248108e-05,8.162776108026764e-05,3.0806367354468537e-05,4.753855000533916e-05,3.872248299863009e-05,4096,24,20,20
aligned_strong,4096,0.01,swapped_distal_unit_proximal,20,0.0051382250365528915,0.00528793546306002,0.00036817790545354674,0.01205442295730351,0.003607431416856986,0.00671088583666353,0.007877586720283995,4096,24,20,20
aligned_strong,4096,0.01,unit_broadcast,20,0.000791232999405966,0.0005736679888879127,3.124437668942045e-05,0.0033111470383714496,0.000455992956183675,0.001201467027214636,0.0008131296359256334,4096,24,20,20
aligned_strong,4096,0.03,ancestry_three_oracle,20,9.169545865074343e-06,8.43401594077818e-06,3.20974076396162e-06,1.7485661231761012e-05,7.522578646671141e-06,1.088333990005292e-05,9.169545865074343e-06,4096,24,20,20
aligned_strong,4096,0.03,ancestry_two_leaf_oracle_unit_proximal,20,9.072781017205191e-06,8.286901498327135e-06,3.3015864304476666e-06,1.7470181534011565e-05,7.492803043122553e-06,1.078382507487989e-05,9.072781017205191e-06,4096,24,20,20
aligned_strong,4096,0.03,calibrated_broadcast,20,0.00055337732703122,0.000468531555984817,2.0175032163909793e-05,0.002207759868948008,0.0003310609237154626,0.0008207404124969467,0.0005665569570272998,4096,24,20,20
aligned_strong,4096,0.03,exact,20,7.5315087317338315e-06,6.715360003313506e-06,3.017042210757982e-06,1.508162664404187e-05,6.083105229785936e-06,9.092040127209158e-06,7.5315087317338315e-06,4096,24,20,20
aligned_strong,4096,0.03,hard_distal_and_proximal,20,1.1962523541502294e-05,1.0970316557305427e-05,2.9856763038008783e-06,3.377107000916713e-05,8.574216602397888e-06,1.5987127670033567e-05,1.3033309220440418e-05,4096,22,0,0
aligned_strong,4096,0.03,hard_distal_unit_proximal,20,1.0553726591188192e-05,1.1007504570473936e-05,3.33893340538366e-06,2.0630978555902366e-05,8.344649386662223e-06,1.2908568892325077e-05,1.0553726591188192e-05,4096,24,20,20
aligned_strong,4096,0.03,shunt_proportional_unit_proximal,20,1.0525274569483098e-05,1.0983796462517595e-05,3.354263949208476e-06,2.0507002303211067e-05,8.318017635055148e-06,1.288308758992764e-05,1.0525274569483098e-05,4096,24,20,20
aligned_strong,4096,0.03,swapped_distal_unit_proximal,20,0.00538065557455683,0.004041286621330889,0.00030221586818773247,0.015360012787960776,0.003620981114485823,0.007260726914553374,0.016368209074975878,4096,24,20,20
aligned_strong,4096,0.03,unit_broadcast,20,0.0005533698246374865,0.0004685303383369301,2.017117270462135e-05,0.0022077655825138223,0.00032614680035441266,0.0008147045489782296,0.0005665631591551175,4096,24,20,20
aligned_strong,4096,0.1,ancestry_three_oracle,20,4.449217459014518e-06,3.061047458420078e-06,2.2425896685431807e-07,1.7498831175591537e-05,2.6066700492033773e-06,6.670303012964472e-06,2.7157695387554045e-05,4096,24,20,20
aligned_strong,4096,0.1,ancestry_two_leaf_oracle_unit_proximal,20,7.060539732152028e-06,4.786138313567325e-06,1.207320834700163e-07,2.5305795204967022e-05,4.180882992737364e-06,1.0282960071125335e-05,1.7874058138914153e-05,4096,24,20,20
aligned_strong,4096,0.1,calibrated_broadcast,20,0.0003045980168976764,0.00013060778332843795,1.6537474918386543e-05,0.0009644224163949562,0.00017908847972553275,0.00044361820436985,0.00041406450608549964,4096,24,20,20
aligned_strong,4096,0.1,exact,20,5.007427127832893e-06,2.1706351963491154e-06,1.502831428620163e-07,2.4905736771318352e-05,2.0956390316250685e-06,8.497850628579212e-06,5.0754894819540556e-05,4096,24,20,20
aligned_strong,4096,0.1,hard_distal_and_proximal,20,5.715022527361921e-06,1.09518875245808e-06,1.3465550092092233e-07,3.405592531726983e-05,2.448241275132108e-06,9.814094603408013e-06,0.002476207646862279,4096,22,0,0
aligned_strong,4096,0.1,hard_distal_unit_proximal,20,1.777075703549404e-06,4.19252978668313e-07,3.2732170528915225e-08,6.997265280354356e-06,8.650804617856091e-07,2.806508102268306e-06,4.700552063365528e-05,4096,24,20,20
aligned_strong,4096,0.1,shunt_proportional_unit_proximal,20,4.199398832077258e-06,1.7138212706724924e-06,6.794366420717654e-08,1.784890142681313e-05,2.05503587293885e-06,6.679740267186861e-06,2.596212412960774e-05,4096,24,20,20
aligned_strong,4096,0.1,swapped_distal_unit_proximal,20,0.004332892883561534,0.002724675689982594,7.903863241572226e-05,0.010892980288415911,0.002746333862091865,0.006046565853127119,0.024996615006138444,4096,24,20,20
aligned_strong,4096,0.1,unit_broadcast,20,0.00030464793315626695,0.00013062388623274286,1.656751206920512e-05,0.0009645056540453081,0.0001795483753430455,0.000447955499874968,0.00041409298034364233,4096,24,20,20
aligned_strong,16384,0.01,ancestry_three_oracle,20,2.450844096451164e-07,1.433843345970872e-07,2.6865150822353555e-08,1.0276583517640495e-06,1.4041590177316348e-07,3.6995854172470123e-07,4.904119853627379e-07,16384,24,20,20
aligned_strong,16384,0.01,ancestry_two_leaf_oracle_unit_proximal,20,2.259124567769744e-07,1.4261365926920858e-07,2.0385723992025277e-08,8.946165974508848e-07,1.359375736929575e-07,3.3708037629713094e-07,3.8625922424679254e-07,16384,24,20,20
aligned_strong,16384,0.01,calibrated_broadcast,20,0.0002665482641972285,0.00013741229394025794,1.2724801011597367e-06,0.0008916310408122402,0.00015935506442676418,0.00038682154194182765,0.00029389004901390393,16384,24,20,20
aligned_strong,16384,0.01,exact,20,2.1105572884112463e-07,1.4071840422617107e-07,2.2600752107631178e-08,1.1164352713691242e-06,1.235486426011704e-07,3.305150869087301e-07,3.1990371202169867e-07,16384,24,20,20
aligned_strong,16384,0.01,hard_distal_and_proximal,20,1.3779904387780769e-06,7.809680342761378e-08,3.217624122536006e-10,2.0843847375963147e-05,1.0768457260436104e-07,3.6243154754825798e-06,0.002495031750129482,16384,22,0,0
aligned_strong,16384,0.01,hard_distal_unit_proximal,20,3.403332289753888e-07,1.80036185907379e-07,2.4684722344150092e-08,2.7342986209087955e-06,1.385724935249319e-07,6.479191484769608e-07,7.17848769817014e-07,16384,24,20,20
aligned_strong,16384,0.01,shunt_proportional_unit_proximal,20,3.8611628357170376e-07,1.1184102248142404e-07,2.3043525483507098e-08,2.166235361473679e-06,1.6178536302342796e-07,6.631732266627129e-07,4.698015202524453e-07,16384,24,20,20
aligned_strong,16384,0.01,swapped_distal_unit_proximal,20,0.005092944813188377,0.0051688670961027704,0.000306431555964545,0.01205442295730351,0.003548281133745257,0.0066851796918301655,0.017747569148350906,16384,24,20,20
aligned_strong,16384,0.01,unit_broadcast,20,0.0002668012991359814,0.0001374591680924701,1.2722027201559722e-06,0.0008916449293028958,0.0001590815346017783,0.0003862368642096998,0.0002942077675641622,16384,24,20,20
aligned_strong,16384,0.03,ancestry_three_oracle,20,2.9246716504512177e-07,7.602231882388995e-08,1.1974716232638312e-08,1.8134661138009184e-06,1.0938706841021159e-07,5.32429100257868e-07,4.058501533783508e-06,16384,24,20,20
aligned_strong,16384,0.03,ancestry_two_leaf_oracle_unit_proximal,20,1.6084315687210419e-07,1.1035307088065203e-07,1.1083978914668774e-08,8.891931292299224e-07,9.192969037095663e-08,2.562687224569712e-07,8.740010491317558e-07,16384,24,20,20
aligned_strong,16384,0.03,calibrated_broadcast,20,0.0002382833599442156,0.00011109772297774336,3.943932124576283e-07,0.0009142284209975819,0.00012522169945852383,0.00036451709027895783,0.00032226074514446744,16384,24,20,20
aligned_strong,16384,0.03,exact,20,8.376590250300328e-07,1.8819404885543958e-07,3.987646173191798e-08,5.68440469153464e-06,2.5053068218870835e-07,1.6115129235225477e-06,1.6530196341592218e-05,16384,24,20,20
aligned_strong,16384,0.03,hard_distal_and_proximal,20,2.402744678655494e-06,9.766308844124246e-08,3.745410679574283e-09,3.3330711614225656e-05,1.0389142158441985e-07,6.337527066059917e-06,0.0025104062635454127,16384,22,0,0
aligned_strong,16384,0.03,hard_distal_unit_proximal,20,2.6723858082197855e-07,1.1182457610759839e-07,1.8478950332388808e-08,1.4602883518433753e-06,1.3781210512983856e-07,4.346536968907715e-07,5.134916086842923e-06,16384,24,20,20
aligned_strong,16384,0.03,shunt_proportional_unit_proximal,20,1.3111991214444423e-07,4.777206404655287e-08,1.2140888423739564e-08,7.169576434277106e-07,6.284887201195117e-08,2.1801290854557031e-07,2.431211320409925e-06,16384,24,20,20
aligned_strong,16384,0.03,swapped_distal_unit_proximal,20,0.00538065557455683,0.004041286621330889,0.00030221586818773247,0.015360012787960776,0.0036259633283560297,0.007288119189143487,0.018202157011247357,4096,24,20,20
aligned_strong,16384,0.03,unit_broadcast,20,0.00023818275290251809,0.00011115490722220812,3.8826112072895936e-07,0.0009142314142115938,0.0001246890932520268,0.00036277664799401157,0.00032347813237540885,16384,24,20,20
aligned_strong,16384,0.1,ancestry_three_oracle,20,1.658147304682164e-07,7.070759476750907e-08,4.910233911554627e-09,7.571309122443216e-07,8.488011694425434e-08,2.6252812313962277e-07,7.260953074110963e-05,16384,24,20,20
