panel,source_table,rate_policy,architecture,arm,metric,mean,ci_low,ci_high,n,positive,contrast,cohort,task,protocol,kind,mean_pp,low_pp,high_pp,n_seeds,positive_seeds,source_contrast
D,source_data/image_ladder_controls/summaries/condition_summary_six_rules.csv,selected,additive,decoder_only,test_accuracy,0.8956799805164337,0.8933799862861633,0.8979299783706665,10.0,10.0,,,,,,,,,,,
D,source_data/image_ladder_controls/summaries/condition_summary_six_rules.csv,selected,additive,exact_path,test_accuracy,0.9729599773883819,0.9723699748516083,0.9735799789428711,10.0,10.0,,,,,,,,,,,
D,source_data/image_ladder_controls/summaries/condition_summary_six_rules.csv,selected,additive,neuron_shared,test_accuracy,0.9711399734020233,0.970489711612463,0.9718099713325501,10.0,10.0,,,,,,,,,,,
D,source_data/image_ladder_controls/summaries/condition_summary_six_rules.csv,selected,additive,projected_k1,test_accuracy,0.973039972782135,0.972409975528717,0.9736599683761596,10.0,10.0,,,,,,,,,,,
D,source_data/image_ladder_controls/summaries/condition_summary_six_rules.csv,selected,additive,strict_scalar,test_accuracy,0.8965799808502197,0.8903799889981747,0.9019799828529358,10.0,10.0,,,,,,,,,,,
D,source_data/image_ladder_controls/summaries/condition_summary_six_rules.csv,selected,additive,subtree_k3,test_accuracy,0.9733999788761138,0.9727899849414825,0.973999971151352,10.0,10.0,,,,,,,,,,,
D,source_data/image_ladder_controls/summaries/condition_summary_six_rules.csv,selected,shunting,decoder_only,test_accuracy,0.8095599770545959,0.8048499763011933,0.8146699728071689,10.0,10.0,,,,,,,,,,,
D,source_data/image_ladder_controls/summaries/condition_summary_six_rules.csv,selected,shunting,exact_path,test_accuracy,0.9713399767875671,0.9705999791622162,0.9720299780368805,10.0,10.0,,,,,,,,,,,
D,source_data/image_ladder_controls/summaries/condition_summary_six_rules.csv,selected,shunting,neuron_shared,test_accuracy,0.971239972114563,0.9705399692058563,0.9717899799346924,10.0,10.0,,,,,,,,,,,
D,source_data/image_ladder_controls/summaries/condition_summary_six_rules.csv,selected,shunting,projected_k1,test_accuracy,0.9717799723148346,0.9713399827480316,0.9722299754619599,10.0,10.0,,,,,,,,,,,
D,source_data/image_ladder_controls/summaries/condition_summary_six_rules.csv,selected,shunting,strict_scalar,test_accuracy,0.8789399802684784,0.8732199788093566,0.8850599765777588,10.0,10.0,,,,,,,,,,,
D,source_data/image_ladder_controls/summaries/condition_summary_six_rules.csv,selected,shunting,subtree_k3,test_accuracy,0.9722699761390686,0.9716499805450439,0.9729199707508087,10.0,10.0,,,,,,,,,,,
D,source_data/image_ladder_controls/summaries/paired_contrasts_six_rules.csv,selected,shunting,,test_accuracy,0.09229999184608459,0.08593000173568725,0.09829998627305031,10.0,10.0,neuron_shared_minus_strict_scalar,,,,,,,,,,
D,source_data/image_ladder_controls/summaries/paired_contrasts_six_rules.csv,selected,shunting,,test_accuracy,0.0004900038242340088,-0.0004802575707435594,0.0014100015163421632,10.0,7.0,subtree_k3_minus_projected_k1,,,,,,,,,,
D,source_data/image_ladder_controls/summaries/paired_contrasts_six_rules.csv,selected,shunting,,test_accuracy,-0.0009299993515014648,-0.001949995756149292,9.000897407531738e-05,10.0,3.0,exact_path_minus_subtree_k3,,,,,,,,,,
D,source_data/image_ladder_controls/summaries/paired_contrasts_six_rules.csv,selected,shunting,,test_accuracy,0.00010000467300415039,-0.000619971752166748,0.0007499933242797851,10.0,5.0,exact_path_minus_neuron_shared,,,,,,,,,,
D,source_data/image_ladder_controls/summaries/paired_contrasts_six_rules.csv,selected,additive,,test_accuracy,0.0745599925518036,0.06912999153137207,0.08086998462677002,10.0,10.0,neuron_shared_minus_strict_scalar,,,,,,,,,,
D,source_data/image_ladder_controls/summaries/paired_contrasts_six_rules.csv,selected,additive,,test_accuracy,0.0003600060939788818,-0.0005599856376647949,0.0012200057506561279,10.0,5.0,subtree_k3_minus_projected_k1,,,,,,,,,,
D,source_data/image_ladder_controls/summaries/paired_contrasts_six_rules.csv,selected,additive,,test_accuracy,-0.0004400014877319336,-0.0014300107955932616,0.000580000877380371,10.0,4.0,exact_path_minus_subtree_k3,,,,,,,,,,
D,source_data/image_ladder_controls/summaries/paired_contrasts_six_rules.csv,selected,additive,,test_accuracy,0.0018200039863586425,0.0011400043964385985,0.00252000093460083,10.0,10.0,exact_path_minus_neuron_shared,,,,,,,,,,
E,source_data/image_ladder_controls/summaries/paired_contrasts_six_rules.csv,,shunting,,,,,,,,,mnist_fresh,MNIST fresh,fresh,identity,9.22999918460846,8.593000173568726,9.82999862730503,10.0,10.0,neuron_shared_minus_strict_scalar
F,source_data/image_ladder_controls/summaries/paired_contrasts_six_rules.csv,,shunting,,,,,,,,,mnist_fresh,MNIST fresh,fresh,exact,0.010000467300415039,-0.061997175216674805,0.07499933242797852,10.0,5.0,exact_path_minus_neuron_shared
E,source_data/image_ladder_controls/summaries/paired_contrasts_six_rules.csv,,additive,,,,,,,,,mnist_fresh,MNIST fresh,fresh,identity,7.45599925518036,6.912999153137207,8.086998462677002,10.0,10.0,neuron_shared_minus_strict_scalar
F,source_data/image_ladder_controls/summaries/paired_contrasts_six_rules.csv,,additive,,,,,,,,,mnist_fresh,MNIST fresh,fresh,exact,0.18200039863586426,0.11400043964385985,0.252000093460083,10.0,10.0,exact_path_minus_neuron_shared
E,source_data/mnist_between_within_factorial/paired_contrasts.csv,,shunting,,,,,,,,,mnist_dfa,MNIST DFA,DFA,identity,11.033332745234171,10.248001009225845,11.840664555629095,15.0,15.0,dfa within: neuron - scalar
F,source_data/mnist_between_within_factorial/paired_contrasts.csv,,shunting,,,,,,,,,mnist_dfa,MNIST DFA,DFA,exact,0.028000275293986004,-0.056666930516560875,0.10533254345258077,15.0,9.0,dfa within: exact path - neuron
E,source_data/mnist_between_within_factorial/paired_contrasts.csv,,additive,,,,,,,,,mnist_dfa,MNIST DFA,DFA,identity,10.796667337417603,9.718001266320545,11.914666891098022,15.0,15.0,dfa within: neuron - scalar
