root_id,tree,surrogate_mean,fraction_surrogates_ge,n_replicates
864691134941194851,0.4641658273389228,0.38713374059630423,0.0,200
864691135082534135,0.5800693788549806,0.7122625961626887,0.895,200
864691135334986985,0.397418256063054,0.3429995839726796,0.0,200
864691135342193329,0.5638309846782007,0.6525042490365506,0.975,200
864691135367232761,0.6182371474483366,0.5849482017443566,0.035,200
864691135404231406,0.5740609058345305,0.6109593066273068,0.74,200
864691135404277230,0.5711818699575073,0.5340971334139687,0.15,200
864691135416557754,0.5154813484078096,0.7037681879073696,0.975,200
864691135455195242,0.6772307355722389,0.6691207063470381,0.415,200
864691135468547212,0.55003186823893,0.5068427097480679,0.185,200
864691135495249040,0.5213845436612797,0.47326767393686586,0.005,200
864691135502788957,0.5146333783276639,0.4688608017810315,0.08,200
864691135516884435,0.8431320755571288,0.809935658657762,0.085,200
864691135572379429,0.6533671674673134,0.46690388842904634,0.02,200
864691135573814980,0.4558898355060073,0.4344377336223081,0.29,200
864691135658994050,0.4907241410052922,0.4820920524686241,0.37,200
864691135687601120,0.4356419228058983,0.41316532532673816,0.145,200
864691135716106266,0.475515986198144,0.4972580656494647,0.935,200
864691135716174106,0.5752271430507144,0.5148158726651485,0.005,200
864691135740320660,0.7507747405426156,0.6660330623831561,0.075,200
864691135762339894,0.5901634400345047,0.5561835398995799,0.005,200
864691135856802606,0.6583856029081061,0.5881646275444702,0.02,200
864691135856845358,0.5273623160299203,0.548724974590441,0.715,200
864691135867632406,0.4133155171506919,0.36431137322031404,0.01,200
864691135919106224,0.925708599418492,0.9146635247433565,0.34,200
864691135938349828,0.4407437910756978,0.44873812336415936,0.58,200
864691135947212897,0.4637930598074651,0.463288347166622,0.53,200
864691135952698659,0.769839202567788,0.6145021741914456,0.01,200
864691135992368833,0.7778605725807038,0.7181743655191006,0.03,200
864691136024229689,0.5467946151438262,0.46504898507052617,0.0,200
864691136066506392,0.6471344799394353,0.6204002842067751,0.14,200
864691136066697624,0.5004837619976309,0.44302277685449143,0.015,200
864691136066733720,0.725147990298648,0.5992426220659101,0.0,200
864691136100511093,0.6263973205754364,0.5270642264029529,0.015,200
864691136109892792,0.6047689271328719,0.5459598667365995,0.06,200
864691136137737085,0.7508393500770171,0.7793741517251493,0.78,200
864691136195348812,0.5133177766207953,0.29893046511940696,0.0,200
864691136275165965,0.6286351638176954,0.627472842344702,0.51,200
864691136371808392,0.6844559367945038,0.5142548421657341,0.135,200
864691136389026167,0.6188562855298301,0.5255861726245006,0.015,200
864691136419314071,0.9686485097977452,0.9643562112652976,0.115,200
864691136486753554,0.8423449912388195,0.6756330723635773,0.0,200
864691136619341965,0.6842755323357402,0.6583691604479001,0.265,200
864691136663284190,0.831098195228449,0.8467243909977508,0.66,200
864691136673975943,0.6024122474386393,0.5497290355431113,0.01,200
864691136953057759,0.6302472752479714,0.5739336954360077,0.0,200
864691137197373249,0.8943973879917134,0.8143328776689086,0.01,200
