panel,method,channels,total_capture,low,high
D,common + ancestry,1,0.2026335066924924,0.18841221138636297,0.2173138310508307
D,common + ancestry,2,0.2967521326782253,0.2697052498056951,0.32603868668122266
D,common + ancestry,4,0.4453460791579032,0.4069125683436051,0.4879580890714607
D,common + ancestry,8,0.6190516405382278,0.5804574586516831,0.6596528786432833
D,common + ancestry,16,0.8171023412498432,0.7862793454802678,0.8469044688955157
D,common-constrained SVD,1,0.2026335066924924,,
D,common-constrained SVD,2,0.3837760736301739,,
D,common-constrained SVD,4,0.5504221578503211,,
D,common-constrained SVD,8,0.7421669720945812,,
D,common-constrained SVD,16,0.9261856122337409,,
D,common + surrogate ancestry,1,0.2026335066924924,0.18838104025219862,0.21717985100338424
D,common + surrogate ancestry,2,0.2749850713369527,0.2536000103815046,0.297422744047295
D,common + surrogate ancestry,4,0.4021401032397397,0.36950219026533687,0.4377903354942187
D,common + surrogate ancestry,8,0.5782466655267078,0.5375721024484731,0.6206291391208006
D,common + surrogate ancestry,16,0.7812630659947999,0.7440576006491796,0.8167819650404295
D,common + depth bins,1,0.2026335066924924,,
D,common + depth bins,2,0.2634443206529706,,
D,common + depth bins,4,0.3591232312981688,,
D,common + depth bins,8,0.5114646463745609,,
D,common + depth bins,16,0.7178353776255122,,
D,common + shuffled routes,1,0.2026335066924924,,
D,common + shuffled routes,2,0.2397894610193403,,
D,common + shuffled routes,4,0.3117929692488645,,
D,common + shuffled routes,8,0.4358197896865002,,
D,common + shuffled routes,16,0.6337187463771767,,
D,common + random routes,1,0.2026335066924924,,
D,common + random routes,2,0.2326546959294747,,
D,common + random routes,4,0.2928302104865453,,
D,common + random routes,8,0.4040230068708773,,
D,common + random routes,16,0.5907603026514574,,
