entry_id	figure	panel	source	record_type	independent_unit	notes	sha256
fig1.a-d	methods	historical schematic	scripts/build_journal_figures.py	panel_source	not applicable	Programmatic schematic of the dendritic unit, network layer, workshop-derived coordinate--address--gain tree strip, general adjoint theorem, and evidence ladder.	9e7d368c9d8aa6db88235614d777c4810013a3e62729699b9219b9d006076898
fig1.components	methods	historical schematic	scripts/figure1_neurips_components.py	panel_source	not applicable	Reusable dendritic-unit and network-layer drawing primitives imported by the integrated Figure 1 generator.	f57439109e3d6e411b1a05abeab86d8c7a994eed6ce21215f3d2f978052e1926
fig2.asset	figS45	a-g	figures/supplementary/figure_S45_image_diagnostics.pdf	figure_asset	independent training seed	Original seven-panel image diagnostics moved byte-identically to S45; canonical displayed asset is unchanged.	46a37b5af6d4e86c007c219b04aac995065877de0762204872f5717cb77a5557
fig2.a	methods	gradient check	source_data/figure2/exact_gradient_reconstruction_runs.csv	panel_source	diagnostic run (n=100)	Exact analytic-gradient reconstruction against automatic differentiation.	8a9e1b40c269e85d86c8348e4d8287e6c2269279eb8bbcbb660b021fea0a4abb
fig2.b	figS2	e	source_data/figure2/feedback_accuracy_runs.csv	panel_source	paired independent training seed (n=15 per architecture)	Three-factor accuracy under scalar-fallback and neuron-indexed feedback.	15498b41b3f1c51f202aeebdece28c1eaadedc1c66415bac9156d8a3654a8926
fig2.c	figS45	c	source_data/figure2/feedback_gradient_runs.csv	panel_source	paired trained checkpoint / seed (n=15 per architecture)	Parameter-count-weighted nonsomatic branch-gradient cosine at checkpoints trained with neuron-specific feedback.	7a8a10d47e23ad13535dd4bb9246e4137483db01d50c2046d955b8683618767d
fig2.d	figS3	c	source_data/figure2/exact_transport_factorial_summary.csv	panel_source	independent training seed (n=5 per condition)	Exact-transport rule-by-decoder factorial.	15092918e7cabe98d3eabff4d90b2dd3f3004331fc237e0da0aef732aa2a369b
fig2.d.bp	figS3	c	source_data/figure2/backprop_summary.csv	panel_source	independent training seed (n=5)	Matched backpropagation reference.	b4419337a67c9aa438418c2b15d8eb1d3bd056dd7d4043cf7fecf9e16cf2774f
fig2.d.runs	figS3	c	source_data/figure2/exact_transport_and_backprop_runs.csv	panel_source	independent training seed (n=5 per condition)	Twenty exact-transport and five same-architecture backpropagation runs underlying panel d.	0b57d4c37216838e202fe3687d5f8430720aa5531d80f532bdff6ba86f6ebbc6
fig2.path_gain	figS1	a	source_data/figure2/path_gain_cv_runs.csv	panel_source	paired independent training seed (n=5 per architecture)	Separate N_I=5 conductance-only diagnostic cohort shown in Supplementary Fig. S1a; run, configuration and checkpoint hashes identify every value.	133fcd8f209b47f11d6e2c3fa44ac592ccc41a4ac2581fd55f7efd2a1f73c4f3
fig2.path_gain_dispersion	figS45	d-e	source_data/figure2/path_gain_dispersion_ladder_runs.csv	panel_source	paired independent training seed (n=15 per architecture)	Mean pre-reactivation voltage-error magnitude by dendritic depth and path-specific exact-error energy at the MNIST exact-path checkpoints.	fecb52eb239fd9584899ea4c280eac1f6ec07716d09cadfe1eed88120b135d14
prospective.learning.asset	figS19	text	figures/supplementary/figure_S19_panels_A-I.pdf	figure_asset	paired independent training seed (n=10 per condition)	Integrated input-valid prospective display: identity, ownership and completed K=2 subtree-address results.	7d1983b490bf1df0d0993661d8e6c7b1b0547a03943263874b6417d6c88841e3
prospective.learning.seeds	figS19	text	source_data/prospective_input_validity/central_valid_seed_outcomes.csv	panel_source	paired independent training seed (n=10 per condition)	Run-level held-out outcomes for all 480 input-valid primary runs.	14d486f0214dc66a7a411fb59d7e39103c471ffad69f41a126394a8aa85ecee5
