task_depth,model_depth,method,n_seeds,mean_final_population_loss,ci95_low_final_population_loss,ci95_high_final_population_loss,mean_target_signal_capture,ci95_low_target_signal_capture,ci95_high_target_signal_capture,mean_admitted_noise,ci95_low_admitted_noise,ci95_high_admitted_noise
1,1,aligned_tree,50,0.02597133639,0.01983804252,0.03254695806,1,1,1,0.845,0.845,0.845
1,1,rewired_tree,50,0.5268075058,0.4051751015,0.6626703004,0.5294886349,0.4395552824,0.617892541,9.227928125,8.861145312,9.589165625
1,2,aligned_tree,50,0.2052483721,0.1627481708,0.2534909795,1,1,1,6.12625,6.12625,6.12625
1,2,rewired_tree,50,1.091833335,0.8809400424,1.321888773,0.5932162688,0.5125479294,0.6723052033,27.16595781,26.40147707,27.8702125
1,3,aligned_tree,50,1.101995005,0.9166222675,1.304669898,1,1,1,33.16625,33.16625,33.16625
1,3,rewired_tree,50,2.164038472,1.835465904,2.51556164,0.7142161831,0.6534435243,0.7739105373,63.50227812,62.59597602,64.32298437
1,4,aligned_tree,50,4.339995852,3.847133804,4.85646636,1,1,1,135.41125,135.41125,135.41125
1,4,full_stochastic_bp,50,4.339995852,3.850120584,4.854154239,1,1,1,135.41125,135.41125,135.41125
1,4,rewired_tree,50,4.339995852,3.842800539,4.855253853,1,1,1,135.41125,135.41125,135.41125
2,1,aligned_tree,50,0.2135625782,0.1759435378,0.2525166227,0.6276298531,0.5507376279,0.7022236799,0.845,0.845,0.845
2,1,rewired_tree,50,0.4590513998,0.3945659544,0.5359717367,0.3697288453,0.2974512641,0.4441066501,4.691070312,4.467673438,4.915259375
2,2,aligned_tree,50,0.05384310976,0.0440491683,0.06419599485,1,1,1,1.69,1.69,1.69
2,2,rewired_tree,50,0.6856440619,0.583079883,0.8072678463,0.4612795016,0.394846713,0.5278481795,13.41754375,12.96122395,13.84136406
2,3,aligned_tree,50,0.3479732502,0.2903489669,0.4122689122,1,1,1,12.2525,12.2525,12.2525
2,3,rewired_tree,50,1.30203348,1.143207828,1.467047743,0.648213382,0.5966814438,0.6988954841,31.15884687,30.62174375,31.65950937
2,4,aligned_tree,50,2.28326405,2.041416679,2.529653416,1,1,1,66.3325,66.3325,66.3325
2,4,full_stochastic_bp,50,2.28326405,2.038684997,2.530478671,1,1,1,66.3325,66.3325,66.3325
2,4,rewired_tree,50,2.28326405,2.04037385,2.532640815,1,1,1,66.3325,66.3325,66.3325
3,1,aligned_tree,50,0.3213574764,0.2905921337,0.3515862799,0.4151985941,0.3564995007,0.4747809953,0.845,0.845,0.845
3,1,rewired_tree,50,0.4293605792,0.3977791565,0.4594955679,0.2657662812,0.2136750692,0.3208480583,1.987334375,1.898609375,2.076059375
3,2,aligned_tree,50,0.2249099924,0.1959982663,0.2548633118,0.6655767867,0.6059438269,0.7186435335,1.69,1.69,1.69
3,2,rewired_tree,50,0.4841106835,0.4454809631,0.5241915968,0.3600098004,0.3078732846,0.4138473788,5.150275,4.972825,5.316634375
3,3,aligned_tree,50,0.1148815914,0.09995720109,0.1313841801,1,1,1,3.38,3.38,3.38
3,3,rewired_tree,50,0.5750887239,0.5134319086,0.6434801964,0.5895638836,0.5432423507,0.6358120003,11.631425,11.38743125,11.8532375
3,4,aligned_tree,50,0.7702370328,0.6967812383,0.8483320383,1,1,1,24.505,24.505,24.505
3,4,full_stochastic_bp,50,0.7702370328,0.6967627118,0.8487449797,1,1,1,24.505,24.505,24.505
3,4,rewired_tree,50,0.7702370328,0.6969667849,0.8497223851,1,1,1,24.505,24.505,24.505
4,1,aligned_tree,50,0.3428318221,0.3091614644,0.3760172582,0.3685397338,0.3041660955,0.4353317645,0.845,0.845,0.845
4,1,rewired_tree,50,0.3965637344,0.3654327179,0.4261621128,0.2514466809,0.1944573695,0.3124822108,0.845,0.845,0.845
4,2,aligned_tree,50,0.2680515412,0.2395741074,0.2980649746,0.5830392436,0.5287638192,0.6367042982,1.69,1.69,1.69
4,2,rewired_tree,50,0.3804872763,0.3478319862,0.4128978132,0.342755255,0.2842986877,0.402259161,1.69,1.69,1.69
4,3,aligned_tree,50,0.222343592,0.1974339518,0.2489432395,0.7834634405,0.7413197973,0.8210405384,3.38,3.38,3.38
4,3,rewired_tree,50,0.3412201975,0.309553549,0.37291453,0.5297884501,0.4799727346,0.5812549128,3.38,3.38,3.38
4,4,aligned_tree,50,0.2147508735,0.1934228125,0.2370311247,1,1,1,6.76,6.76,6.76
4,4,full_stochastic_bp,50,0.2147508735,0.1933360163,0.2368940293,1,1,1,6.76,6.76,6.76
4,4,rewired_tree,50,0.2147508735,0.193596231,0.2364942396,1,1,1,6.76,6.76,6.76
