seed,reliability_heterogeneity,method,population_loss_after_one_step,population_loss_decrease,expected_guaranteed_decrease,mean_attenuation,attenuation_reliability_correlation
7000,0,no_shunting,2.393422357,1.606577643,0,1,0
7000,0,best_global_gain,1.665963084,2.334036916,2,0.5,0
7000,0,reliability_aligned,1.665963084,2.334036916,2,0.5,0
7000,0,shuffled_shunting,1.665963084,2.334036916,2,0.5,0
7000,0,anti_aligned_shunting,1.665963084,2.334036916,2,0.5,0
7000,0,explicit_point_gate,1.665963084,2.334036916,2,0.5,0
7000,0.5,no_shunting,3.452088787,0.5479112131,-2.220446049e-16,1,0
7000,0.5,best_global_gain,1.13260885,2.86739115,2,0.5,0
7000,0.5,reliability_aligned,0.934200357,3.065799643,2.197496878,0.5,1
7000,0.5,shuffled_shunting,1.343741563,2.656258437,1.775390691,0.5,-0.08017907772
7000,0.5,anti_aligned_shunting,1.740802763,2.259197237,1.407509367,0.5,-1
7000,0.5,explicit_point_gate,0.934200357,3.065799643,2.197496878,0.5,1
7000,1,no_shunting,2.185832519,1.814167481,8.881784197e-16,1,0
7000,1,best_global_gain,0.7569734697,3.24302653,2,0.5,0
7000,1,reliability_aligned,0.3610740208,3.638925979,2.63926014,0.5,1
7000,1,shuffled_shunting,1.448779463,2.551220537,1.513708125,0.5,0.07748788985
7000,1,anti_aligned_shunting,2.749248984,1.250751016,0.08221958092,0.5,-1
7000,1,explicit_point_gate,0.3610740208,3.638925979,2.63926014,0.5,1
7000,1.5,no_shunting,2.749551269,1.250448731,-8.881784197e-16,1,0
7000,1.5,best_global_gain,1.587557252,2.412442748,2,0.5,0
7000,1.5,reliability_aligned,1.770327677,2.229672323,3.087026034,0.5,1
7000,1.5,shuffled_shunting,2.142648491,1.857351509,0.7212388177,0.5,-0.1223700183
7000,1.5,anti_aligned_shunting,3.40358989,0.5964101104,-1.261078101,0.5,-1
7000,1.5,explicit_point_gate,1.770327677,2.229672323,3.087026034,0.5,1
7000,2,no_shunting,10.06957273,-6.069572733,0,1,0
7000,2,best_global_gain,3.717878889,0.2821211114,2,0.5,0
7000,2,reliability_aligned,0.7270406312,3.272959369,3.428844371,0.5,1
7000,2,shuffled_shunting,6.758859726,-2.758859726,-0.3659093601,0.5,-0.5027321397
7000,2,anti_aligned_shunting,11.84945989,-7.84945989,-2.286533112,0.5,-1
7000,2,explicit_point_gate,0.7270406312,3.272959369,3.428844371,0.5,1
7001,0,no_shunting,5.512848067,-1.512848067,0,1,0
7001,0,best_global_gain,3.763168522,0.2368314783,2,0.5,0
7001,0,reliability_aligned,3.763168522,0.2368314783,2,0.5,0
7001,0,shuffled_shunting,3.763168522,0.2368314783,2,0.5,0
7001,0,anti_aligned_shunting,3.763168522,0.2368314783,2,0.5,0
7001,0,explicit_point_gate,3.763168522,0.2368314783,2,0.5,0
7001,0.5,no_shunting,7.058447878,-3.058447878,-2.220446049e-16,1,0
7001,0.5,best_global_gain,3.29413804,0.7058619601,2,0.5,0
7001,0.5,reliability_aligned,2.630958593,1.369041407,2.197496878,0.5,1
7001,0.5,shuffled_shunting,2.689484928,1.310515072,1.922487629,0.5,0.2908821068
7001,0.5,anti_aligned_shunting,4.365833354,-0.3658333543,1.407509367,0.5,-1
7001,0.5,explicit_point_gate,2.630958593,1.369041407,2.197496878,0.5,1
7001,1,no_shunting,3.212557869,0.7874421308,8.881784197e-16,1,0
7001,1,best_global_gain,1.134325927,2.865674073,2,0.5,0
7001,1,reliability_aligned,0.7690632846,3.230936715,2.63926014,0.5,1
7001,1,shuffled_shunting,1.552643132,2.447356868,1.061721974,0.5,-0.2938822026
7001,1,anti_aligned_shunting,2.263280177,1.736719823,0.08221958092,0.5,-1
7001,1,explicit_point_gate,0.7690632846,3.230936715,2.63926014,0.5,1
7001,1.5,no_shunting,7.519580887,-3.519580887,-8.881784197e-16,1,0
7001,1.5,best_global_gain,3.488295917,0.5117040832,2,0.5,0
7001,1.5,reliability_aligned,1.138782681,2.861217319,3.087026034,0.5,1
7001,1.5,shuffled_shunting,4.891080135,-0.8910801352,1.224948432,0.5,-0.04334229101
7001,1.5,anti_aligned_shunting,8.413514246,-4.413514246,-1.261078101,0.5,-1
7001,1.5,explicit_point_gate,1.138782681,2.861217319,3.087026034,0.5,1
7001,2,no_shunting,4.804958577,-0.8049585773,0,1,0
7001,2,best_global_gain,2.010542952,1.989457048,2,0.5,0
7001,2,reliability_aligned,0.5241859617,3.475814038,3.428844371,0.5,1
7001,2,shuffled_shunting,3.816472579,0.1835274207,-0.05861983328,0.5,-0.5084812928
7001,2,anti_aligned_shunting,6.465586722,-2.465586722,-2.286533112,0.5,-1
7001,2,explicit_point_gate,0.5241859617,3.475814038,3.428844371,0.5,1
7002,0,no_shunting,1.615064126,2.384935874,0,1,0
7002,0,best_global_gain,1.077768638,2.922231362,2,0.5,0
7002,0,reliability_aligned,1.077768638,2.922231362,2,0.5,0
7002,0,shuffled_shunting,1.077768638,2.922231362,2,0.5,0
7002,0,anti_aligned_shunting,1.077768638,2.922231362,2,0.5,0
7002,0,explicit_point_gate,1.077768638,2.922231362,2,0.5,0
7002,0.5,no_shunting,1.109644189,2.890355811,-2.220446049e-16,1,0
7002,0.5,best_global_gain,1.615153226,2.384846774,2,0.5,0
7002,0.5,reliability_aligned,1.473755106,2.526244894,2.197496878,0.5,1
7002,0.5,shuffled_shunting,1.707895111,2.292104889,1.878293917,0.5,0.1584581509
7002,0.5,anti_aligned_shunting,1.925538321,2.074461679,1.407509367,0.5,-1
7002,0.5,explicit_point_gate,1.473755106,2.526244894,2.197496878,0.5,1
7002,1,no_shunting,6.492296474,-2.492296474,8.881784197e-16,1,0
7002,1,best_global_gain,2.772813762,1.227186238,2,0.5,0
7002,1,reliability_aligned,2.125986558,1.874013442,2.63926014,0.5,1
7002,1,shuffled_shunting,4.518225496,-0.5182254959,1.578627092,0.5,0.1271906624
7002,1,anti_aligned_shunting,5.216073409,-1.216073409,0.08221958092,0.5,-1
7002,1,explicit_point_gate,2.125986558,1.874013442,2.63926014,0.5,1
7002,1.5,no_shunting,5.818993839,-1.818993839,-8.881784197e-16,1,0
7002,1.5,best_global_gain,2.112885513,1.887114487,2,0.5,0
7002,1.5,reliability_aligned,0.8121629204,3.18783708,3.087026034,0.5,1
7002,1.5,shuffled_shunting,3.416280724,0.5837192762,0.1923651458,0.5,-0.4862376487
7002,1.5,anti_aligned_shunting,6.845413745,-2.845413745,-1.261078101,0.5,-1
7002,1.5,explicit_point_gate,0.8121629204,3.18783708,3.087026034,0.5,1
7002,2,no_shunting,1.126236097,2.873763903,0,1,0
7002,2,best_global_gain,1.331451264,2.668548736,2,0.5,0
7002,2,reliability_aligned,0.3022026598,3.69779734,3.428844371,0.5,1
7002,2,shuffled_shunting,1.060055062,2.939944938,1.713997437,0.5,0.1917059717
7002,2,anti_aligned_shunting,3.510990596,0.4890094038,-2.286533112,0.5,-1
7002,2,explicit_point_gate,0.3022026598,3.69779734,3.428844371,0.5,1
7003,0,no_shunting,1.811126816,2.188873184,0,1,0
7003,0,best_global_gain,1.592866722,2.407133278,2,0.5,0
7003,0,reliability_aligned,1.592866722,2.407133278,2,0.5,0
7003,0,shuffled_shunting,1.592866722,2.407133278,2,0.5,0
7003,0,anti_aligned_shunting,1.592866722,2.407133278,2,0.5,0
7003,0,explicit_point_gate,1.592866722,2.407133278,2,0.5,0
7003,0.5,no_shunting,5.132280784,-1.132280784,-2.220446049e-16,1,0
7003,0.5,best_global_gain,2.763436967,1.236563033,2,0.5,0
7003,0.5,reliability_aligned,2.665830009,1.334169991,2.197496878,0.5,1
7003,0.5,shuffled_shunting,2.288131827,1.711868173,1.907819546,0.5,0.2419995695
7003,0.5,anti_aligned_shunting,3.173096782,0.8269032182,1.407509367,0.5,-1
7003,0.5,explicit_point_gate,2.665830009,1.334169991,2.197496878,0.5,1
7003,1,no_shunting,3.870977552,0.1290224477,8.881784197e-16,1,0
7003,1,best_global_gain,1.677599752,2.322400248,2,0.5,0
7003,1,reliability_aligned,0.7908677903,3.20913221,2.63926014,0.5,1
7003,1,shuffled_shunting,3.221117623,0.7788823773,0.6096187413,0.5,-0.6370098187
7003,1,anti_aligned_shunting,3.662728731,0.3372712694,0.08221958092,0.5,-1
7003,1,explicit_point_gate,0.7908677903,3.20913221,2.63926014,0.5,1
7003,1.5,no_shunting,1.777293732,2.222706268,-8.881784197e-16,1,0
7003,1.5,best_global_gain,1.459262509,2.540737491,2,0.5,0
7003,1.5,reliability_aligned,0.565575916,3.434424084,3.087026034,0.5,1
7003,1.5,shuffled_shunting,2.757013272,1.242986728,-0.08448879142,0.5,-0.4653924762
7003,1.5,anti_aligned_shunting,3.499938338,0.5000616617,-1.261078101,0.5,-1
7003,1.5,explicit_point_gate,0.565575916,3.434424084,3.087026034,0.5,1
7003,2,no_shunting,4.99252467,-0.9925246696,0,1,0
7003,2,best_global_gain,1.89431914,2.10568086,2,0.5,0
7003,2,reliability_aligned,1.672772879,2.327227121,3.428844371,0.5,1
7003,2,shuffled_shunting,3.760671823,0.2393281772,1.126955585,0.5,0.1260537223
7003,2,anti_aligned_shunting,5.769510897,-1.769510897,-2.286533112,0.5,-1
7003,2,explicit_point_gate,1.672772879,2.327227121,3.428844371,0.5,1
7004,0,no_shunting,1.899328896,2.100671104,0,1,0
7004,0,best_global_gain,1.560834282,2.439165718,2,0.5,0
7004,0,reliability_aligned,1.560834282,2.439165718,2,0.5,0
7004,0,shuffled_shunting,1.560834282,2.439165718,2,0.5,0
7004,0,anti_aligned_shunting,1.560834282,2.439165718,2,0.5,0
7004,0,explicit_point_gate,1.560834282,2.439165718,2,0.5,0
7004,0.5,no_shunting,3.316717029,0.6832829714,-2.220446049e-16,1,0
7004,0.5,best_global_gain,1.737590571,2.262409429,2,0.5,0
7004,0.5,reliability_aligned,1.48106125,2.51893875,2.197496878,0.5,1
7004,0.5,shuffled_shunting,2.411278594,1.588721406,1.620534837,0.5,-0.4722766366
7004,0.5,anti_aligned_shunting,2.492531285,1.507468715,1.407509367,0.5,-1
7004,0.5,explicit_point_gate,1.48106125,2.51893875,2.197496878,0.5,1
7004,1,no_shunting,2.04113727,1.95886273,8.881784197e-16,1,0
7004,1,best_global_gain,1.622872856,2.377127144,2,0.5,0
7004,1,reliability_aligned,0.9939797743,3.006020226,2.63926014,0.5,1
7004,1,shuffled_shunting,1.959633156,2.040366844,1.049214397,0.5,-0.1935263022
7004,1,anti_aligned_shunting,3.126548562,0.8734514375,0.08221958092,0.5,-1
7004,1,explicit_point_gate,0.9939797743,3.006020226,2.63926014,0.5,1
7004,1.5,no_shunting,1.79913966,2.20086034,-8.881784197e-16,1,0
7004,1.5,best_global_gain,1.725827616,2.274172384,2,0.5,0
7004,1.5,reliability_aligned,0.8894340382,3.110565962,3.087026034,0.5,1
7004,1.5,shuffled_shunting,2.127248298,1.872751702,1.189152804,0.5,0.07181620156
7004,1.5,anti_aligned_shunting,3.844852382,0.155147618,-1.261078101,0.5,-1
7004,1.5,explicit_point_gate,0.8894340382,3.110565962,3.087026034,0.5,1
7004,2,no_shunting,1.918994222,2.081005778,0,1,0
7004,2,best_global_gain,1.645866859,2.354133141,2,0.5,0
7004,2,reliability_aligned,0.3392537197,3.66074628,3.428844371,0.5,1
7004,2,shuffled_shunting,3.691249757,0.3087502428,-1.199840923,0.5,-0.8085992164
7004,2,anti_aligned_shunting,4.617379109,-0.6173791093,-2.286533112,0.5,-1
7004,2,explicit_point_gate,0.3392537197,3.66074628,3.428844371,0.5,1
7005,0,no_shunting,2.599682901,1.400317099,0,1,0
7005,0,best_global_gain,2.81047541,1.18952459,2,0.5,0
7005,0,reliability_aligned,2.81047541,1.18952459,2,0.5,0
7005,0,shuffled_shunting,2.81047541,1.18952459,2,0.5,0
7005,0,anti_aligned_shunting,2.81047541,1.18952459,2,0.5,0
7005,0,explicit_point_gate,2.81047541,1.18952459,2,0.5,0
7005,0.5,no_shunting,3.648933463,0.3510665371,-2.220446049e-16,1,0
7005,0.5,best_global_gain,1.978702476,2.021297524,2,0.5,0
7005,0.5,reliability_aligned,1.613162063,2.386837937,2.197496878,0.5,1
7005,0.5,shuffled_shunting,2.002961052,1.997038948,1.904353955,0.5,0.2335772112
7005,0.5,anti_aligned_shunting,2.733183989,1.266816011,1.407509367,0.5,-1
7005,0.5,explicit_point_gate,1.613162063,2.386837937,2.197496878,0.5,1
7005,1,no_shunting,4.169189949,-0.169189949,8.881784197e-16,1,0
7005,1,best_global_gain,2.530277387,1.469722613,2,0.5,0
7005,1,reliability_aligned,1.847436888,2.152563112,2.63926014,0.5,1
7005,1,shuffled_shunting,3.507805729,0.4921942712,1.519101403,0.5,0.1178816362
7005,1,anti_aligned_shunting,4.488482428,-0.4884824276,0.08221958092,0.5,-1
7005,1,explicit_point_gate,1.847436888,2.152563112,2.63926014,0.5,1
7005,1.5,no_shunting,2.701050437,1.298949563,-8.881784197e-16,1,0
7005,1.5,best_global_gain,1.153245281,2.846754719,2,0.5,0
7005,1.5,reliability_aligned,0.4529827582,3.547017242,3.087026034,0.5,1
