reliability_heterogeneity,method,n_seeds,mean_population_loss_after_one_step,ci95_low_population_loss_after_one_step,ci95_high_population_loss_after_one_step,mean_population_loss_decrease,ci95_low_population_loss_decrease,ci95_high_population_loss_decrease,mean_expected_guaranteed_decrease,ci95_low_expected_guaranteed_decrease,ci95_high_expected_guaranteed_decrease
0,anti_aligned_shunting,50,2.073466136,1.79868045,2.359034099,1.926533864,1.643878347,2.196736437,2,2,2
0,best_global_gain,50,2.073466136,1.801546075,2.367227641,1.926533864,1.63501489,2.195942921,2,2,2
0,explicit_point_gate,50,2.073466136,1.800519574,2.365129482,1.926533864,1.631442495,2.195495652,2,2,2
0,no_shunting,50,3.82070308,3.347176126,4.301222032,0.1792969196,-0.3098890812,0.64571901,0,0,0
0,reliability_aligned,50,2.073466136,1.8017801,2.366021753,1.926533864,1.63630848,2.20289425,2,2,2
0,shuffled_shunting,50,2.073466136,1.800243866,2.366181707,1.926533864,1.633167974,2.199018283,2,2,2
0.5,anti_aligned_shunting,50,2.568625706,2.296706358,2.851843275,1.431374294,1.151186566,1.708921332,1.407509367,1.407509367,1.407509367
0.5,best_global_gain,50,1.966957266,1.731535024,2.207394106,2.033042734,1.791617599,2.266963124,2,2,2
0.5,explicit_point_gate,50,1.772896821,1.555575857,2.000392749,2.227103179,2.00237329,2.444781298,2.197496878,2.197496878,2.197496878
0.5,no_shunting,50,4.04435266,3.524423841,4.585021722,-0.04435266005,-0.5734064958,0.4817469483,-2.220446049e-16,-2.220446049e-16,-2.220446049e-16
0.5,reliability_aligned,50,1.772896821,1.552624696,1.994924433,2.227103179,2.004441656,2.445504227,2.197496878,2.197496878,2.197496878
0.5,shuffled_shunting,50,2.174217011,1.941086395,2.423226899,1.825782989,1.574113458,2.062013384,1.825436783,1.788080669,1.862943481
1,anti_aligned_shunting,50,3.661611809,3.347390242,3.995273524,0.3383881914,0.008162468697,0.6517037368,0.08221958092,0.08221958092,0.08221958092
1,best_global_gain,50,1.947775197,1.745464327,2.166591843,2.052224803,1.838605292,2.252256003,2,2,2
1,explicit_point_gate,50,1.420221808,1.242278013,1.603285252,2.579778192,2.393810155,2.758507853,2.63926014,2.63926014,2.63926014
1,no_shunting,50,3.595201761,3.044162851,4.182525615,0.4047982391,-0.1782100198,0.9454937822,8.881784197e-16,8.881784197e-16,8.881784197e-16
1,reliability_aligned,50,1.420221808,1.24205913,1.609691202,2.579778192,2.391673406,2.758259303,2.63926014,2.63926014,2.63926014
1,shuffled_shunting,50,2.573323674,2.269976461,2.9098955,1.426676326,1.095003541,1.721054338,1.379823778,1.257244252,1.50103184
1.5,anti_aligned_shunting,50,5.29217905,4.667572926,5.974066959,-1.29217905,-1.993338763,-0.67938139,-1.261078101,-1.261078101,-1.261078101
1.5,best_global_gain,50,2.039329862,1.844137877,2.244920564,1.960670138,1.758262614,2.154811209,2,2,2
1.5,explicit_point_gate,50,0.9723318622,0.8781238401,1.07151051,3.027668138,2.928516157,3.121555725,3.087026034,3.087026034,3.087026034
1.5,no_shunting,50,4.080087665,3.272606703,4.967433444,-0.08008766476,-0.9607862481,0.7176057063,-8.881784197e-16,-8.881784197e-16,-8.881784197e-16
1.5,reliability_aligned,50,0.9723318622,0.8784892658,1.072683235,3.027668138,2.929054631,3.120433185,3.087026034,3.087026034,3.087026034
1.5,shuffled_shunting,50,3.02468128,2.601207741,3.497897927,0.9753187195,0.4972178854,1.394633921,1.054227623,0.8181172666,1.293124257
2,anti_aligned_shunting,50,5.67673036,5.25414594,6.137370062,-1.67673036,-2.139802534,-1.25716953,-2.286533112,-2.286533112,-2.286533112
2,best_global_gain,50,1.844753581,1.720439386,1.978599554,2.155246419,2.01991601,2.281935742,2,2,2
2,explicit_point_gate,50,0.6032850748,0.5292528578,0.6837765469,3.396714925,3.317372221,3.470512335,3.428844371,3.428844371,3.428844371
2,no_shunting,50,3.512265789,3.027228606,4.048555455,0.4877342114,-0.04187406237,0.9830788374,0,0,0
2,reliability_aligned,50,0.6032850748,0.5289981585,0.6839731652,3.396714925,3.316274919,3.471541699,3.428844371,3.428844371,3.428844371
2,shuffled_shunting,50,3.19229007,2.808505767,3.60688319,0.8077099303,0.4012454175,1.189374869,0.6031070341,0.2888424954,0.9164508653
