seed,alignment,budget_k,method,spectral_capture,pca_rank_upper_bound,morphology_regret
7000,0,1,ancestry,0.04402250437,0.35,0.3059774956
7000,0,1,random_rank,0.04776123789,0.35,0.3022387621
7000,0,1,dense_pca_upper_bound,0.35,0.35,1.110223025e-16
7000,0,2,ancestry,0.1472693167,0.5,0.3527306833
7000,0,2,random_rank,0.1296190632,0.5,0.3703809368
7000,0,2,dense_pca_upper_bound,0.5,0.5,2.220446049e-16
7000,0,4,ancestry,0.2899968331,0.8,0.5100031669
7000,0,4,random_rank,0.2623311993,0.8,0.5376688007
7000,0,4,dense_pca_upper_bound,0.8,0.8,2.220446049e-16
7000,0,8,ancestry,0.5828220264,1,0.4171779736
7000,0,8,random_rank,0.6010784885,1,0.3989215115
7000,0,8,dense_pca_upper_bound,1,1,4.440892099e-16
7000,0,16,ancestry,1,1,4.440892099e-16
7000,0,16,random_rank,1,1,2.220446049e-16
7000,0,16,dense_pca_upper_bound,1,1,4.440892099e-16
7000,0.25,1,ancestry,0.07051687828,0.2884880121,0.2179711339
7000,0.25,1,random_rank,0.05951055459,0.2884880121,0.2289774575
7000,0.25,1,dense_pca_upper_bound,0.2884880121,0.2884880121,0
7000,0.25,2,ancestry,0.2354519875,0.4456928513,0.2102408638
7000,0.25,2,random_rank,0.1165954159,0.4456928513,0.3290974354
7000,0.25,2,dense_pca_upper_bound,0.4456928513,0.4456928513,5.551115123e-17
7000,0.25,4,ancestry,0.4174976248,0.6988563565,0.2813587317
7000,0.25,4,random_rank,0.2647778328,0.6988563565,0.4340785236
7000,0.25,4,dense_pca_upper_bound,0.6988563565,0.6988563565,2.220446049e-16
7000,0.25,8,ancestry,0.6871165198,0.9198396583,0.2327231385
7000,0.25,8,random_rank,0.564460445,0.9198396583,0.3553792133
7000,0.25,8,dense_pca_upper_bound,0.9198396583,0.9198396583,1.110223025e-16
7000,0.25,16,ancestry,1,1,0
7000,0.25,16,random_rank,1,1,-2.220446049e-16
7000,0.25,16,dense_pca_upper_bound,1,1,0
7000,0.5,1,ancestry,0.09701125219,0.2596402481,0.162628996
7000,0.5,1,random_rank,0.07125987128,0.2596402481,0.1883803769
7000,0.5,1,dense_pca_upper_bound,0.2596402481,0.2596402481,-5.551115123e-17
7000,0.5,2,ancestry,0.3236346583,0.4204100407,0.09677538238
7000,0.5,2,random_rank,0.1035717687,0.4204100407,0.316838272
7000,0.5,2,dense_pca_upper_bound,0.4204100407,0.4204100407,-5.551115123e-17
7000,0.5,4,ancestry,0.5449984165,0.644785635,0.09978721849
7000,0.5,4,random_rank,0.2672244664,0.644785635,0.3775611686
7000,0.5,4,dense_pca_upper_bound,0.644785635,0.644785635,1.110223025e-16
7000,0.5,8,ancestry,0.7914110132,0.9015160628,0.1101050496
7000,0.5,8,random_rank,0.5278424014,0.9015160628,0.3736736613
7000,0.5,8,dense_pca_upper_bound,0.9015160628,0.9015160628,2.220446049e-16
7000,0.5,16,ancestry,1,1,2.220446049e-16
7000,0.5,16,random_rank,1,1,2.220446049e-16
