alignment,budget_k,method,n_seeds,mean_spectral_capture,ci95_low_spectral_capture,ci95_high_spectral_capture,mean_morphology_regret,ci95_low_morphology_regret,ci95_high_morphology_regret
0,1,ancestry,50,0.05704190055,0.04999473998,0.06467596171,0.2929580994,0.2855055488,0.3000280234
0,1,dense_pca_upper_bound,50,0.35,0.35,0.35,-3.552713679e-17,-7.21644966e-17,1.110223025e-18
0,1,random_rank,50,0.06411053214,0.05473367602,0.07401893734,0.2858894679,0.2756327682,0.2952003646
0,2,ancestry,50,0.121966705,0.1101918721,0.1344170789,0.378033295,0.3656869508,0.3898534713
0,2,dense_pca_upper_bound,50,0.5,0.5,0.5,6.661338148e-18,-4.329869796e-17,5.662137426e-17
0,2,random_rank,50,0.1292002775,0.1167152202,0.1422820303,0.3707997225,0.357883919,0.3832722179
0,4,ancestry,50,0.2485129332,0.2305266099,0.2666291236,0.5514870668,0.5329553243,0.5695751398
0,4,dense_pca_upper_bound,50,0.8,0.8,0.8,-6.883382753e-17,-1.287858709e-16,-8.881784197e-18
0,4,random_rank,50,0.2592749903,0.2467046803,0.2719686172,0.5407250097,0.5281363746,0.553318888
0,8,ancestry,50,0.4914729715,0.4737492094,0.5093967708,0.5085270285,0.4903516829,0.5263821258
0,8,dense_pca_upper_bound,50,1,1,1,-5.995204333e-17,-1.287858709e-16,8.881784197e-18
0,8,random_rank,50,0.5017725232,0.4839299368,0.5196201675,0.4982274768,0.4803559177,0.515977189
0,16,ancestry,50,1,1,1,6.439293543e-17,-2.220446049e-18,1.287858709e-16
0,16,dense_pca_upper_bound,50,1,1,1,-7.105427358e-17,-1.532107774e-16,8.881784197e-18
0,16,random_rank,50,1,1,1,-9.547918012e-17,-1.709743458e-16,-1.998401444e-17
0.25,1,ancestry,50,0.08028142542,0.07500152584,0.0859579437,0.2000998453,0.1943265654,0.2057220754
0.25,1,dense_pca_upper_bound,50,0.2803812708,0.2776153661,0.2832897511,-3.774758284e-17,-6.77236045e-17,-7.771561172e-18
0.25,1,random_rank,50,0.06475188467,0.05773400017,0.07209108133,0.2156293861,0.2073340445,0.223833045
0.25,2,ancestry,50,0.2164750288,0.2076608381,0.2257278239,0.2135271654,0.2067764021,0.2199796019
0.25,2,dense_pca_upper_bound,50,0.4300021942,0.425946691,0.4342724764,-5.218048216e-17,-9.547918012e-17,-1.110223025e-17
0.25,2,random_rank,50,0.1268414782,0.1168063208,0.1372721935,0.303160716,0.2921836001,0.3140465782
0.25,4,ancestry,50,0.3863846999,0.3731548752,0.3999874418,0.292651808,0.2823534143,0.3025404825
0.25,4,dense_pca_upper_bound,50,0.6790365079,0.6745674142,0.6835796838,-5.773159728e-17,-1.088018564e-16,-6.661338148e-18
0.25,4,random_rank,50,0.2564674796,0.2457918842,0.2672101523,0.4225690283,0.4110064535,0.4335802406
0.25,8,ancestry,50,0.6186047287,0.6053117712,0.6318559434,0.2905477736,0.2786529992,0.3024808758
0.25,8,dense_pca_upper_bound,50,0.9091525023,0.9058687015,0.9124094553,-7.549516567e-17,-1.33226763e-16,-1.998401444e-17
0.25,8,random_rank,50,0.5006799879,0.4862345998,0.5150200743,0.4084725144,0.394815898,0.4223624754
0.25,16,ancestry,50,1,1,1,2.664535259e-17,-4.218847494e-17,9.769962617e-17
0.25,16,dense_pca_upper_bound,50,1,1,1,-5.773159728e-17,-1.243449788e-16,8.881784197e-18
0.25,16,random_rank,50,1,1,1,-7.993605777e-17,-1.576516695e-16,-4.440892099e-18
0.5,1,ancestry,50,0.1035209503,0.1000447234,0.1072421747,0.1296579587,0.1223278122,0.1372327412
0.5,1,dense_pca_upper_bound,50,0.233178909,0.2264609472,0.2401077726,1.33226763e-17,-1.110223025e-17,3.719247132e-17
0.5,1,random_rank,50,0.0653932372,0.05980456477,0.07096456797,0.1677856718,0.1586738468,0.1770277533
0.5,2,ancestry,50,0.3109833525,0.3050409063,0.3173113591,0.09469696165,0.09000614467,0.09927678216
0.5,2,dense_pca_upper_bound,50,0.4056803142,0.4004867496,0.4110645827,0,-3.108624469e-17,3.108624469e-17
0.5,2,random_rank,50,0.1244826788,0.1158085835,0.1330673816,0.2811976353,0.2712231271,0.2915869538
0.5,4,ancestry,50,0.5242564666,0.5154274259,0.5334723434,0.1077873588,0.1031758365,0.1122332459
0.5,4,dense_pca_upper_bound,50,0.6320438254,0.6269193542,0.6373491439,-6.661338148e-18,-4.440892099e-17,3.330669074e-17
0.5,4,random_rank,50,0.2536599689,0.2429849009,0.2646260492,0.3783838565,0.3660482494,0.3902678328
0.5,8,ancestry,50,0.7457364858,0.7368369521,0.7547127965,0.1411336672,0.1344134979,0.1478337396
0.5,8,dense_pca_upper_bound,50,0.886870153,0.8832751666,0.8904294754,1.110223025e-17,-3.108624469e-17,5.107025913e-17
0.5,8,random_rank,50,0.4995874525,0.486548771,0.5127160486,0.3872827005,0.3743631729,0.3996697482
0.5,16,ancestry,50,1,1,1,5.773159728e-17,0,1.154631946e-16
0.5,16,dense_pca_upper_bound,50,1,1,1,3.108624469e-17,-1.776356839e-17,7.993605777e-17
0.5,16,random_rank,50,1,1,1,-2.442490654e-17,-9.547918012e-17,4.440892099e-17
0.75,1,ancestry,50,0.1267604751,0.1249833479,0.1286511141,0.1546366336,0.151488768,0.157819272
0.75,1,dense_pca_upper_bound,50,0.2813971087,0.2787381061,0.2842035273,-2.220446049e-18,-3.108624469e-17,2.775557562e-17
0.75,1,random_rank,50,0.06603458973,0.06045713334,0.07175220606,0.215362519,0.2088882731,0.2216748013
0.75,2,ancestry,50,0.4054916763,0.4025399129,0.4086022848,0.02292646286,0.02004213307,0.02598400125
0.75,2,dense_pca_upper_bound,50,0.4284181391,0.4242685779,0.4326700552,-1.110223025e-17,-4.662936703e-17,2.553512957e-17
0.75,2,random_rank,50,0.1221238795,0.1131598279,0.13118604,0.3062942596,0.2963841672,0.3164684813
0.75,4,ancestry,50,0.6621282333,0.6577162016,0.66660277,0.0157914906,0.01470514521,0.01683573759
0.75,4,dense_pca_upper_bound,50,0.6779197239,0.6731522941,0.6827621364,-2.664535259e-17,-7.771561172e-17,2.886579864e-17
0.75,4,random_rank,50,0.2508524582,0.2380389426,0.2641881905,0.4270672657,0.4121766877,0.4412051773
0.75,8,ancestry,50,0.8728682429,0.8684671205,0.8773471883,0.03504097416,0.03288621593,0.03727082842
0.75,8,dense_pca_upper_bound,50,0.907909217,0.9046727721,0.9111380525,-3.108624469e-17,-8.215650382e-17,2.220446049e-17
0.75,8,random_rank,50,0.4984949171,0.4842347568,0.5134987446,0.4094142999,0.3947049359,0.4233954523
0.75,16,ancestry,50,1,1,1,3.330669074e-17,-2.664535259e-17,9.325873407e-17
0.75,16,dense_pca_upper_bound,50,1,1,1,-1.554312234e-17,-7.771561172e-17,4.662936703e-17
0.75,16,random_rank,50,1,1,1,-8.881784197e-18,-8.215650382e-17,5.995204333e-17
1,1,ancestry,50,0.15,0.15,0.15,0.2,0.2,0.2
1,1,dense_pca_upper_bound,50,0.35,0.35,0.35,-1.110223025e-16,-1.110223025e-16,-1.110223025e-16
1,1,random_rank,50,0.06667594226,0.05948303608,0.07437293779,0.2833240577,0.2757567813,0.2905951932
1,2,ancestry,50,0.5,0.5,0.5,-1.110223025e-16,-1.110223025e-16,-1.110223025e-16
1,2,dense_pca_upper_bound,50,0.5,0.5,0.5,5.551115123e-17,5.551115123e-17,5.551115123e-17
1,2,random_rank,50,0.1197650801,0.1090801803,0.1309808397,0.3802349199,0.3689453374,0.3907554783
1,4,ancestry,50,0.8,0.8,0.8,-2.220446049e-16,-2.220446049e-16,-2.220446049e-16
1,4,dense_pca_upper_bound,50,0.8,0.8,0.8,-2.220446049e-16,-2.220446049e-16,-2.220446049e-16
1,4,random_rank,50,0.2480449476,0.2315590906,0.2647877282,0.5519550524,0.5351709426,0.5682105034
1,8,ancestry,50,1,1,1,-2.220446049e-16,-2.220446049e-16,-2.220446049e-16
1,8,dense_pca_upper_bound,50,1,1,1,-2.220446049e-16,-2.220446049e-16,-2.220446049e-16
1,8,random_rank,50,0.4974023817,0.4797594395,0.5161660524,0.5025976183,0.4838374231,0.5206041546
1,16,ancestry,50,1,1,1,-1.110223025e-16,-1.110223025e-16,-1.110223025e-16
1,16,dense_pca_upper_bound,50,1,1,1,-1.110223025e-16,-1.110223025e-16,-1.110223025e-16
1,16,random_rank,50,1,1,1,-1.376676551e-16,-1.754152379e-16,-1.043609643e-16
