optimizer,rule,step,dictionary,metric,contrast,mean,ci95_low,ci95_high,n_seeds,status
adam,broadcast,0,ancestry_K2,field_energy_fidelity,quartet_minus_matching,0.07176890170901305,-0.024409200003342058,0.17702798755459048,20,posthoc descriptive; no multiplicity adjustment
adam,broadcast,0,ancestry_K2,mean_per_example_fidelity,quartet_minus_matching,0.07594476170173851,-0.026458700081865856,0.18089750865148838,20,posthoc descriptive; no multiplicity adjustment
adam,broadcast,0,ancestry_K2,error_weighted_energy_fidelity,quartet_minus_matching,0.07404382125344891,-0.02897607277618503,0.18779709890416812,20,posthoc descriptive; no multiplicity adjustment
adam,broadcast,0,ancestry_K2,eligibility_weighted_update_fidelity,quartet_minus_matching,0.08273645524629937,-0.03133143321167877,0.20426469099211148,20,posthoc descriptive; no multiplicity adjustment
adam,broadcast,0,ancestry_K2,population_gradient_cosine_nonroot,quartet_minus_matching,0.32329581928651213,0.17487753149447183,0.4726081588581909,20,posthoc descriptive; no multiplicity adjustment
adam,broadcast,0,ancestry_K2,population_gradient_cosine_full,quartet_minus_matching,0.0813788350057004,0.002823940437999942,0.1658557265374686,20,posthoc descriptive; no multiplicity adjustment
adam,broadcast,0,ancestry_K2,population_nmse,quartet_minus_matching,0.30945669375190377,-0.1682737300556418,0.8981114278366769,20,posthoc descriptive; no multiplicity adjustment
adam,broadcast,0,ancestry_K3,field_energy_fidelity,quartet_minus_matching,0.026383113552869437,-0.07945426531104349,0.13394017099871697,20,posthoc descriptive; no multiplicity adjustment
adam,broadcast,0,ancestry_K3,mean_per_example_fidelity,quartet_minus_matching,0.03652583627639847,-0.06797315049068293,0.14318131833293102,20,posthoc descriptive; no multiplicity adjustment
adam,broadcast,0,ancestry_K3,error_weighted_energy_fidelity,quartet_minus_matching,0.029437980764846577,-0.08207722940114218,0.14679237913185783,20,posthoc descriptive; no multiplicity adjustment
adam,broadcast,0,ancestry_K3,eligibility_weighted_update_fidelity,quartet_minus_matching,0.0270185230114637,-0.09098021262984916,0.15162955846606016,20,posthoc descriptive; no multiplicity adjustment
adam,broadcast,0,ancestry_K3,population_gradient_cosine_nonroot,quartet_minus_matching,0.18103004552582985,0.06203679773705808,0.3040517204429168,20,posthoc descriptive; no multiplicity adjustment
adam,broadcast,0,ancestry_K3,population_gradient_cosine_full,quartet_minus_matching,0.043104869720935156,-0.01721686466004428,0.11046096160034112,20,posthoc descriptive; no multiplicity adjustment
adam,broadcast,0,ancestry_K3,population_nmse,quartet_minus_matching,0.30945669375190377,-0.15617744870042702,0.884981545681729,20,posthoc descriptive; no multiplicity adjustment
