cohort,seed,family,optimizer,rule,rate,step,source_state,field,dimensions,total_energy,effective_rank,rank95,rank99,leading_fraction
counterfactual_same_state,127200,matching,sgd,reference_matching_exact,0.03,0,same_initial,path_q,6,0.8383438846096822,2.0395822786772273,3,3,0.6357840010467848
counterfactual_same_state,127200,matching,sgd,reference_matching_exact,0.03,0,same_initial,loss_credit,6,1.3015902576168281,2.0467454666615184,3,3,0.6306745012519568
counterfactual_same_state,127200,matching,sgd,reference_matching_exact,0.03,0,same_initial,parameter_jacobian_nonroot,24,3.2365191954135923,5.901929389322539,8,11,0.28922582572669014
counterfactual_same_state,127200,matching,sgd,reference_matching_exact,0.03,0,same_initial,parameter_gradient_nonroot,24,5.412411976144634,4.763334657730113,8,10,0.3628448120803624
counterfactual_same_state,127200,quartet,sgd,reference_matching_exact,0.03,0,same_initial,path_q,6,0.8383438846096822,2.0395822786772273,3,3,0.6357840010467848
counterfactual_same_state,127200,quartet,sgd,reference_matching_exact,0.03,0,same_initial,loss_credit,6,3.121934262949953,1.8806436448971309,3,3,0.6806474276137563
counterfactual_same_state,127200,quartet,sgd,reference_matching_exact,0.03,0,same_initial,parameter_jacobian_nonroot,24,3.2365191954135923,5.901929389322539,8,11,0.28922582572669014
counterfactual_same_state,127200,quartet,sgd,reference_matching_exact,0.03,0,same_initial,parameter_gradient_nonroot,24,14.118937712051885,2.672310637620205,7,10,0.5775495405075609
counterfactual_same_state,127200,matching,sgd,reference_matching_exact,0.03,1024,matching_exact_trained,path_q,6,2.408634276419044,1.000195767584724,1,1,0.9999021288690332
counterfactual_same_state,127200,matching,sgd,reference_matching_exact,0.03,1024,matching_exact_trained,loss_credit,6,0.005062160921587933,1.0001933568412544,1,1,0.9999033338500015
counterfactual_same_state,127200,matching,sgd,reference_matching_exact,0.03,1024,matching_exact_trained,parameter_jacobian_nonroot,24,9.535641751486825,8.146191285761674,13,15,0.2644072857040866
counterfactual_same_state,127200,matching,sgd,reference_matching_exact,0.03,1024,matching_exact_trained,parameter_gradient_nonroot,24,0.02035993698540031,7.149954776758985,13,14,0.2981001126297324
counterfactual_same_state,127200,quartet,sgd,reference_matching_exact,0.03,1024,matching_exact_trained,path_q,6,2.408634276419044,1.000195767584724,1,1,0.9999021288690332
counterfactual_same_state,127200,quartet,sgd,reference_matching_exact,0.03,1024,matching_exact_trained,loss_credit,6,14.162451772112702,1.0001490847608558,1,1,0.9999254650851783
counterfactual_same_state,127200,quartet,sgd,reference_matching_exact,0.03,1024,matching_exact_trained,parameter_jacobian_nonroot,24,9.535641751486825,8.146191285761674,13,15,0.2644072857040866
counterfactual_same_state,127200,quartet,sgd,reference_matching_exact,0.03,1024,matching_exact_trained,parameter_gradient_nonroot,24,58.327511634679176,5.006761220557615,12,15,0.4063418729201005
counterfactual_same_state,127200,matching,adam,reference_matching_exact,0.01,0,same_initial,path_q,6,0.8383438846096822,2.0395822786772273,3,3,0.6357840010467848
counterfactual_same_state,127200,matching,adam,reference_matching_exact,0.01,0,same_initial,loss_credit,6,1.3015902576168281,2.0467454666615184,3,3,0.6306745012519568
counterfactual_same_state,127200,matching,adam,reference_matching_exact,0.01,0,same_initial,parameter_jacobian_nonroot,24,3.2365191954135923,5.901929389322539,8,11,0.28922582572669014
counterfactual_same_state,127200,matching,adam,reference_matching_exact,0.01,0,same_initial,parameter_gradient_nonroot,24,5.412411976144634,4.763334657730113,8,10,0.3628448120803624
counterfactual_same_state,127200,quartet,adam,reference_matching_exact,0.01,0,same_initial,path_q,6,0.8383438846096822,2.0395822786772273,3,3,0.6357840010467848
counterfactual_same_state,127200,quartet,adam,reference_matching_exact,0.01,0,same_initial,loss_credit,6,3.121934262949953,1.8806436448971309,3,3,0.6806474276137563
counterfactual_same_state,127200,quartet,adam,reference_matching_exact,0.01,0,same_initial,parameter_jacobian_nonroot,24,3.2365191954135923,5.901929389322539,8,11,0.28922582572669014
counterfactual_same_state,127200,quartet,adam,reference_matching_exact,0.01,0,same_initial,parameter_gradient_nonroot,24,14.118937712051885,2.672310637620205,7,10,0.5775495405075609
counterfactual_same_state,127200,matching,adam,reference_matching_exact,0.01,1024,matching_exact_trained,path_q,6,2.019523144834452,1.0014212739139636,1,1,0.9992899404866481
counterfactual_same_state,127200,matching,adam,reference_matching_exact,0.01,1024,matching_exact_trained,loss_credit,6,0.006703077690752705,1.0011329071870698,1,1,0.9994338947808744
counterfactual_same_state,127200,matching,adam,reference_matching_exact,0.01,1024,matching_exact_trained,parameter_jacobian_nonroot,24,8.87695576057543,7.107160055505698,13,15,0.3000836356857593
counterfactual_same_state,127200,matching,adam,reference_matching_exact,0.01,1024,matching_exact_trained,parameter_gradient_nonroot,24,0.036114649317668265,2.841130405630888,10,13,0.5724969879852143
counterfactual_same_state,127200,quartet,adam,reference_matching_exact,0.01,1024,matching_exact_trained,path_q,6,2.019523144834452,1.0014212739139636,1,1,0.9992899404866481
counterfactual_same_state,127200,quartet,adam,reference_matching_exact,0.01,1024,matching_exact_trained,loss_credit,6,12.212342349657055,1.000935159554212,1,1,0.999532677701128
counterfactual_same_state,127200,quartet,adam,reference_matching_exact,0.01,1024,matching_exact_trained,parameter_jacobian_nonroot,24,8.87695576057543,7.107160055505698,13,15,0.3000836356857593
counterfactual_same_state,127200,quartet,adam,reference_matching_exact,0.01,1024,matching_exact_trained,parameter_gradient_nonroot,24,55.95956608155367,4.675147945212643,12,15,0.4206505779733087
counterfactual_same_state,127201,matching,sgd,reference_matching_exact,0.03,0,same_initial,path_q,6,0.6127291287993157,2.0767483715900097,4,5,0.6638938487555802
counterfactual_same_state,127201,matching,sgd,reference_matching_exact,0.03,0,same_initial,loss_credit,6,0.6015099515901732,2.0641483098925253,4,5,0.6662664229389642
counterfactual_same_state,127201,matching,sgd,reference_matching_exact,0.03,0,same_initial,parameter_jacobian_nonroot,24,1.9549957058945595,9.07965636395432,11,14,0.21048745110136124
counterfactual_same_state,127201,matching,sgd,reference_matching_exact,0.03,0,same_initial,parameter_gradient_nonroot,24,1.8884954738369495,7.495372125997435,11,14,0.2699718716043338
counterfactual_same_state,127201,quartet,sgd,reference_matching_exact,0.03,0,same_initial,path_q,6,0.6127291287993157,2.0767483715900097,4,5,0.6638938487555802
counterfactual_same_state,127201,quartet,sgd,reference_matching_exact,0.03,0,same_initial,loss_credit,6,1.6785804617696236,2.017693947183209,3,5,0.6749384255248017
counterfactual_same_state,127201,quartet,sgd,reference_matching_exact,0.03,0,same_initial,parameter_jacobian_nonroot,24,1.9549957058945595,9.07965636395432,11,14,0.21048745110136124
counterfactual_same_state,127201,quartet,sgd,reference_matching_exact,0.03,0,same_initial,parameter_gradient_nonroot,24,5.736237567261799,7.031502472267099,11,13,0.2605391538152886
counterfactual_same_state,127201,matching,sgd,reference_matching_exact,0.03,1024,matching_exact_trained,path_q,6,2.5544572319793915,1.0127707605765688,1,1,0.9936636107678996
counterfactual_same_state,127201,matching,sgd,reference_matching_exact,0.03,1024,matching_exact_trained,loss_credit,6,1.302743114149808,1.0127123293961853,1,1,0.9936924743809613
counterfactual_same_state,127201,matching,sgd,reference_matching_exact,0.03,1024,matching_exact_trained,parameter_jacobian_nonroot,24,8.178703907020545,5.472021336752165,7,9,0.3326728901554825
counterfactual_same_state,127201,matching,sgd,reference_matching_exact,0.03,1024,matching_exact_trained,parameter_gradient_nonroot,24,4.166768546684243,5.441478845619589,7,8,0.3339670829327963
counterfactual_same_state,127201,quartet,sgd,reference_matching_exact,0.03,1024,matching_exact_trained,path_q,6,2.5544572319793915,1.0127707605765688,1,1,0.9936636107678996
counterfactual_same_state,127201,quartet,sgd,reference_matching_exact,0.03,1024,matching_exact_trained,loss_credit,6,10.515603269550727,1.0112205205263962,1,1,0.9944259930389231
counterfactual_same_state,127201,quartet,sgd,reference_matching_exact,0.03,1024,matching_exact_trained,parameter_jacobian_nonroot,24,8.178703907020545,5.472021336752165,7,9,0.3326728901554825
counterfactual_same_state,127201,quartet,sgd,reference_matching_exact,0.03,1024,matching_exact_trained,parameter_gradient_nonroot,24,35.32566967702462,4.024308020916505,7,8,0.4360364691000391
counterfactual_same_state,127201,matching,adam,reference_matching_exact,0.01,0,same_initial,path_q,6,0.6127291287993157,2.0767483715900097,4,5,0.6638938487555802
counterfactual_same_state,127201,matching,adam,reference_matching_exact,0.01,0,same_initial,loss_credit,6,0.6015099515901732,2.0641483098925253,4,5,0.6662664229389642
counterfactual_same_state,127201,matching,adam,reference_matching_exact,0.01,0,same_initial,parameter_jacobian_nonroot,24,1.9549957058945595,9.07965636395432,11,14,0.21048745110136124
counterfactual_same_state,127201,matching,adam,reference_matching_exact,0.01,0,same_initial,parameter_gradient_nonroot,24,1.8884954738369495,7.495372125997435,11,14,0.2699718716043338
counterfactual_same_state,127201,quartet,adam,reference_matching_exact,0.01,0,same_initial,path_q,6,0.6127291287993157,2.0767483715900097,4,5,0.6638938487555802
counterfactual_same_state,127201,quartet,adam,reference_matching_exact,0.01,0,same_initial,loss_credit,6,1.6785804617696236,2.017693947183209,3,5,0.6749384255248017
counterfactual_same_state,127201,quartet,adam,reference_matching_exact,0.01,0,same_initial,parameter_jacobian_nonroot,24,1.9549957058945595,9.07965636395432,11,14,0.21048745110136124
counterfactual_same_state,127201,quartet,adam,reference_matching_exact,0.01,0,same_initial,parameter_gradient_nonroot,24,5.736237567261799,7.031502472267099,11,13,0.2605391538152886
counterfactual_same_state,127201,matching,adam,reference_matching_exact,0.01,1024,matching_exact_trained,path_q,6,2.762444609862806,1.0001923911514397,1,1,0.99990381643198
counterfactual_same_state,127201,matching,adam,reference_matching_exact,0.01,1024,matching_exact_trained,loss_credit,6,0.0011679454785946393,1.0001916775104973,1,1,0.99990417286285
counterfactual_same_state,127201,matching,adam,reference_matching_exact,0.01,1024,matching_exact_trained,parameter_jacobian_nonroot,24,10.09247719329465,7.684910356799476,13,15,0.29055836385152284
counterfactual_same_state,127201,matching,adam,reference_matching_exact,0.01,1024,matching_exact_trained,parameter_gradient_nonroot,24,0.004203648845962222,6.2992612704032815,12,15,0.332051115794538
counterfactual_same_state,127201,quartet,adam,reference_matching_exact,0.01,1024,matching_exact_trained,path_q,6,2.762444609862806,1.0001923911514397,1,1,0.99990381643198
counterfactual_same_state,127201,quartet,adam,reference_matching_exact,0.01,1024,matching_exact_trained,loss_credit,6,16.651510728865816,1.0001707565796976,1,1,0.9999146311565742
counterfactual_same_state,127201,quartet,adam,reference_matching_exact,0.01,1024,matching_exact_trained,parameter_jacobian_nonroot,24,10.09247719329465,7.684910356799476,13,15,0.29055836385152284
counterfactual_same_state,127201,quartet,adam,reference_matching_exact,0.01,1024,matching_exact_trained,parameter_gradient_nonroot,24,62.43733945135013,5.2864341883871395,12,15,0.39234089789891496
counterfactual_same_state,127202,matching,sgd,reference_matching_exact,0.03,0,same_initial,path_q,6,2.1452040762353475,2.323195553385985,3,6,0.5725596371890523
counterfactual_same_state,127202,matching,sgd,reference_matching_exact,0.03,0,same_initial,loss_credit,6,2.1374913422426265,2.3386737793416703,3,5,0.5223721782931185
counterfactual_same_state,127202,matching,sgd,reference_matching_exact,0.03,0,same_initial,parameter_jacobian_nonroot,24,6.12864113854921,6.520546359563098,11,15,0.28232262728464874
counterfactual_same_state,127202,matching,sgd,reference_matching_exact,0.03,0,same_initial,parameter_gradient_nonroot,24,6.210949791515132,5.3421720876353,10,14,0.339433245201593
counterfactual_same_state,127202,quartet,sgd,reference_matching_exact,0.03,0,same_initial,path_q,6,2.1452040762353475,2.323195553385985,3,6,0.5725596371890523
counterfactual_same_state,127202,quartet,sgd,reference_matching_exact,0.03,0,same_initial,loss_credit,6,5.0160977538050195,2.466864517475921,3,5,0.5076900124241831
counterfactual_same_state,127202,quartet,sgd,reference_matching_exact,0.03,0,same_initial,parameter_jacobian_nonroot,24,6.12864113854921,6.520546359563098,11,15,0.28232262728464874
counterfactual_same_state,127202,quartet,sgd,reference_matching_exact,0.03,0,same_initial,parameter_gradient_nonroot,24,14.98389289012572,6.093643666811829,10,14,0.2893621586866731
counterfactual_same_state,127202,matching,sgd,reference_matching_exact,0.03,1024,matching_exact_trained,path_q,6,7.61262844913602,1.066014842474264,1,2,0.9680202728788488
counterfactual_same_state,127202,matching,sgd,reference_matching_exact,0.03,1024,matching_exact_trained,loss_credit,6,0.22657843228224547,1.1343347279374358,2,2,0.9368001093007392
counterfactual_same_state,127202,matching,sgd,reference_matching_exact,0.03,1024,matching_exact_trained,parameter_jacobian_nonroot,24,21.76573392023507,6.096010866786536,12,15,0.34320661860352103
counterfactual_same_state,127202,matching,sgd,reference_matching_exact,0.03,1024,matching_exact_trained,parameter_gradient_nonroot,24,0.6543922975916786,4.7397451783586115,10,13,0.37903652150164
counterfactual_same_state,127202,quartet,sgd,reference_matching_exact,0.03,1024,matching_exact_trained,path_q,6,7.61262844913602,1.066014842474264,1,2,0.9680202728788488
counterfactual_same_state,127202,quartet,sgd,reference_matching_exact,0.03,1024,matching_exact_trained,loss_credit,6,37.67562246326929,1.0704844857828155,1,2,0.96592360745922
counterfactual_same_state,127202,quartet,sgd,reference_matching_exact,0.03,1024,matching_exact_trained,parameter_jacobian_nonroot,24,21.76573392023507,6.096010866786536,12,15,0.34320661860352103
counterfactual_same_state,127202,quartet,sgd,reference_matching_exact,0.03,1024,matching_exact_trained,parameter_gradient_nonroot,24,108.40050310314871,5.971959316075098,12,14,0.34451734659895183
counterfactual_same_state,127202,matching,adam,reference_matching_exact,0.01,0,same_initial,path_q,6,2.1452040762353475,2.323195553385985,3,6,0.5725596371890523
counterfactual_same_state,127202,matching,adam,reference_matching_exact,0.01,0,same_initial,loss_credit,6,2.1374913422426265,2.3386737793416703,3,5,0.5223721782931185
counterfactual_same_state,127202,matching,adam,reference_matching_exact,0.01,0,same_initial,parameter_jacobian_nonroot,24,6.12864113854921,6.520546359563098,11,15,0.28232262728464874
counterfactual_same_state,127202,matching,adam,reference_matching_exact,0.01,0,same_initial,parameter_gradient_nonroot,24,6.210949791515132,5.3421720876353,10,14,0.339433245201593
counterfactual_same_state,127202,quartet,adam,reference_matching_exact,0.01,0,same_initial,path_q,6,2.1452040762353475,2.323195553385985,3,6,0.5725596371890523
counterfactual_same_state,127202,quartet,adam,reference_matching_exact,0.01,0,same_initial,loss_credit,6,5.0160977538050195,2.466864517475921,3,5,0.5076900124241831
counterfactual_same_state,127202,quartet,adam,reference_matching_exact,0.01,0,same_initial,parameter_jacobian_nonroot,24,6.12864113854921,6.520546359563098,11,15,0.28232262728464874
counterfactual_same_state,127202,quartet,adam,reference_matching_exact,0.01,0,same_initial,parameter_gradient_nonroot,24,14.98389289012572,6.093643666811829,10,14,0.2893621586866731
counterfactual_same_state,127202,matching,adam,reference_matching_exact,0.01,1024,matching_exact_trained,path_q,6,5.103724089806109,1.0002769241478326,1,1,0.9998615626158212
counterfactual_same_state,127202,matching,adam,reference_matching_exact,0.01,1024,matching_exact_trained,loss_credit,6,0.011842396943859258,1.0002156755336082,1,1,0.9998921768311052
counterfactual_same_state,127202,matching,adam,reference_matching_exact,0.01,1024,matching_exact_trained,parameter_jacobian_nonroot,24,16.449240184301534,5.689364808577382,12,15,0.3692879542312275
counterfactual_same_state,127202,matching,adam,reference_matching_exact,0.01,1024,matching_exact_trained,parameter_gradient_nonroot,24,0.04136044948994381,3.5728489419826763,11,14,0.5012912306024644
counterfactual_same_state,127202,quartet,adam,reference_matching_exact,0.01,1024,matching_exact_trained,path_q,6,5.103724089806109,1.0002769241478326,1,1,0.9998615626158212
counterfactual_same_state,127202,quartet,adam,reference_matching_exact,0.01,1024,matching_exact_trained,loss_credit,6,29.52589094955476,1.0002423795309057,1,1,0.9998788288564009
counterfactual_same_state,127202,quartet,adam,reference_matching_exact,0.01,1024,matching_exact_trained,parameter_jacobian_nonroot,24,16.449240184301534,5.689364808577382,12,15,0.3692879542312275
counterfactual_same_state,127202,quartet,adam,reference_matching_exact,0.01,1024,matching_exact_trained,parameter_gradient_nonroot,24,93.5430597922063,4.730865849256775,12,14,0.4171176829531091
counterfactual_same_state,127203,matching,sgd,reference_matching_exact,0.03,0,same_initial,path_q,6,2.4133418648869176,1.1712593492054777,2,2,0.920964475820052
counterfactual_same_state,127203,matching,sgd,reference_matching_exact,0.03,0,same_initial,loss_credit,6,3.93111561570328,1.096696094053581,1,2,0.9539889655500738
counterfactual_same_state,127203,matching,sgd,reference_matching_exact,0.03,0,same_initial,parameter_jacobian_nonroot,24,8.367267990951735,7.274288355099819,12,14,0.2767009182885292
counterfactual_same_state,127203,matching,sgd,reference_matching_exact,0.03,0,same_initial,parameter_gradient_nonroot,24,13.555273668157383,5.2850151827812555,11,14,0.375617992380916
counterfactual_same_state,127203,quartet,sgd,reference_matching_exact,0.03,0,same_initial,path_q,6,2.4133418648869176,1.1712593492054777,2,2,0.920964475820052
counterfactual_same_state,127203,quartet,sgd,reference_matching_exact,0.03,0,same_initial,loss_credit,6,15.428778534204337,1.1044063583676376,1,2,0.950508120708372
counterfactual_same_state,127203,quartet,sgd,reference_matching_exact,0.03,0,same_initial,parameter_jacobian_nonroot,24,8.367267990951735,7.274288355099819,12,14,0.2767009182885292
counterfactual_same_state,127203,quartet,sgd,reference_matching_exact,0.03,0,same_initial,parameter_gradient_nonroot,24,55.03910668084819,4.306786952353959,11,14,0.4448686233006551
counterfactual_same_state,127203,matching,sgd,reference_matching_exact,0.03,1024,matching_exact_trained,path_q,6,2.8784363658342635,1.000082787036551,1,1,0.9999586087588794
counterfactual_same_state,127203,matching,sgd,reference_matching_exact,0.03,1024,matching_exact_trained,loss_credit,6,0.01280990594263743,1.0000811783739239,1,1,0.9999594129953735
counterfactual_same_state,127203,matching,sgd,reference_matching_exact,0.03,1024,matching_exact_trained,parameter_jacobian_nonroot,24,10.465360323331282,8.026410096932219,13,15,0.2753669980356575
counterfactual_same_state,127203,matching,sgd,reference_matching_exact,0.03,1024,matching_exact_trained,parameter_gradient_nonroot,24,0.04605668327564931,7.7131154309523415,12,14,0.2857200415170409
counterfactual_same_state,127203,quartet,sgd,reference_matching_exact,0.03,1024,matching_exact_trained,path_q,6,2.8784363658342635,1.000082787036551,1,1,0.9999586087588794
counterfactual_same_state,127203,quartet,sgd,reference_matching_exact,0.03,1024,matching_exact_trained,loss_credit,6,17.28144550363394,1.000064164936178,1,1,0.9999679188921086
counterfactual_same_state,127203,quartet,sgd,reference_matching_exact,0.03,1024,matching_exact_trained,parameter_jacobian_nonroot,24,10.465360323331282,8.026410096932219,13,15,0.2753669980356575
counterfactual_same_state,127203,quartet,sgd,reference_matching_exact,0.03,1024,matching_exact_trained,parameter_gradient_nonroot,24,62.8554237698623,5.992164492377811,11,13,0.32302079701447617
counterfactual_same_state,127203,matching,adam,reference_matching_exact,0.01,0,same_initial,path_q,6,2.4133418648869176,1.1712593492054777,2,2,0.920964475820052
counterfactual_same_state,127203,matching,adam,reference_matching_exact,0.01,0,same_initial,loss_credit,6,3.93111561570328,1.096696094053581,1,2,0.9539889655500738
counterfactual_same_state,127203,matching,adam,reference_matching_exact,0.01,0,same_initial,parameter_jacobian_nonroot,24,8.367267990951735,7.274288355099819,12,14,0.2767009182885292
counterfactual_same_state,127203,matching,adam,reference_matching_exact,0.01,0,same_initial,parameter_gradient_nonroot,24,13.555273668157383,5.2850151827812555,11,14,0.375617992380916
counterfactual_same_state,127203,quartet,adam,reference_matching_exact,0.01,0,same_initial,path_q,6,2.4133418648869176,1.1712593492054777,2,2,0.920964475820052
counterfactual_same_state,127203,quartet,adam,reference_matching_exact,0.01,0,same_initial,loss_credit,6,15.428778534204337,1.1044063583676376,1,2,0.950508120708372
counterfactual_same_state,127203,quartet,adam,reference_matching_exact,0.01,0,same_initial,parameter_jacobian_nonroot,24,8.367267990951735,7.274288355099819,12,14,0.2767009182885292
counterfactual_same_state,127203,quartet,adam,reference_matching_exact,0.01,0,same_initial,parameter_gradient_nonroot,24,55.03910668084819,4.306786952353959,11,14,0.4448686233006551
counterfactual_same_state,127203,matching,adam,reference_matching_exact,0.01,1024,matching_exact_trained,path_q,6,2.481703468074248,1.0005342189102369,1,1,0.9997329646668399
counterfactual_same_state,127203,matching,adam,reference_matching_exact,0.01,1024,matching_exact_trained,loss_credit,6,0.0025783306036059293,1.0004011450917352,1,1,0.9997994695943933
counterfactual_same_state,127203,matching,adam,reference_matching_exact,0.01,1024,matching_exact_trained,parameter_jacobian_nonroot,24,9.4245878589471,8.017169343815857,13,15,0.2713266616549741
counterfactual_same_state,127203,matching,adam,reference_matching_exact,0.01,1024,matching_exact_trained,parameter_gradient_nonroot,24,0.009816712071862355,6.408888330117234,12,15,0.3194931165994165
counterfactual_same_state,127203,quartet,adam,reference_matching_exact,0.01,1024,matching_exact_trained,path_q,6,2.481703468074248,1.0005342189102369,1,1,0.9997329646668399
counterfactual_same_state,127203,quartet,adam,reference_matching_exact,0.01,1024,matching_exact_trained,loss_credit,6,14.894447310033426,1.0001356884113832,1,1,0.9999321609768295
counterfactual_same_state,127203,quartet,adam,reference_matching_exact,0.01,1024,matching_exact_trained,parameter_jacobian_nonroot,24,9.4245878589471,8.017169343815857,13,15,0.2713266616549741
counterfactual_same_state,127203,quartet,adam,reference_matching_exact,0.01,1024,matching_exact_trained,parameter_gradient_nonroot,24,57.26836369246288,5.911620212687274,11,14,0.32314544402848394
counterfactual_same_state,127204,matching,sgd,reference_matching_exact,0.03,0,same_initial,path_q,6,2.3704135864411815,1.038512264003175,1,2,0.9811570834253511
counterfactual_same_state,127204,matching,sgd,reference_matching_exact,0.03,0,same_initial,loss_credit,6,5.3369952899181285,1.0477889875712427,1,2,0.976709588070446
counterfactual_same_state,127204,matching,sgd,reference_matching_exact,0.03,0,same_initial,parameter_jacobian_nonroot,24,8.177082241494734,5.410722535274713,7,9,0.28694515156102635
counterfactual_same_state,127204,matching,sgd,reference_matching_exact,0.03,0,same_initial,parameter_gradient_nonroot,24,19.289151812099483,4.269313454517685,6,8,0.3747854154178976
counterfactual_same_state,127204,quartet,sgd,reference_matching_exact,0.03,0,same_initial,path_q,6,2.3704135864411815,1.038512264003175,1,2,0.9811570834253511
counterfactual_same_state,127204,quartet,sgd,reference_matching_exact,0.03,0,same_initial,loss_credit,6,9.996962352314018,1.0432734135369417,1,2,0.9788693730018986
counterfactual_same_state,127204,quartet,sgd,reference_matching_exact,0.03,0,same_initial,parameter_jacobian_nonroot,24,8.177082241494734,5.410722535274713,7,9,0.28694515156102635
counterfactual_same_state,127204,quartet,sgd,reference_matching_exact,0.03,0,same_initial,parameter_gradient_nonroot,24,37.96351876821189,4.2587426318287855,6,8,0.3697090766376837
counterfactual_same_state,127204,matching,sgd,reference_matching_exact,0.03,1024,matching_exact_trained,path_q,6,3.5205628204763033,1.000029945970148,1,1,0.9999850272941397
counterfactual_same_state,127204,matching,sgd,reference_matching_exact,0.03,1024,matching_exact_trained,loss_credit,6,0.00067988935691545,1.0000326859711257,1,1,0.9999836573397881
counterfactual_same_state,127204,matching,sgd,reference_matching_exact,0.03,1024,matching_exact_trained,parameter_jacobian_nonroot,24,13.09549653931695,7.679114993703305,12,15,0.2694525507687857
counterfactual_same_state,127204,matching,sgd,reference_matching_exact,0.03,1024,matching_exact_trained,parameter_gradient_nonroot,24,0.002513909311517679,7.080453617624546,12,14,0.28160216061051935
counterfactual_same_state,127204,quartet,sgd,reference_matching_exact,0.03,1024,matching_exact_trained,path_q,6,3.5205628204763033,1.000029945970148,1,1,0.9999850272941397
counterfactual_same_state,127204,quartet,sgd,reference_matching_exact,0.03,1024,matching_exact_trained,loss_credit,6,21.003315521459808,1.000017833473104,1,1,0.9999910833642941
counterfactual_same_state,127204,quartet,sgd,reference_matching_exact,0.03,1024,matching_exact_trained,parameter_jacobian_nonroot,24,13.09549653931695,7.679114993703305,12,15,0.2694525507687857
counterfactual_same_state,127204,quartet,sgd,reference_matching_exact,0.03,1024,matching_exact_trained,parameter_gradient_nonroot,24,77.85465070270169,5.297115343632048,11,13,0.3291121397148379
counterfactual_same_state,127204,matching,adam,reference_matching_exact,0.01,0,same_initial,path_q,6,2.3704135864411815,1.038512264003175,1,2,0.9811570834253511
counterfactual_same_state,127204,matching,adam,reference_matching_exact,0.01,0,same_initial,loss_credit,6,5.3369952899181285,1.0477889875712427,1,2,0.976709588070446
counterfactual_same_state,127204,matching,adam,reference_matching_exact,0.01,0,same_initial,parameter_jacobian_nonroot,24,8.177082241494734,5.410722535274713,7,9,0.28694515156102635
counterfactual_same_state,127204,matching,adam,reference_matching_exact,0.01,0,same_initial,parameter_gradient_nonroot,24,19.289151812099483,4.269313454517685,6,8,0.3747854154178976
counterfactual_same_state,127204,quartet,adam,reference_matching_exact,0.01,0,same_initial,path_q,6,2.3704135864411815,1.038512264003175,1,2,0.9811570834253511
counterfactual_same_state,127204,quartet,adam,reference_matching_exact,0.01,0,same_initial,loss_credit,6,9.996962352314018,1.0432734135369417,1,2,0.9788693730018986
counterfactual_same_state,127204,quartet,adam,reference_matching_exact,0.01,0,same_initial,parameter_jacobian_nonroot,24,8.177082241494734,5.410722535274713,7,9,0.28694515156102635
counterfactual_same_state,127204,quartet,adam,reference_matching_exact,0.01,0,same_initial,parameter_gradient_nonroot,24,37.96351876821189,4.2587426318287855,6,8,0.3697090766376837
counterfactual_same_state,127204,matching,adam,reference_matching_exact,0.01,1024,matching_exact_trained,path_q,6,9.44005420149138,1.0184653875950564,1,1,0.9908683971952211
counterfactual_same_state,127204,matching,adam,reference_matching_exact,0.01,1024,matching_exact_trained,loss_credit,6,0.08268957473707457,1.012222143005545,1,1,0.9939318983379022
counterfactual_same_state,127204,matching,adam,reference_matching_exact,0.01,1024,matching_exact_trained,parameter_jacobian_nonroot,24,44.00389989566972,4.424972377663989,9,12,0.4353620327613987
