cohort,seed,family,step,structure,optimizer,rate,rule,field,index,eigenvalue,fraction
frozen_algebraic_replay,127204,matching,0,compatible,sgd,0.03,exact,path_q,1,2.325748080984456,0.9811570834253511
frozen_algebraic_replay,127204,matching,0,compatible,sgd,0.03,exact,path_q,2,0.03682676632792473,0.015536008795500775
frozen_algebraic_replay,127204,matching,0,compatible,sgd,0.03,exact,path_q,3,0.004819805357665216,0.002033318314253095
frozen_algebraic_replay,127204,matching,0,compatible,sgd,0.03,exact,path_q,4,0.0025643913206469617,0.0010818328646592886
frozen_algebraic_replay,127204,matching,0,compatible,sgd,0.03,exact,path_q,5,0.00042929928064603935,0.00018110733211353528
frozen_algebraic_replay,127204,matching,0,compatible,sgd,0.03,exact,path_q,6,2.524316984252887e-05,1.064926812220465e-05
frozen_algebraic_replay,127204,matching,0,compatible,sgd,0.03,exact,loss_credit,1,5.212694471149846,0.976709588070446
frozen_algebraic_replay,127204,matching,0,compatible,sgd,0.03,exact,loss_credit,2,0.11008479556313361,0.020626736503045022
frozen_algebraic_replay,127204,matching,0,compatible,sgd,0.03,exact,loss_credit,3,0.008894095396712771,0.001666498640820275
frozen_algebraic_replay,127204,matching,0,compatible,sgd,0.03,exact,loss_credit,4,0.0046711401525042434,0.0008752378255473222
frozen_algebraic_replay,127204,matching,0,compatible,sgd,0.03,exact,loss_credit,5,0.0006000512782911189,0.0001124324166867166
frozen_algebraic_replay,127204,matching,0,compatible,sgd,0.03,exact,loss_credit,6,5.073637764127778e-05,9.50654345472658e-06
frozen_algebraic_replay,127204,matching,0,compatible,sgd,0.03,exact,parameter_jacobian_nonroot,1,2.3463741031126837,0.28694515156102635
frozen_algebraic_replay,127204,matching,0,compatible,sgd,0.03,exact,parameter_jacobian_nonroot,2,1.9537732374379693,0.23893280998490096
frozen_algebraic_replay,127204,matching,0,compatible,sgd,0.03,exact,parameter_jacobian_nonroot,3,1.0294734170757263,0.12589740284763765
