cohort,seed,family,step,structure,optimizer,rate,rule,field,dimensions,total_energy,effective_rank,rank95,rank99,leading_fraction
frozen_algebraic_replay,127214,matching,0,compatible,sgd,0.03,exact,path_q,6,0.4544191777738062,2.6678389769343887,3,3,0.4956715402802388
frozen_algebraic_replay,127214,matching,0,compatible,sgd,0.03,exact,loss_credit,6,0.541838877305855,2.6031323804312927,3,3,0.5152003678581961
frozen_algebraic_replay,127214,matching,0,compatible,sgd,0.03,exact,parameter_jacobian_nonroot,24,2.154576370618064,5.778878839168122,8,8,0.2930775528589428
frozen_algebraic_replay,127214,matching,0,compatible,sgd,0.03,exact,parameter_gradient_nonroot,24,2.8872430517748584,3.9029799147983906,7,8,0.4339088826795584
frozen_algebraic_replay,127214,matching,0,compatible,sgd,0.03,broadcast,path_q,6,0.4544191777738062,2.6678389769343887,3,3,0.4956715402802388
frozen_algebraic_replay,127214,matching,0,compatible,sgd,0.03,broadcast,loss_credit,6,0.541838877305855,2.6031323804312927,3,3,0.5152003678581961
frozen_algebraic_replay,127214,matching,0,compatible,sgd,0.03,broadcast,parameter_jacobian_nonroot,24,2.154576370618064,5.778878839168122,8,8,0.2930775528589428
frozen_algebraic_replay,127214,matching,0,compatible,sgd,0.03,broadcast,parameter_gradient_nonroot,24,2.8872430517748584,3.9029799147983906,7,8,0.4339088826795584
frozen_algebraic_replay,127214,matching,0,compatible,sgd,0.03,global_projection,path_q,6,0.4544191777738062,2.6678389769343887,3,3,0.4956715402802388
frozen_algebraic_replay,127214,matching,0,compatible,sgd,0.03,global_projection,loss_credit,6,0.541838877305855,2.6031323804312927,3,3,0.5152003678581961
frozen_algebraic_replay,127214,matching,0,compatible,sgd,0.03,global_projection,parameter_jacobian_nonroot,24,2.154576370618064,5.778878839168122,8,8,0.2930775528589428
frozen_algebraic_replay,127214,matching,0,compatible,sgd,0.03,global_projection,parameter_gradient_nonroot,24,2.8872430517748584,3.9029799147983906,7,8,0.4339088826795584
frozen_algebraic_replay,127214,matching,0,compatible,sgd,0.03,subtree_projection,path_q,6,0.4544191777738062,2.6678389769343887,3,3,0.4956715402802388
frozen_algebraic_replay,127214,matching,0,compatible,sgd,0.03,subtree_projection,loss_credit,6,0.541838877305855,2.6031323804312927,3,3,0.5152003678581961
