panel,task,rule,rate,step,mean,ci95_low,ci95_high,n_seeds,positive_seeds,sensitivity,model,optimizer,contrast,k
C,matching,exact,0.003,0.0,1.2874093705560543,1.1306690769040735,1.4779972729493174,20.0,20.0,,,,,
C,matching,exact,0.003,1.0,1.272455993772131,1.1210057222323642,1.4548272048692952,20.0,20.0,,,,,
C,matching,exact,0.003,16.0,1.1092596186003074,1.0082314459586499,1.2195761152592453,20.0,20.0,,,,,
C,matching,exact,0.003,64.0,0.8857554924044283,0.7982464981033803,0.962392854390319,20.0,20.0,,,,,
C,matching,exact,0.003,256.0,0.2798011407984049,0.17014816866498045,0.40862111252257544,20.0,20.0,,,,,
C,matching,exact,0.003,512.0,0.08315147077659797,0.026522869142335995,0.18224361007804318,20.0,20.0,,,,,
C,matching,exact,0.003,1024.0,0.03172611530596351,0.022942212493247134,0.04827098500637029,20.0,20.0,,,,,
C,matching,unit_broadcast,0.003,0.0,1.2874093705560543,1.1306690769040735,1.4779972729493174,20.0,20.0,,,,,
C,matching,unit_broadcast,0.003,1.0,1.2842913907984863,1.127834662757671,1.4749351016418943,20.0,20.0,,,,,
C,matching,unit_broadcast,0.003,16.0,1.2310533716014291,1.0880759202796242,1.4003308959624312,20.0,20.0,,,,,
C,matching,unit_broadcast,0.003,64.0,1.1229050440439354,1.006867851328803,1.2594717883110587,20.0,20.0,,,,,
C,matching,unit_broadcast,0.003,256.0,0.6541539470356719,0.5317788305293455,0.780764312429241,20.0,20.0,,,,,
C,matching,unit_broadcast,0.003,512.0,0.24128459022013882,0.1601954840199361,0.3324349701778319,20.0,20.0,,,,,
C,matching,unit_broadcast,0.003,1024.0,0.025164214041292533,0.02346403647996496,0.027113295361012847,20.0,20.0,,,,,
C,matching,calibrated_broadcast,0.01,0.0,1.2874093705560543,1.1306690769040735,1.4779972729493174,20.0,20.0,,,,,
C,matching,calibrated_broadcast,0.01,1.0,1.2624856112118406,1.1102449075259895,1.4489498495775592,20.0,20.0,,,,,
C,matching,calibrated_broadcast,0.01,16.0,0.983265626809982,0.8734653511963568,1.1119731118332368,20.0,20.0,,,,,
