,,,gradient_clipped_steps,gradient_clipped_steps,parameter_projected_steps,parameter_projected_steps
,,,mean,max,mean,max
model,optimizer,rule,,,,
algebraic,adam,calibrated_broadcast,0.0,0,6.683333333333334,209
algebraic,adam,exact,0.016666666666666666,1,0.0,0
algebraic,adam,sign_broadcast,0.0,0,6.683333333333334,209
algebraic,adam,unit_broadcast,0.0,0,20.766666666666666,422
algebraic,sgd,calibrated_broadcast,0.0,0,0.0,0
algebraic,sgd,exact,0.016666666666666666,1,0.0,0
algebraic,sgd,sign_broadcast,0.0,0,0.0,0
algebraic,sgd,unit_broadcast,0.0,0,45.2,527
conductance,adam,calibrated_broadcast,0.0,0,0.0,0
conductance,adam,exact,0.0,0,0.0,0
conductance,adam,sign_broadcast,0.0,0,0.0,0
conductance,adam,unit_broadcast,0.0,0,0.0,0
conductance,sgd,calibrated_broadcast,0.0,0,0.0,0
conductance,sgd,exact,0.0,0,0.0,0
conductance,sgd,sign_broadcast,0.0,0,0.0,0
conductance,sgd,unit_broadcast,0.0,0,0.0,0
