seed,phase,task,step,model,optimizer,rule,rate,selected_rate,common_rate,test_nmse,validation_nmse,population_nmse,parameter_norm,max_abs_parameter,gradient_clipped_steps,parameter_projected_steps,elapsed_seconds
211215,fresh,matching,0,algebraic,sgd,exact,0.03,True,True,1.143562876265412,1.155181231050197,1.1293716129485478,1.9700206304419539,1.2372128309626635,0,0,0.021970616071484983
211215,fresh,matching,0,algebraic,sgd,unit_broadcast,0.01,True,False,1.143562876265412,1.155181231050197,1.1293716129485478,1.9700206304419539,1.2372128309626635,0,0,0.02199518505949527
211215,fresh,matching,0,algebraic,sgd,unit_broadcast,0.03,False,True,1.143562876265412,1.155181231050197,1.1293716129485478,1.9700206304419539,1.2372128309626635,0,0,0.022011358989402652
211215,fresh,matching,0,algebraic,sgd,calibrated_broadcast,0.03,True,True,1.143562876265412,1.155181231050197,1.1293716129485478,1.9700206304419539,1.2372128309626635,0,0,0.02202418097294867
211215,fresh,matching,0,algebraic,sgd,sign_broadcast,0.01,True,False,1.143562876265412,1.155181231050197,1.1293716129485478,1.9700206304419539,1.2372128309626635,0,0,0.022037434042431414
211215,fresh,matching,0,algebraic,sgd,sign_broadcast,0.03,False,True,1.143562876265412,1.155181231050197,1.1293716129485478,1.9700206304419539,1.2372128309626635,0,0,0.022051651030778885
211215,fresh,matching,0,algebraic,adam,exact,0.003,True,True,1.143562876265412,1.155181231050197,1.1293716129485478,1.9700206304419539,1.2372128309626635,0,0,0.022064206073991954
211215,fresh,matching,0,algebraic,adam,unit_broadcast,0.003,True,True,1.143562876265412,1.155181231050197,1.1293716129485478,1.9700206304419539,1.2372128309626635,0,0,0.022077548084780574
211215,fresh,matching,0,algebraic,adam,calibrated_broadcast,0.003,False,True,1.143562876265412,1.155181231050197,1.1293716129485478,1.9700206304419539,1.2372128309626635,0,0,0.022090915008448064
211215,fresh,matching,0,algebraic,adam,calibrated_broadcast,0.01,True,False,1.143562876265412,1.155181231050197,1.1293716129485478,1.9700206304419539,1.2372128309626635,0,0,0.022104338044300675
211215,fresh,matching,0,algebraic,adam,sign_broadcast,0.003,False,True,1.143562876265412,1.155181231050197,1.1293716129485478,1.9700206304419539,1.2372128309626635,0,0,0.022117446991614997
211215,fresh,matching,0,algebraic,adam,sign_broadcast,0.01,True,False,1.143562876265412,1.155181231050197,1.1293716129485478,1.9700206304419539,1.2372128309626635,0,0,0.022130242083221674
211215,fresh,matching,1,algebraic,sgd,exact,0.03,True,True,1.1370525833964515,1.1485541291218442,1.1222937905833945,1.966257008918794,1.236864157048537,0,0,0.043921826989389956
211215,fresh,matching,1,algebraic,sgd,unit_broadcast,0.01,True,False,1.1395914982189634,1.1512305862691306,1.1251489272227737,1.9670235199155621,1.2370966063246214,0,0,0.04394201701506972
