budget,endpoint,task,optimizer,rate_view,metric,contrast,mean,median,ci95_low,ci95_high,n_seeds,positive_seeds,negative_seeds,zero_seeds
1024,terminal,matching,adam,selected_rate,test_nmse,unit_broadcast minus exact,-0.006561901264670977,-0.00011332359136666768,-0.02390852787745384,0.0033259118539830683,20,7,13,0
1024,terminal,matching,adam,selected_rate,test_nmse,calibrated_broadcast minus exact,-0.008150041898870175,0.0003094180621585046,-0.024885802800111382,0.0006914294664872582,20,15,5,0
1024,terminal,matching,adam,selected_rate,test_nmse,sign_broadcast minus exact,-0.008150038699286394,0.0003094191004231299,-0.02488579938212165,0.0006914330980424955,20,15,5,0
1024,terminal,matching,adam,selected_rate,test_nmse,unit_broadcast minus calibrated_broadcast,0.0015881406341991973,-0.0004587563435239951,-0.00020193871777186495,0.0036447694063312633,20,6,14,0
1024,terminal,matching,adam,selected_rate,population_nmse,unit_broadcast minus exact,-0.006455053641763906,-9.643026988279365e-05,-0.02391350985544615,0.003500311187457827,20,7,13,0
1024,terminal,matching,adam,selected_rate,population_nmse,calibrated_broadcast minus exact,-0.008171330187828195,0.0004244324972470203,-0.024939412534450422,0.0006685897823831829,20,15,5,0
1024,terminal,matching,adam,selected_rate,population_nmse,sign_broadcast minus exact,-0.008171326889972673,0.0004244329761829636,-0.024939410723812713,0.0006685941941164694,20,15,5,0
1024,terminal,matching,adam,selected_rate,population_nmse,unit_broadcast minus calibrated_broadcast,0.0017162765460642868,-0.00048532296023116585,-0.00013172140981800872,0.003838500697768072,20,5,15,0
1024,terminal,matching,sgd,selected_rate,test_nmse,unit_broadcast minus exact,-0.03674405296404204,-0.00011940509562127256,-0.08503712537975394,-0.001306849748610383,20,10,10,0
1024,terminal,matching,sgd,selected_rate,test_nmse,calibrated_broadcast minus exact,0.23333834363536338,0.1860253230726371,0.14519407429835582,0.32641999426532464,20,19,1,0
1024,terminal,matching,sgd,selected_rate,test_nmse,sign_broadcast minus exact,-0.041169606775081906,-0.002046269538825569,-0.08963469991355837,-0.005252522366530107,20,6,14,0
1024,terminal,matching,sgd,selected_rate,test_nmse,unit_broadcast minus calibrated_broadcast,-0.2700823965994054,-0.2165722868613691,-0.363494682074193,-0.17998661929091522,20,0,20,0
1024,terminal,matching,sgd,selected_rate,population_nmse,unit_broadcast minus exact,-0.03683570666619526,-1.433327459574542e-05,-0.08548774184918237,-0.0012612296070675225,20,10,10,0
1024,terminal,matching,sgd,selected_rate,population_nmse,calibrated_broadcast minus exact,0.23389382393594635,0.18492425670940743,0.1458023715330825,0.3267746338238093,20,19,1,0
