optimizer,bound,metric,left,right,primary,positive,signflip_p,mean,ci_low,ci_high,n,holm_p
adam,9,test_nmse,resistance,derivative,True,20,1.9073486328125e-06,0.05033432292233324,0.04993239931673678,0.05074309941346224,20,3.814697265625e-06
adam,9,test_nmse,shuffled_derivative,derivative,True,20,1.9073486328125e-06,0.0435251674646435,0.041775416445682834,0.04526414588362937,20,3.814697265625e-06
adam,9,test_nmse,broadcast,derivative,False,20,,0.04942977306748945,0.04586299910645728,0.0526451001437026,20,
adam,9,test_nmse,exact,derivative,False,6,,-1.526763002327411e-05,-2.7610472509313697e-05,-4.34070527228504e-06,20,
adam,9,ood_3.0,resistance,derivative,False,20,,0.05353127507964297,0.05265882816810563,0.05442045571690107,20,
adam,9,ood_3.0,shuffled_derivative,derivative,False,20,,0.04319431427350333,0.04155302919502636,0.04490709311253026,20,
adam,9,ood_3.0,broadcast,derivative,False,20,,0.05158559522944417,0.04702822841221196,0.0563627703141247,20,
adam,9,ood_3.0,exact,derivative,False,17,,0.0009322830157171318,0.0004752911125833208,0.0013855756500653293,20,
adam,12,test_nmse,resistance,derivative,False,20,,0.05033432292233324,0.049941436389451935,0.05075721682371973,20,
adam,12,test_nmse,shuffled_derivative,derivative,False,20,,0.04354226643340563,0.04180706122850319,0.04529159009959364,20,
adam,12,test_nmse,exact,derivative,False,6,,-1.526763002327411e-05,-2.7465379679447552e-05,-4.259344317483917e-06,20,
adam,12,ood_3.0,resistance,derivative,False,20,,0.05353127507964297,0.052619057110331144,0.05441815602392868,20,
adam,12,ood_3.0,shuffled_derivative,derivative,False,20,,0.0431190752983806,0.041395546219162006,0.04486319989025114,20,
adam,12,ood_3.0,exact,derivative,False,17,,0.0009322830157171318,0.0004903530394691653,0.0013688483895305437,20,
sgd,9,test_nmse,resistance,derivative,False,20,,0.0011778607049227883,0.0011063782372042828,0.0012472312863657368,20,
sgd,9,test_nmse,shuffled_derivative,derivative,False,20,,0.0013857522702462003,0.0013102763496940333,0.0014679200214402354,20,
sgd,9,test_nmse,broadcast,derivative,False,20,,0.027596668384443912,0.02554974384773989,0.029721258198448116,20,
sgd,9,test_nmse,exact,derivative,False,20,,0.07484757990259273,0.06866668045604662,0.08149521776215626,20,
sgd,9,ood_3.0,resistance,derivative,False,20,,0.0008225749034248498,0.000692192977708534,0.0009513302084159259,20,
sgd,9,ood_3.0,shuffled_derivative,derivative,False,20,,0.0013169529279166495,0.0012377654630058063,0.0013967851112432611,20,
sgd,9,ood_3.0,broadcast,derivative,False,20,,0.0432746346788848,0.040963347317624195,0.04557489241340806,20,
sgd,9,ood_3.0,exact,derivative,False,20,,0.1216902179748838,0.11176294270010591,0.13174686265816682,20,
