seed,rule,rate,test_nmse,ood_3,selected_step,bound_steps
2026092200,broadcast,0.1,0.00034848133012322085,0.0018924510910968866,1664,0
2026092200,resistance,0.03,0.0001425853437537768,0.00018885664903062525,4096,0
2026092200,uniform_rms,0.1,0.00033578496266689606,0.0016368935752066746,1664,0
2026092201,broadcast,0.1,0.0001060291155513783,0.0004993116874557709,3840,0
2026092201,resistance,0.03,8.501466986817143e-05,0.00014964867502630593,3840,0
2026092201,uniform_rms,0.1,0.00013024907677499463,0.0004994240616506417,3840,0
2026092202,broadcast,0.1,0.0001575723251547406,0.0006545577866266242,3584,0
2026092202,resistance,0.03,9.501474517862152e-05,0.00017290074573084234,3456,0
2026092202,uniform_rms,0.1,0.00018121232277230006,0.0004978076543062582,3584,0
2026092203,broadcast,0.1,0.00018416509465426137,0.00058261212576123,4096,0
2026092203,resistance,0.03,9.499098932494115e-05,0.0002107278723031684,3968,0
2026092203,uniform_rms,0.1,0.00015605223548135228,0.0005528221860793158,4096,0
2026092204,broadcast,0.1,0.00010646043889718503,0.0007154312825579723,2688,0
2026092204,resistance,0.03,0.00010568417061595467,0.00020098845565304303,3968,0
2026092204,uniform_rms,0.1,0.00013468369911939047,0.0007455144749360829,2304,0
2026092205,broadcast,0.1,0.00024420267981467016,0.0007116999876686802,3072,0
2026092205,resistance,0.03,0.00012615041317443618,0.00020045710284421106,4096,0
2026092205,uniform_rms,0.1,0.00016411039673830353,0.0012897099506416966,2432,0
2026092206,broadcast,0.1,0.00020136501154483676,0.00119719111350952,2432,0
2026092206,resistance,0.03,0.0001075950266947277,0.00016737584273243504,3968,0
2026092206,uniform_rms,0.1,0.00016262486409374544,0.0014247143251210981,2304,0
2026092207,broadcast,0.1,0.0002086325438460519,0.0006400288390313789,3968,0
2026092207,resistance,0.03,0.00012408470477767933,0.0002101962331073063,3968,0
2026092207,uniform_rms,0.1,0.00011838415795670467,0.0004131330161897664,3968,0
2026092208,broadcast,0.1,0.0001935096008535885,0.0007761219678278844,3200,0
2026092208,resistance,0.03,8.143159370541038e-05,0.00016961180867572395,4096,0
2026092208,uniform_rms,0.1,0.0001563919086232731,0.0006636788595146895,3200,0
2026092209,broadcast,0.1,0.00016613299797328492,0.0015623047473582946,3072,0
2026092209,resistance,0.03,0.00013182263253785898,0.00023045717683125612,4096,0
2026092209,uniform_rms,0.1,0.00011437624621771224,0.0010436942265648584,3072,0
2026092210,broadcast,0.1,0.0001623629724038555,0.00046995210212367306,4096,0
2026092210,resistance,0.03,0.00012608893669025976,0.00019242402637850172,3968,0
2026092210,uniform_rms,0.1,0.00017186661770650559,0.0006822839897432659,3328,0
2026092211,broadcast,0.1,0.0001473307773767994,0.0006531351788539449,3712,0
2026092211,resistance,0.03,8.300525280622067e-05,0.00016962200256434736,3840,0
2026092211,uniform_rms,0.1,0.00017118010523260708,0.0006680544085378351,3712,0
2026092212,broadcast,0.1,0.00016189116965615108,0.0006291625521532712,3584,0
2026092212,resistance,0.03,9.317212024498624e-05,0.0001915138090985388,3712,0
2026092212,uniform_rms,0.1,0.0002605951163437824,0.0021202489323698544,1792,0
2026092213,broadcast,0.1,8.918076619675103e-05,0.00048123389800174644,3840,0
2026092213,resistance,0.03,6.002814657146119e-05,0.0001247917641087983,3968,0
2026092213,uniform_rms,0.1,0.0001926121476070153,0.0021233596206802425,1408,0
2026092214,broadcast,0.1,0.000150080371556495,0.0005454842721768456,4096,0
2026092214,resistance,0.03,9.918341749648128e-05,0.0001899755736211266,3968,0
2026092214,uniform_rms,0.1,0.00022890504919581184,0.0008625768483890776,3840,0
2026092215,broadcast,0.1,0.00015657777064674984,0.0011310767816086482,2048,0
2026092215,resistance,0.03,9.937046256127062e-05,0.0002727435758264161,3968,0
2026092215,uniform_rms,0.1,0.0001451298713415579,0.0007011334194344875,2688,0
2026092216,broadcast,0.1,0.00023115615863978332,0.0008290837598455224,2816,0
2026092216,resistance,0.03,0.0001684459878397794,0.00025473252308373174,4096,0
2026092216,uniform_rms,0.1,0.0001651950332498664,0.00048478285286650854,4096,0
2026092217,broadcast,0.1,0.00024563340866725735,0.0008851651657177264,3456,0
2026092217,resistance,0.03,0.00012907007403196966,0.0002166468647142094,3840,0
2026092217,uniform_rms,0.1,0.00026153736965194523,0.002007152583254007,1792,0
2026092218,broadcast,0.1,0.00024430229348954555,0.0006825981042356252,4096,0
2026092218,resistance,0.03,7.338286705951689e-05,0.00016979234080490864,3968,0
2026092218,uniform_rms,0.1,0.0001269573623753224,0.0009408010266305434,2432,0
2026092219,broadcast,0.1,0.00013489680847046626,0.000515401146128785,3968,0
2026092219,resistance,0.03,0.00012293167706248505,0.00021179836905449014,3840,0
2026092219,uniform_rms,0.1,9.313143349061012e-05,0.0004922198060535115,4096,0
