variant,forward,rule,metric,bound_runs,mean,ci_low,ci_high,n
interaction,shunt,broadcast,test_nmse,19,0.047122378266698975,0.04326747482433053,0.05061331818995446,20
interaction,shunt,broadcast,ood_1.0,19,0.04725193259154255,0.04335674809623788,0.05077060903103947,20
interaction,shunt,broadcast,ood_1.5,19,0.04806521107841045,0.0440906190111235,0.05169327622132664,20
interaction,shunt,broadcast,ood_2.0,19,0.049187661498678203,0.04508059358410452,0.05297728189022813,20
interaction,shunt,broadcast,ood_2.5,19,0.050442918597832676,0.04609966249438429,0.05454643173089823,20
interaction,shunt,broadcast,ood_3.0,19,0.05183105922673285,0.04719462644645053,0.05642086420413074,20
interaction,shunt,exact,test_nmse,2,5.05687711976961e-05,4.3748431033570146e-05,5.7483720725534787e-05,20
interaction,shunt,exact,ood_1.0,2,5.1254550410066246e-05,4.446613206899283e-05,5.815268692187915e-05,20
interaction,shunt,exact,ood_1.5,2,0.00016519384123259728,0.00014421451341902728,0.0001863434341160977,20
interaction,shunt,exact,ood_2.0,2,0.000580651553456705,0.0004976498846986063,0.000665613305939244,20
interaction,shunt,exact,ood_2.5,2,0.0013512133449971083,0.00113409970139752,0.0015756682253968172,20
interaction,shunt,exact,ood_3.0,2,0.002358167143673504,0.0019370019405362945,0.002803222883678075,20
interaction,shunt,resistance,test_nmse,18,0.051091101401090536,0.05052306886174,0.05164350363382312,20
interaction,shunt,resistance,ood_1.0,18,0.051267005570774994,0.05044661769291259,0.052049705792128885,20
interaction,shunt,resistance,ood_1.5,18,0.05191548698616012,0.05105972814551577,0.05274196080502771,20
interaction,shunt,resistance,ood_2.0,18,0.052776752658852524,0.05190211031396315,0.053643114191054206,20
interaction,shunt,resistance,ood_2.5,18,0.05386112943849523,0.05298993311555053,0.05475660105566957,20
interaction,shunt,resistance,ood_3.0,18,0.05506390764629073,0.05414645081224324,0.0560107067791587,20
interaction,shunt,swapped,test_nmse,6,0.05635789158212219,0.053799688348285774,0.0587192329177108,20
interaction,shunt,swapped,ood_1.0,6,0.056400764814471746,0.05366510504404172,0.05893608748023644,20
interaction,shunt,swapped,ood_1.5,6,0.059802430179797104,0.0576056251154536,0.06188440389844353,20
interaction,shunt,swapped,ood_2.0,6,0.07077108279488974,0.06725951907224208,0.07517132624428524,20
interaction,shunt,swapped,ood_2.5,6,0.09341647434887063,0.0802659853793619,0.10963460073212498,20
interaction,shunt,swapped,ood_3.0,6,0.12888148064453656,0.09824456557859564,0.16579388239985904,20
interaction,shunt,uniform_rms,test_nmse,19,0.04892784190922148,0.045306509758845724,0.05199174286632604,20
interaction,shunt,uniform_rms,ood_1.0,19,0.04919937120631096,0.04552244658047471,0.05232060169042471,20
interaction,shunt,uniform_rms,ood_1.5,19,0.05012652041583567,0.04633753689694584,0.05332843066979495,20
interaction,shunt,uniform_rms,ood_2.0,19,0.05153274297060142,0.04752537946007006,0.05499744966450637,20
interaction,shunt,uniform_rms,ood_2.5,19,0.0531031478147727,0.048811156489169547,0.056980779080385374,20
interaction,shunt,uniform_rms,ood_3.0,19,0.05481484222887093,0.05017826414324677,0.059120290849376984,20
separable,current,broadcast,test_nmse,3,0.0003218264171532462,0.0002764377426441728,0.0003741487695665352,20
separable,current,broadcast,ood_1.0,3,0.00032281170840025653,0.00027604930576571456,0.0003778322324838944,20
separable,current,broadcast,ood_1.5,3,0.002859659395481243,0.002492322825773927,0.0032372388730584926,20
separable,current,broadcast,ood_2.0,3,0.03668534114133097,0.03279655872376819,0.04059689368438103,20
separable,current,broadcast,ood_2.5,3,0.1833522080736149,0.16661562371381902,0.199996787531235,20
separable,current,broadcast,ood_3.0,3,0.5144470944844327,0.4744209962033681,0.5528514377004331,20
separable,current,exact,test_nmse,20,0.00034139838594614405,0.00026489628105280725,0.00043683338565106986,20
separable,current,exact,ood_1.0,20,0.00034659554463352583,0.0002659962069635177,0.00044645292599386667,20
separable,current,exact,ood_1.5,20,0.0012658601126243477,0.0010771126136822743,0.0014607160399074536,20
separable,current,exact,ood_2.0,20,0.015288396338508042,0.012955909880123238,0.01775064422358599,20
separable,current,exact,ood_2.5,20,0.09136424296115185,0.07925597036909944,0.10382070599912095,20
separable,current,exact,ood_3.0,20,0.3056310371932801,0.27371211586148236,0.3375288333068138,20
separable,current,resistance,test_nmse,19,0.00015730164376002146,0.0001355092829850042,0.00018279009001730674,20
separable,current,resistance,ood_1.0,19,0.00015767188415605416,0.0001360750562664523,0.00018230137054967436,20
separable,current,resistance,ood_1.5,19,0.0007553257585097425,0.0006050481837758042,0.000917732331585498,20
separable,current,resistance,ood_2.0,19,0.009424064439339557,0.007228960341023982,0.011847549304958805,20
separable,current,resistance,ood_2.5,19,0.05956713933236785,0.04696880966810254,0.07299956720338437,20
separable,current,resistance,ood_3.0,19,0.22496485131697147,0.18571105772348315,0.26492204578347783,20
separable,current,swapped,test_nmse,9,0.0005967301488078067,0.0004589266937636201,0.0007556657445147784,20
separable,current,swapped,ood_1.0,9,0.0006028630872395768,0.00045512588326431967,0.0007761673343386923,20
separable,current,swapped,ood_1.5,9,0.004310132922021554,0.003849977475668845,0.004804072018884071,20
separable,current,swapped,ood_2.0,9,0.053036984175738586,0.04557397860337105,0.06019114584929927,20
separable,current,swapped,ood_2.5,9,0.2379101002170531,0.20308138328399028,0.2702384427256761,20
separable,current,swapped,ood_3.0,9,0.5889123553448891,0.5036158624017968,0.6683019949287442,20
separable,current,uniform_rms,test_nmse,4,0.00029753491101041567,0.0002624716531119446,0.00033517102028348197,20
separable,current,uniform_rms,ood_1.0,4,0.0002969784611783167,0.00026333154671343456,0.0003331743718405035,20
separable,current,uniform_rms,ood_1.5,4,0.002400376041844599,0.0020385536193146103,0.0028159419658339195,20
separable,current,uniform_rms,ood_2.0,4,0.03171354205842743,0.02755118393618184,0.03649444544815645,20
separable,current,uniform_rms,ood_2.5,4,0.1631103517733495,0.14556175188665646,0.18243323482109605,20
separable,current,uniform_rms,ood_3.0,4,0.47014821910269766,0.4296531839883806,0.5120443302292612,20
separable,shunt,broadcast,test_nmse,0,0.0001575988853460289,0.00014092273392182393,0.00017501560790278737,20
separable,shunt,broadcast,ood_1.0,0,0.00015851136737822627,0.00014185750884714037,0.00017596641164516707,20
separable,shunt,broadcast,ood_1.5,0,0.0004345750374170483,0.0003832771421000186,0.0004995257991694996,20
separable,shunt,broadcast,ood_2.0,0,0.002032082159734134,0.001750524865226196,0.0023809363529700895,20
separable,shunt,broadcast,ood_2.5,0,0.005641532138173761,0.004780367595878825,0.006671352488277131,20
separable,shunt,broadcast,ood_3.0,0,0.010506011535273835,0.008767345012621433,0.012558198542358807,20
separable,shunt,exact,test_nmse,12,9.635998011894514e-05,8.513141128605785e-05,0.00010859139902715731,20
separable,shunt,exact,ood_1.0,12,9.777268681497117e-05,8.594913687421892e-05,0.00011077595054379852,20
separable,shunt,exact,ood_1.5,12,0.00010370083465801333,9.183950172969765e-05,0.0001169251899175383,20
separable,shunt,exact,ood_2.0,12,0.0001092619706286541,9.686795669134808e-05,0.000122779710231409,20
separable,shunt,exact,ood_2.5,12,0.000114412271842015,0.00010143958616815781,0.0001284697012117201,20
separable,shunt,exact,ood_3.0,12,0.00011912624419042512,0.00010560342869073972,0.00013373897798238098,20
