seed,rule,rate,selected_step,test_nmse,bounds,selected_bound_fraction,replay_error
2026100200,exact,0.03,3968,5.525752312305419e-05,577,0.0015625,0.0
2026100200,broadcast,0.03,3712,0.00010590086678808693,0,0.0,0.0
2026100200,resistance,0.03,3968,7.538099063516052e-05,0,0.0,0.0
2026100200,derivative,0.03,3840,6.274550855772903e-05,0,0.0,0.0
2026100200,shuffled_derivative,0.03,3840,7.92960047498889e-05,0,0.0,0.0
2026100201,exact,0.03,4096,3.854399320160749e-05,0,0.0,0.0
2026100201,broadcast,0.03,4096,0.00012780295154941733,0,0.0,0.0
2026100201,resistance,0.03,4096,9.32621200160401e-05,0,0.0,0.0
2026100201,derivative,0.03,3968,8.041819185429794e-05,0,0.0,0.0
2026100201,shuffled_derivative,0.03,4096,9.431384737462224e-05,0,0.0,0.0
2026100202,exact,0.03,3968,5.2626713939604186e-05,0,0.0,0.0
2026100202,broadcast,0.03,3456,0.0002123011448592935,0,0.0,0.0
2026100202,resistance,0.03,4096,9.263069365704315e-05,0,0.0,0.0
2026100202,derivative,0.03,4096,5.9004273315474134e-05,0,0.0,0.0
2026100202,shuffled_derivative,0.03,4096,8.828890690352533e-05,0,0.0,0.0
2026100203,exact,0.03,4096,3.9244124225453694e-05,56,0.00078125,0.0
2026100203,broadcast,0.03,3072,0.00014063802106369447,0,0.0,0.0
2026100203,resistance,0.03,3840,8.53111708958777e-05,0,0.0,0.0
2026100203,derivative,0.03,3840,6.0493733640074335e-05,0,0.0,0.0
2026100203,shuffled_derivative,0.03,3840,7.574871353004491e-05,0,0.0,0.0
2026100204,exact,0.03,3968,6.474958500342354e-05,0,0.0,0.0
2026100204,broadcast,0.03,3712,0.0001732487884592115,0,0.0,0.0
2026100204,resistance,0.03,3712,0.00013814064397928234,0,0.0,0.0
2026100204,derivative,0.03,3968,0.00011952204848319409,0,0.0,0.0
2026100204,shuffled_derivative,0.03,3712,0.00013464643879563566,0,0.0,0.0
2026100205,exact,0.03,4096,6.536339480700814e-05,0,0.0,0.0
2026100205,broadcast,0.03,3200,0.00016968703944574644,0,0.0,0.0
2026100205,resistance,0.03,4096,9.903260296556636e-05,0,0.0,0.0
2026100205,derivative,0.03,4096,8.901233941224521e-05,0,0.0,0.0
2026100205,shuffled_derivative,0.03,4096,9.946819139433143e-05,0,0.0,0.0
2026100206,exact,0.03,4096,4.4195068133511744e-05,1160,0.00703125,0.0
2026100206,broadcast,0.03,3584,0.0001441407045507967,0,0.0,0.0
2026100206,resistance,0.03,3840,6.713373608227298e-05,0,0.0,0.0
2026100206,derivative,0.03,3840,4.6284260944215074e-05,0,0.0,0.0
2026100206,shuffled_derivative,0.03,3712,6.503463850890466e-05,0,0.0,0.0
2026100207,exact,0.03,3968,6.778077476349867e-05,0,0.0,0.0
2026100207,broadcast,0.03,3328,0.00024945891502035694,0,0.0,0.0
2026100207,resistance,0.03,3968,9.178724920424659e-05,0,0.0,0.0
2026100207,derivative,0.03,4096,8.989921891918713e-05,0,0.0,0.0
2026100207,shuffled_derivative,0.03,3968,8.986382648806306e-05,0,0.0,0.0
2026100208,exact,0.03,4096,5.511679970272932e-05,1601,0.003125,0.0
2026100208,broadcast,0.03,4096,0.00017762139277165053,0,0.0,0.0
2026100208,resistance,0.03,3840,0.00011074747640791885,0,0.0,0.0
2026100208,derivative,0.03,3712,7.83099951248098e-05,0,0.0,0.0
2026100208,shuffled_derivative,0.03,3840,0.00010013157074546484,0,0.0,0.0
2026100209,exact,0.03,4096,5.2389238623329886e-05,0,0.0,0.0
2026100209,broadcast,0.03,4096,0.00015677061196235636,0,0.0,0.0
2026100209,resistance,0.03,3968,0.00012486377213279638,0,0.0,0.0
2026100209,derivative,0.03,3712,9.604796197544925e-05,0,0.0,0.0
2026100209,shuffled_derivative,0.03,3712,9.165040977971476e-05,0,0.0,0.0
2026100210,exact,0.03,3712,5.2794400437133644e-05,1713,0.00234375,0.0
2026100210,broadcast,0.03,3840,0.00018486234571988126,0,0.0,0.0
2026100210,resistance,0.03,3584,8.250546095203122e-05,0,0.0,0.0
2026100210,derivative,0.03,3584,6.466160217446955e-05,117,0.0,0.0
2026100210,shuffled_derivative,0.03,3584,7.772706327745864e-05,0,0.0,0.0
2026100211,exact,0.03,3712,6.136976568626152e-05,0,0.0,0.0
2026100211,broadcast,0.03,3968,0.00013022290200214386,0,0.0,0.0
2026100211,resistance,0.03,3968,9.34982352260981e-05,0,0.0,0.0
2026100211,derivative,0.03,3968,7.207596118992928e-05,0,0.0,0.0
2026100211,shuffled_derivative,0.03,3968,9.270991451747205e-05,0,0.0,0.0
2026100212,exact,0.03,4096,5.93291373419797e-05,0,0.0,0.0
2026100212,broadcast,0.03,3968,0.00016335462799202312,0,0.0,0.0
2026100212,resistance,0.03,3968,8.750350187136404e-05,0,0.0,0.0
2026100212,derivative,0.03,3968,7.886963435842845e-05,0,0.0,0.0
2026100212,shuffled_derivative,0.03,4096,9.045937816951234e-05,0,0.0,0.0
2026100213,exact,0.03,4096,4.438658788045516e-05,1073,0.00234375,0.0
2026100213,broadcast,0.03,3584,0.00015469092295443076,0,0.0,0.0
2026100213,resistance,0.03,3712,7.73801502990358e-05,0,0.0,0.0
2026100213,derivative,0.03,3840,5.9196361828047674e-05,0,0.0,0.0
2026100213,shuffled_derivative,0.03,3840,7.93838726382922e-05,0,0.0,0.0
2026100214,exact,0.03,3968,5.072816238429313e-05,87,0.0,0.0
2026100214,broadcast,0.03,3328,0.00013406973211615278,0,0.0,0.0
2026100214,resistance,0.03,3968,8.9726175439217e-05,0,0.0,0.0
2026100214,derivative,0.03,3968,7.045644926299077e-05,0,0.0,0.0
2026100214,shuffled_derivative,0.03,3968,8.42977742694443e-05,0,0.0,0.0
2026100215,exact,0.03,3968,3.8640217165554375e-05,447,0.00078125,0.0
2026100215,broadcast,0.03,4096,0.00015536683547862266,0,0.0,0.0
2026100215,resistance,0.03,3328,9.219482806861012e-05,0,0.0,0.0
2026100215,derivative,0.03,4096,8.167244890502337e-05,0,0.0,0.0
2026100215,shuffled_derivative,0.03,3328,9.346428865979604e-05,0,0.0,0.0
2026100216,exact,0.03,4096,3.95791625299821e-05,726,0.00234375,0.0
2026100216,broadcast,0.03,4096,0.00014703978017292457,0,0.0,0.0
2026100216,resistance,0.03,3712,7.471219932087095e-05,0,0.0,0.0
2026100216,derivative,0.03,3968,5.154695798212984e-05,0,0.0,0.0
2026100216,shuffled_derivative,0.03,3968,6.792305413455255e-05,0,0.0,0.0
2026100217,exact,0.03,3840,4.857921156685815e-05,1750,0.00234375,0.0
2026100217,broadcast,0.03,2944,0.00020102642625990252,0,0.0,0.0
2026100217,resistance,0.03,3456,0.00012734628275199648,0,0.0,0.0
2026100217,derivative,0.03,3840,0.00010978743560522142,0,0.0,0.0
2026100217,shuffled_derivative,0.03,3456,0.00012841793443420574,0,0.0,0.0
2026100218,exact,0.03,4096,5.113346659607942e-05,374,0.0015625,0.0
2026100218,broadcast,0.03,3712,0.00012464158254600583,0,0.0,0.0
2026100218,resistance,0.03,3840,0.00010215631812757475,0,0.0,0.0
2026100218,derivative,0.03,3840,7.957028165432925e-05,0,0.0,0.0
2026100218,shuffled_derivative,0.03,3840,9.87296570951481e-05,0,0.0,0.0
2026100219,exact,0.03,3968,3.755601004745036e-05,367,0.0015625,0.0
2026100219,broadcast,0.03,3968,0.00012180744659604614,0,0.0,0.0
2026100219,resistance,0.03,3840,5.88279308643909e-05,0,0.0,0.0
2026100219,derivative,0.03,3840,5.512043281357212e-05,0,0.0,0.0
2026100219,shuffled_derivative,0.03,3840,5.963284578612279e-05,0,0.0,0.0
