architecture,seed,path_gain_cv_mean,path_gain_cv_median,stage0_mean,stage1_mean,stage0_within_cv,stage1_within_cv,stage0_path_specific_energy_fraction,stage1_path_specific_energy_fraction,compartments_per_neuron,n_soma,probe_accuracy,capture_forward_max_abs_difference,config_sha256,checkpoint_sha256,run_dir
additive,42,0.5640641450881958,0.543134331703186,5.059309005737305,0.884580671787262,0.2762891352176666,0.19549815356731415,0.3341716392134562,0.1918690719193245,12,128,0.95947265625,0.0,40416ed117dd5b50ab92af7589ea56ed6d1c972d685ec953ca9f15e3ba4df417,606d29b0097505b9003df6f64214e7a42fd755a6b12ed3da0d6ef98a556cb511,journal_extension_20260820/sweep_runs/mnist_feedback_ladder/journal_mnist_feedback_ladder_exact_path_additive_15seed_20260825173519/results/config_0
additive,43,0.5682740211486816,0.5544615387916565,5.322135925292969,0.9209994673728943,0.28195053339004517,0.1935216337442398,0.3095610425904806,0.1710286153986146,12,128,0.96435546875,0.0,125e92090ae128e6a6daae57ed5e4cb1801abfc2134642ade016dd39c54bb317,f39472eaca2133c592391baaedbed0ba7c5d136a4496ca913e9cd00629bbdcb1,journal_extension_20260820/sweep_runs/mnist_feedback_ladder/journal_mnist_feedback_ladder_exact_path_additive_15seed_20260825173519/results/config_1
additive,44,0.5577753782272339,0.5421745777130127,5.310892105102539,0.9212358593940735,0.2655019760131836,0.18625156581401825,0.3071826049397079,0.1766647376885666,12,128,0.96630859375,0.0,dfa963bb7137d48796c6e91d2760f67e3f460ab9bf58e12dfccfc987e135cd4e,93832ee1b7553c1941d94595ad89ec587bb900409e29f5708bb6135cf9f1cbb3,journal_extension_20260820/sweep_runs/mnist_feedback_ladder/journal_mnist_feedback_ladder_exact_path_additive_15seed_20260825173519/results/config_2
additive,45,0.5480234622955322,0.5321425199508667,4.965817928314209,0.8780500292778015,0.2521817088127136,0.1619800627231598,0.309246814151363,0.16367595925825143,12,128,0.96044921875,0.0,39137b5b8a29f1c8ebc27d797919e8748c6bf3ddea9d37216bf323b5fc8422fd,2810d638c1cfe747ea50975ff0ccb87559871db8b30deed7ec2bbb3006e8bd4d,journal_extension_20260820/sweep_runs/mnist_feedback_ladder/journal_mnist_feedback_ladder_exact_path_additive_15seed_20260825173519/results/config_3
additive,46,0.5584538578987122,0.5448122620582581,5.12006950378418,0.8971705436706543,0.26925814151763916,0.18533088266849518,0.31340302325574226,0.1803715099918112,12,128,0.96435546875,0.0,0f3c6e6eadc2a39a1d623b2439063175f5815045b81bf9cb92d659a311c3af2c,b09469b4e4ac85349281861c61463f48e3fd2d6d727270a6aa860d7443ef40c4,journal_extension_20260820/sweep_runs/mnist_feedback_ladder/journal_mnist_feedback_ladder_exact_path_additive_15seed_20260825173519/results/config_4
additive,47,0.5733450055122375,0.565300703048706,5.313857555389404,0.9249346852302551,0.2944090664386749,0.2032155692577362,0.3390316050822604,0.19366084153647237,12,128,0.9619140625,0.0,ca251b19230d45dff4f5c3269b8765c17551c49f64600a2a3a219d0ba5c253ce,5ccbd462681d7cd854fabe02fed7b94df35b3c89d6f7fbc402c030af80e7d417,journal_extension_20260820/sweep_runs/mnist_feedback_ladder/journal_mnist_feedback_ladder_exact_path_additive_15seed_20260825173519/results/config_5
additive,48,0.5629886984825134,0.5562483072280884,5.164623737335205,0.9042986035346985,0.27944135665893555,0.18826913833618164,0.32018328081444414,0.1915527883390189,12,128,0.9697265625,0.0,39a98c2f05a1f7bddd4501991ffc759be4ec3d5a1ee562f2d2ae540d28f27df3,ca036a0659d1f5a1a5f03e1fc99db25e32d0919ec4efca556a05d3441dd326b2,journal_extension_20260820/sweep_runs/mnist_feedback_ladder/journal_mnist_feedback_ladder_exact_path_additive_15seed_20260825173519/results/config_6
additive,49,0.5622521638870239,0.5415759086608887,5.201444625854492,0.8954662680625916,0.270940363407135,0.18545307219028473,0.3170191275318906,0.17927067417236564,12,128,0.9638671875,0.0,a48e133906ac3fa1d08958636f7f061d37a4095f3f9e988d9d9f7b093b8003fc,271ae07a68fabc9185458d95257039f4d552585a3f243db423be32ab463aacfd,journal_extension_20260820/sweep_runs/mnist_feedback_ladder/journal_mnist_feedback_ladder_exact_path_additive_15seed_20260825173519/results/config_7
additive,50,0.5615453720092773,0.5450154542922974,5.165440082550049,0.909590482711792,0.2768057584762573,0.18560263514518738,0.31815489223222565,0.1721404301813088,12,128,0.966796875,0.0,feba8c664e85ee2a0ad8347ce63bccd574232d885f1b61c6c5419eb55a21aaf6,7957365c887967dd7e41fba984fc09e89fb2f5cd759e2f82216eda46b6ddeddc,journal_extension_20260820/sweep_runs/mnist_feedback_ladder/journal_mnist_feedback_ladder_exact_path_additive_15seed_20260825173519/results/config_8
additive,51,0.5566977262496948,0.5417807102203369,4.935567378997803,0.8661758303642273,0.26648634672164917,0.18153198063373566,0.3218751876069655,0.18160193913317552,12,128,0.96630859375,0.0,e301970d9e40c19089cbd5e5b59712c17dbb63c573df4fd6484971c438ccc229,4b026aba08e11554fd5fea3ca996af412c1a52961071e6d1ae7b05884bd446bc,journal_extension_20260820/sweep_runs/mnist_feedback_ladder/journal_mnist_feedback_ladder_exact_path_additive_15seed_20260825173519/results/config_9
