dose_relative_to_local_input_conductance,metric,n_cells,mean_shunt_minus_additive,ci95_low,ci95_high,cells_positive,wilcoxon_p_two_sided
0.25,localization_index,8,0.1189133586,0.1113609928,0.1266357157,8,0.0078125
0.25,signed_localization,8,-0.1985421872,-0.2110988085,-0.1834251597,0,0.0078125
0.25,descendant_attenuated_fraction,8,1,1,1,8,0.0078125
0.25,descendant_enhanced_fraction,8,-1,-1,-1,0,0.0078125
0.25,descendant_sign_flip_fraction,8,0,0,0,0,1
0.25,descendant_gradient_energy_ratio,8,-0.4296630549,-0.436271624,-0.4214880628,0,0.0078125
1,localization_index,8,0.3816729833,0.355565934,0.4090763057,8,0.0078125
1,signed_localization,8,-0.6757245968,-0.7203198371,-0.6222943288,0,0.0078125
1,descendant_attenuated_fraction,8,1,1,1,8,0.0078125
1,descendant_enhanced_fraction,8,-1,-1,-1,0,0.0078125
1,descendant_sign_flip_fraction,8,0,0,0,0,1
1,descendant_gradient_energy_ratio,8,-1.31634786,-1.371524144,-1.249670477,0,0.0078125
4,localization_index,8,0.8729588191,0.7936009854,0.9606304879,8,0.0078125
4,signed_localization,8,-1.804362348,-1.925737592,-1.657487497,0,0.0078125
4,descendant_attenuated_fraction,8,1,1,1,8,0.0078125
4,descendant_enhanced_fraction,8,-1,-1,-1,0,0.0078125
4,descendant_sign_flip_fraction,8,0,0,0,0,1
4,descendant_gradient_energy_ratio,8,-4.583186704,-4.991087745,-4.08849159,0,0.0078125
