method,mode,n_targets,mean_update_match,ci95_low,ci95_high,mean_field_match
random anatomical routes,frozen_baseline,7,0.358429449324,0.267309152964,0.483583321826,0.381218204359
random anatomical routes,trialwise_field_projection,7,0.368506151058,0.275607114155,0.497471053288,0.39042394999
random anatomical routes,trialwise_update_oracle,7,0.384714145808,0.286523226083,0.516055750265,
site-shuffled routes,frozen_baseline,7,0.439209794635,0.327163205787,0.541040340939,0.450360301696
site-shuffled routes,trialwise_field_projection,7,0.449402216651,0.338126233066,0.552661904109,0.458476358725
site-shuffled routes,trialwise_update_oracle,7,0.467701506589,0.347234320814,0.5785741736,
topology-matched routes,frozen_baseline,7,0.232184272419,0.106983190795,0.374453525228,0.272776507478
topology-matched routes,trialwise_field_projection,7,0.243581131344,0.116744792382,0.388517162993,0.282988019031
topology-matched routes,trialwise_update_oracle,7,0.243581131344,0.114953883874,0.388610479813,
unprojected baseline transfer,frozen_baseline,7,0.97556027903,0.964141445352,0.985813188481,0.983898462579
