method,mode,field_match,update_match,update_cosine,static_update_match_replay_error,target_root_id,session,scan_idx,replicate,n_sites,dictionary_channels,exact_heldout_normalized_mse,exact_endpoint_replay_error
topology-matched routes,frozen_baseline,0.334828974873,0.596881297875,0.774415176265,1.53151855642e-08,864691135810666525,4,10,0,9,4,0.605523161789,5.97660165802e-09
topology-matched routes,trialwise_field_projection,0.338772202218,0.602311128216,0.776087062266,1.53151855642e-08,864691135810666525,4,10,0,9,4,0.605523161789,5.97660165802e-09
topology-matched routes,trialwise_update_oracle,,0.602311128216,0.776087062266,1.53151855642e-08,864691135810666525,4,10,0,9,4,0.605523161789,5.97660165802e-09
site-shuffled routes,frozen_baseline,0.387527143374,0.271665821657,0.523541840831,6.25702067936e-09,864691135810666525,4,10,0,9,4,0.605523161789,5.97660165802e-09
site-shuffled routes,trialwise_field_projection,0.389586579301,0.275305929793,0.524696035618,6.25702067936e-09,864691135810666525,4,10,0,9,4,0.605523161789,5.97660165802e-09
site-shuffled routes,trialwise_update_oracle,,0.275305929793,0.524696035618,6.25702067936e-09,864691135810666525,4,10,0,9,4,0.605523161789,5.97660165802e-09
random anatomical routes,frozen_baseline,0.517214148799,0.571148970409,0.756488695207,1.21869625502e-10,864691135810666525,4,10,0,9,4,0.605523161789,5.97660165802e-09
random anatomical routes,trialwise_field_projection,0.517605624723,0.572424676127,0.756587520468,1.21869625502e-10,864691135810666525,4,10,0,9,4,0.605523161789,5.97660165802e-09
random anatomical routes,trialwise_update_oracle,,0.572424676127,0.756587520468,1.21869625502e-10,864691135810666525,4,10,0,9,4,0.605523161789,5.97660165802e-09
unprojected baseline transfer,frozen_baseline,0.993721525624,0.990416467723,0.998092230416,,864691135810666525,4,10,0,9,4,0.605523161789,5.97660165802e-09
topology-matched routes,frozen_baseline,0.339495785106,0.171499760639,0.415323956874,2.19378959443e-11,864691135810666525,4,10,1,9,4,0.703171348269,5.59358115382e-11
topology-matched routes,trialwise_field_projection,0.341119946791,0.173987750149,0.417118388648,2.19378959443e-11,864691135810666525,4,10,1,9,4,0.703171348269,5.59358115382e-11
topology-matched routes,trialwise_update_oracle,,0.173987750149,0.417118388648,2.19378959443e-11,864691135810666525,4,10,1,9,4,0.703171348269,5.59358115382e-11
site-shuffled routes,frozen_baseline,0.610377068989,0.795585841593,0.893749163943,4.54696280627e-11,864691135810666525,4,10,1,9,4,0.703171348269,5.59358115382e-11
site-shuffled routes,trialwise_field_projection,0.611651756527,0.800752646505,0.894847834274,4.54696280627e-11,864691135810666525,4,10,1,9,4,0.703171348269,5.59358115382e-11
site-shuffled routes,trialwise_update_oracle,,0.800752646505,0.894847834274,4.54696280627e-11,864691135810666525,4,10,1,9,4,0.703171348269,5.59358115382e-11
random anatomical routes,frozen_baseline,0.890460994689,0.879595835024,0.940455721364,4.35784741626e-12,864691135810666525,4,10,1,9,4,0.703171348269,5.59358115382e-11
random anatomical routes,trialwise_field_projection,0.892030391019,0.874171352473,0.941713742998,4.35784741626e-12,864691135810666525,4,10,1,9,4,0.703171348269,5.59358115382e-11
