architecture	seed	checkpoint	multiplier	path	sha256	bytes	config_path	config_sha256	original_config_sha256	scientific_config_sha256
additive	50300	initial	1.0	checkpoints/additive/seed_50300/initial_model.pt	17a61e02748aa485c69bdde73560bff130dc93987a4f26817c85e7fef4cca186	9669068	checkpoints/additive/seed_50300/config.json	aab65726cd52b336f6cfd179941d5c60800700137dd03c76af2c03e808dfcf13	e71df8dfa7bd01b839401900e67432df4240d4ce8b1f172ade2fd1bae565196e	4ad20556ac409b92fcf8a1d3f31d40ce10110c12936cc8b0611bf3dbed45a4b0
additive	50300	trained	1.0	checkpoints/additive/seed_50300/trained_model.pt	47c7710db3a91d5662f48bdb0d428b1bf73346413f844b4e17f0bd3dd80c597c	9669010	checkpoints/additive/seed_50300/config.json	aab65726cd52b336f6cfd179941d5c60800700137dd03c76af2c03e808dfcf13	e71df8dfa7bd01b839401900e67432df4240d4ce8b1f172ade2fd1bae565196e	4ad20556ac409b92fcf8a1d3f31d40ce10110c12936cc8b0611bf3dbed45a4b0
additive	50301	initial	1.0	checkpoints/additive/seed_50301/initial_model.pt	6295567471db6fe981af4638fd7f41e5c2b61860000fc55b416b949921102f30	9669068	checkpoints/additive/seed_50301/config.json	3fe5a0b06b429efadb32a5f1b90be9eb67fa3121d3f7aa52f891c9056c690f23	467e93336c24bef32e9aca730112e117126619300fc450ded1913cec0dc5d687	17fedbf10aa0eff158b768bb1d6e4d76187c058dc4c833e82bbcc3afd8e25a2c
additive	50301	trained	1.0	checkpoints/additive/seed_50301/trained_model.pt	9011b3f77acbf13d6a01647f8d827e9c907ce6b5b42dacdf88656c6f69ec62d3	9669010	checkpoints/additive/seed_50301/config.json	3fe5a0b06b429efadb32a5f1b90be9eb67fa3121d3f7aa52f891c9056c690f23	467e93336c24bef32e9aca730112e117126619300fc450ded1913cec0dc5d687	17fedbf10aa0eff158b768bb1d6e4d76187c058dc4c833e82bbcc3afd8e25a2c
additive	50302	initial	1.0	checkpoints/additive/seed_50302/initial_model.pt	f49cbf9fa2a7d74fca9cf251bdf790bb88934ea5eab9d9fbae4878a325330071	9669068	checkpoints/additive/seed_50302/config.json	7c5ea19fba08dbb2de9567e79fec76470e4cd7452f6433bfc24839c7540541ae	0033d3707d08bc9b575fc2c8efa614477c9a5546067033dccac689d3f201b237	48d8d8877d2147c16c8d65da2700a7228b593bdc36d608e4df9cb361d8344754
additive	50302	trained	1.0	checkpoints/additive/seed_50302/trained_model.pt	cbcef333f65ee9cbf847ee385e8349503084ece5142055569b06dbade3fa2f53	9669010	checkpoints/additive/seed_50302/config.json	7c5ea19fba08dbb2de9567e79fec76470e4cd7452f6433bfc24839c7540541ae	0033d3707d08bc9b575fc2c8efa614477c9a5546067033dccac689d3f201b237	48d8d8877d2147c16c8d65da2700a7228b593bdc36d608e4df9cb361d8344754
additive	50303	initial	1.0	checkpoints/additive/seed_50303/initial_model.pt	784155a94cfacaee650e95a3fb77edfca324a2a82ec44187d81f32b66d39dc8d	9669068	checkpoints/additive/seed_50303/config.json	e5f7ed9e4882fd5c3b14545c15df1c9417c08c8acdb192a7b725fe40c0b00475	88691f6201f7b865a36f727360358e0fdb39b409a5dc3b85e162d82cc73030cc	820be631164f2422bc94641895944aee334512a00b91dda6f209436817a93aae
additive	50303	trained	1.0	checkpoints/additive/seed_50303/trained_model.pt	1a8555a7123e4546cd3f45afd7c6dc8cbf617249f05bdf4456d9d9e75899034f	9669010	checkpoints/additive/seed_50303/config.json	e5f7ed9e4882fd5c3b14545c15df1c9417c08c8acdb192a7b725fe40c0b00475	88691f6201f7b865a36f727360358e0fdb39b409a5dc3b85e162d82cc73030cc	820be631164f2422bc94641895944aee334512a00b91dda6f209436817a93aae
additive	50304	initial	1.0	checkpoints/additive/seed_50304/initial_model.pt	e6a0b27916fe38109ef7b15d0d236769ca5807d07def781a3cdd01957598f3b9	9669068	checkpoints/additive/seed_50304/config.json	b618de7ea2dbd642fe29941fac8ed1d34141aabb1c0dd4319b793c77dc4ae1dd	f272e0ae02f49ff54e776dcc52896f0675f1187e6354ec69b5d17c6f9edbf567	91cea014cc9be135cb8edd006fbf9cf0a076c291dd10a815065baabf24ad6f40
additive	50304	trained	1.0	checkpoints/additive/seed_50304/trained_model.pt	15bfcbf20c1c062553af3c7ae2179968b0d79497aee9e48a1b0619cd6c493031	9669010	checkpoints/additive/seed_50304/config.json	b618de7ea2dbd642fe29941fac8ed1d34141aabb1c0dd4319b793c77dc4ae1dd	f272e0ae02f49ff54e776dcc52896f0675f1187e6354ec69b5d17c6f9edbf567	91cea014cc9be135cb8edd006fbf9cf0a076c291dd10a815065baabf24ad6f40
additive	50305	initial	1.0	checkpoints/additive/seed_50305/initial_model.pt	7052ec7964e5f2caba276979e0b61a62ce91140d7de46d1501b58716520927d0	9669068	checkpoints/additive/seed_50305/config.json	6280a665d398f80909fcd92cf5a81f157d7bc038776a90aa3e11260d54a71bdc	a6a934e7ba7a3b42cc8948b9b1f1e83b44e61936d823eae37e108c03d9d6d20a	8774b1c7645be7bb2b3cfcc98de9d13155ba1825846c74e36879aa1d642e3524
additive	50305	trained	1.0	checkpoints/additive/seed_50305/trained_model.pt	e8e734e80ff38555ad1ea8d777a8ed9c53579ba9e50dd378bc45b8416ec0e64f	9669010	checkpoints/additive/seed_50305/config.json	6280a665d398f80909fcd92cf5a81f157d7bc038776a90aa3e11260d54a71bdc	a6a934e7ba7a3b42cc8948b9b1f1e83b44e61936d823eae37e108c03d9d6d20a	8774b1c7645be7bb2b3cfcc98de9d13155ba1825846c74e36879aa1d642e3524
