rate_policy,architecture,metric,contrast,seed,difference
selected,shunting,test_accuracy,neuron_shared_minus_strict_scalar,50300,0.10519999265670776
selected,shunting,test_accuracy,neuron_shared_minus_strict_scalar,50301,0.09489995241165161
selected,shunting,test_accuracy,neuron_shared_minus_strict_scalar,50302,0.0842999815940857
selected,shunting,test_accuracy,neuron_shared_minus_strict_scalar,50303,0.07480001449584961
selected,shunting,test_accuracy,neuron_shared_minus_strict_scalar,50304,0.08390003442764282
selected,shunting,test_accuracy,neuron_shared_minus_strict_scalar,50305,0.09850001335144043
selected,shunting,test_accuracy,neuron_shared_minus_strict_scalar,50306,0.10289996862411499
selected,shunting,test_accuracy,neuron_shared_minus_strict_scalar,50307,0.09679996967315674
selected,shunting,test_accuracy,neuron_shared_minus_strict_scalar,50308,0.10159999132156372
selected,shunting,test_accuracy,neuron_shared_minus_strict_scalar,50309,0.08009999990463257
selected,shunting,test_accuracy,projected_k1_minus_neuron_shared,50300,-0.0003000497817993164
selected,shunting,test_accuracy,projected_k1_minus_neuron_shared,50301,-0.000599980354309082
selected,shunting,test_accuracy,projected_k1_minus_neuron_shared,50302,0.000500023365020752
selected,shunting,test_accuracy,projected_k1_minus_neuron_shared,50303,0.001699984073638916
selected,shunting,test_accuracy,projected_k1_minus_neuron_shared,50304,-0.00020003318786621094
selected,shunting,test_accuracy,projected_k1_minus_neuron_shared,50305,0.0
selected,shunting,test_accuracy,projected_k1_minus_neuron_shared,50306,0.00010001659393310547
selected,shunting,test_accuracy,projected_k1_minus_neuron_shared,50307,0.0009000301361083984
selected,shunting,test_accuracy,projected_k1_minus_neuron_shared,50308,0.00010001659393310547
selected,shunting,test_accuracy,projected_k1_minus_neuron_shared,50309,0.0031999945640563965
selected,shunting,test_accuracy,subtree_k3_minus_projected_k1,50300,-0.0004999637603759766
selected,shunting,test_accuracy,subtree_k3_minus_projected_k1,50301,0.000800013542175293
selected,shunting,test_accuracy,subtree_k3_minus_projected_k1,50302,0.0004999637603759766
selected,shunting,test_accuracy,subtree_k3_minus_projected_k1,50303,-0.0023999810218811035
selected,shunting,test_accuracy,subtree_k3_minus_projected_k1,50304,0.001600027084350586
selected,shunting,test_accuracy,subtree_k3_minus_projected_k1,50305,0.0015999674797058105
selected,shunting,test_accuracy,subtree_k3_minus_projected_k1,50306,0.0029000043869018555
selected,shunting,test_accuracy,subtree_k3_minus_projected_k1,50307,-0.0018000006675720215
selected,shunting,test_accuracy,subtree_k3_minus_projected_k1,50308,0.001399993896484375
selected,shunting,test_accuracy,subtree_k3_minus_projected_k1,50309,0.000800013542175293
selected,shunting,test_accuracy,exact_path_minus_subtree_k3,50300,0.0004000067710876465
selected,shunting,test_accuracy,exact_path_minus_subtree_k3,50301,-0.0023999810218811035
selected,shunting,test_accuracy,exact_path_minus_subtree_k3,50302,-9.995698928833008e-05
selected,shunting,test_accuracy,exact_path_minus_subtree_k3,50303,0.002200007438659668
selected,shunting,test_accuracy,exact_path_minus_subtree_k3,50304,-0.000500023365020752
selected,shunting,test_accuracy,exact_path_minus_subtree_k3,50305,-0.0009999871253967285
selected,shunting,test_accuracy,exact_path_minus_subtree_k3,50306,-0.0037999749183654785
selected,shunting,test_accuracy,exact_path_minus_subtree_k3,50307,9.995698928833008e-05
selected,shunting,test_accuracy,exact_path_minus_subtree_k3,50308,-0.0015000104904174805
selected,shunting,test_accuracy,exact_path_minus_subtree_k3,50309,-0.00270003080368042
selected,shunting,test_accuracy,neuron_shared_minus_decoder_only,50300,0.15640002489089966
selected,shunting,test_accuracy,neuron_shared_minus_decoder_only,50301,0.17179995775222778
selected,shunting,test_accuracy,neuron_shared_minus_decoder_only,50302,0.15170001983642578
selected,shunting,test_accuracy,neuron_shared_minus_decoder_only,50303,0.1712999939918518
selected,shunting,test_accuracy,neuron_shared_minus_decoder_only,50304,0.16540002822875977
selected,shunting,test_accuracy,neuron_shared_minus_decoder_only,50305,0.16200000047683716
selected,shunting,test_accuracy,neuron_shared_minus_decoder_only,50306,0.16769999265670776
selected,shunting,test_accuracy,neuron_shared_minus_decoder_only,50307,0.16619998216629028
selected,shunting,test_accuracy,neuron_shared_minus_decoder_only,50308,0.160599946975708
selected,shunting,test_accuracy,neuron_shared_minus_decoder_only,50309,0.1437000036239624
selected,shunting,test_accuracy,exact_path_minus_neuron_shared,50300,-0.0004000067710876465
selected,shunting,test_accuracy,exact_path_minus_neuron_shared,50301,-0.0021999478340148926
selected,shunting,test_accuracy,exact_path_minus_neuron_shared,50302,0.0009000301361083984
selected,shunting,test_accuracy,exact_path_minus_neuron_shared,50303,0.0015000104904174805
selected,shunting,test_accuracy,exact_path_minus_neuron_shared,50304,0.000899970531463623
selected,shunting,test_accuracy,exact_path_minus_neuron_shared,50305,0.000599980354309082
selected,shunting,test_accuracy,exact_path_minus_neuron_shared,50306,-0.0007999539375305176
selected,shunting,test_accuracy,exact_path_minus_neuron_shared,50307,-0.000800013542175293
selected,shunting,test_accuracy,exact_path_minus_neuron_shared,50308,0.0
selected,shunting,test_accuracy,exact_path_minus_neuron_shared,50309,0.0012999773025512695
selected,shunting,test_accuracy,subtree_k3_minus_neuron_shared,50300,-0.000800013542175293
selected,shunting,test_accuracy,subtree_k3_minus_neuron_shared,50301,0.00020003318786621094
selected,shunting,test_accuracy,subtree_k3_minus_neuron_shared,50302,0.0009999871253967285
selected,shunting,test_accuracy,subtree_k3_minus_neuron_shared,50303,-0.0006999969482421875
selected,shunting,test_accuracy,subtree_k3_minus_neuron_shared,50304,0.001399993896484375
selected,shunting,test_accuracy,subtree_k3_minus_neuron_shared,50305,0.0015999674797058105
selected,shunting,test_accuracy,subtree_k3_minus_neuron_shared,50306,0.003000020980834961
selected,shunting,test_accuracy,subtree_k3_minus_neuron_shared,50307,-0.000899970531463623
selected,shunting,test_accuracy,subtree_k3_minus_neuron_shared,50308,0.0015000104904174805
selected,shunting,test_accuracy,subtree_k3_minus_neuron_shared,50309,0.0040000081062316895
selected,shunting,test_cross_entropy,neuron_shared_minus_strict_scalar,50300,-0.3828837275505066
selected,shunting,test_cross_entropy,neuron_shared_minus_strict_scalar,50301,-0.3623112216591835
selected,shunting,test_cross_entropy,neuron_shared_minus_strict_scalar,50302,-0.3338438495993614
selected,shunting,test_cross_entropy,neuron_shared_minus_strict_scalar,50303,-0.2714872732758522
selected,shunting,test_cross_entropy,neuron_shared_minus_strict_scalar,50304,-0.30265141278505325
selected,shunting,test_cross_entropy,neuron_shared_minus_strict_scalar,50305,-0.33716191351413727
selected,shunting,test_cross_entropy,neuron_shared_minus_strict_scalar,50306,-0.3586685061454773
selected,shunting,test_cross_entropy,neuron_shared_minus_strict_scalar,50307,-0.33398234099149704
selected,shunting,test_cross_entropy,neuron_shared_minus_strict_scalar,50308,-0.3772130608558655
selected,shunting,test_cross_entropy,neuron_shared_minus_strict_scalar,50309,-0.3347075581550598
selected,shunting,test_cross_entropy,projected_k1_minus_neuron_shared,50300,-0.0013321489095687866
selected,shunting,test_cross_entropy,projected_k1_minus_neuron_shared,50301,-0.005600631237030029
selected,shunting,test_cross_entropy,projected_k1_minus_neuron_shared,50302,0.0003337264060974121
selected,shunting,test_cross_entropy,projected_k1_minus_neuron_shared,50303,-8.73953104019165e-05
selected,shunting,test_cross_entropy,projected_k1_minus_neuron_shared,50304,-0.004744738340377808
selected,shunting,test_cross_entropy,projected_k1_minus_neuron_shared,50305,-0.003254115581512451
selected,shunting,test_cross_entropy,projected_k1_minus_neuron_shared,50306,-0.0018387958407402039
selected,shunting,test_cross_entropy,projected_k1_minus_neuron_shared,50307,-0.002330996096134186
selected,shunting,test_cross_entropy,projected_k1_minus_neuron_shared,50308,-0.004684031009674072
selected,shunting,test_cross_entropy,projected_k1_minus_neuron_shared,50309,-0.0019144192337989807
selected,shunting,test_cross_entropy,subtree_k3_minus_projected_k1,50300,0.0008482113480567932
selected,shunting,test_cross_entropy,subtree_k3_minus_projected_k1,50301,0.005989588797092438
selected,shunting,test_cross_entropy,subtree_k3_minus_projected_k1,50302,-0.002004653215408325
selected,shunting,test_cross_entropy,subtree_k3_minus_projected_k1,50303,0.0028334856033325195
selected,shunting,test_cross_entropy,subtree_k3_minus_projected_k1,50304,-0.0007824450731277466
selected,shunting,test_cross_entropy,subtree_k3_minus_projected_k1,50305,0.0024107545614242554
selected,shunting,test_cross_entropy,subtree_k3_minus_projected_k1,50306,-0.002840980887413025
selected,shunting,test_cross_entropy,subtree_k3_minus_projected_k1,50307,0.0012578070163726807
selected,shunting,test_cross_entropy,subtree_k3_minus_projected_k1,50308,-0.0032028928399086
selected,shunting,test_cross_entropy,subtree_k3_minus_projected_k1,50309,-0.0017326176166534424
selected,shunting,test_cross_entropy,exact_path_minus_subtree_k3,50300,-0.0006866082549095154
selected,shunting,test_cross_entropy,exact_path_minus_subtree_k3,50301,0.0010482221841812134
selected,shunting,test_cross_entropy,exact_path_minus_subtree_k3,50302,0.0024424493312835693
selected,shunting,test_cross_entropy,exact_path_minus_subtree_k3,50303,-0.0036970973014831543
selected,shunting,test_cross_entropy,exact_path_minus_subtree_k3,50304,-0.003034062683582306
selected,shunting,test_cross_entropy,exact_path_minus_subtree_k3,50305,-0.001310884952545166
selected,shunting,test_cross_entropy,exact_path_minus_subtree_k3,50306,0.005858331918716431
selected,shunting,test_cross_entropy,exact_path_minus_subtree_k3,50307,-0.0014500468969345093
selected,shunting,test_cross_entropy,exact_path_minus_subtree_k3,50308,0.004170611500740051
selected,shunting,test_cross_entropy,exact_path_minus_subtree_k3,50309,0.004032790660858154
selected,shunting,test_cross_entropy,neuron_shared_minus_decoder_only,50300,-0.8231912553310394
selected,shunting,test_cross_entropy,neuron_shared_minus_decoder_only,50301,-0.8369816020131111
selected,shunting,test_cross_entropy,neuron_shared_minus_decoder_only,50302,-0.7883196398615837
selected,shunting,test_cross_entropy,neuron_shared_minus_decoder_only,50303,-0.8123651519417763
selected,shunting,test_cross_entropy,neuron_shared_minus_decoder_only,50304,-0.8528619483113289
selected,shunting,test_cross_entropy,neuron_shared_minus_decoder_only,50305,-0.8103791922330856
selected,shunting,test_cross_entropy,neuron_shared_minus_decoder_only,50306,-0.8453437685966492
selected,shunting,test_cross_entropy,neuron_shared_minus_decoder_only,50307,-0.8222566470503807
selected,shunting,test_cross_entropy,neuron_shared_minus_decoder_only,50308,-0.7961032092571259
selected,shunting,test_cross_entropy,neuron_shared_minus_decoder_only,50309,-0.7897834479808807
selected,shunting,test_cross_entropy,exact_path_minus_neuron_shared,50300,-0.0011705458164215088
selected,shunting,test_cross_entropy,exact_path_minus_neuron_shared,50301,0.0014371797442436218
selected,shunting,test_cross_entropy,exact_path_minus_neuron_shared,50302,0.0007715225219726562
selected,shunting,test_cross_entropy,exact_path_minus_neuron_shared,50303,-0.0009510070085525513
selected,shunting,test_cross_entropy,exact_path_minus_neuron_shared,50304,-0.00856124609708786
selected,shunting,test_cross_entropy,exact_path_minus_neuron_shared,50305,-0.002154245972633362
selected,shunting,test_cross_entropy,exact_path_minus_neuron_shared,50306,0.001178555190563202
selected,shunting,test_cross_entropy,exact_path_minus_neuron_shared,50307,-0.0025232359766960144
selected,shunting,test_cross_entropy,exact_path_minus_neuron_shared,50308,-0.003716312348842621
selected,shunting,test_cross_entropy,exact_path_minus_neuron_shared,50309,0.0003857538104057312
selected,shunting,test_cross_entropy,subtree_k3_minus_neuron_shared,50300,-0.0004839375615119934
selected,shunting,test_cross_entropy,subtree_k3_minus_neuron_shared,50301,0.00038895756006240845
selected,shunting,test_cross_entropy,subtree_k3_minus_neuron_shared,50302,-0.001670926809310913
selected,shunting,test_cross_entropy,subtree_k3_minus_neuron_shared,50303,0.002746090292930603
selected,shunting,test_cross_entropy,subtree_k3_minus_neuron_shared,50304,-0.005527183413505554
selected,shunting,test_cross_entropy,subtree_k3_minus_neuron_shared,50305,-0.0008433610200881958
selected,shunting,test_cross_entropy,subtree_k3_minus_neuron_shared,50306,-0.004679776728153229
selected,shunting,test_cross_entropy,subtree_k3_minus_neuron_shared,50307,-0.0010731890797615051
selected,shunting,test_cross_entropy,subtree_k3_minus_neuron_shared,50308,-0.007886923849582672
selected,shunting,test_cross_entropy,subtree_k3_minus_neuron_shared,50309,-0.003647036850452423
selected,additive,test_accuracy,neuron_shared_minus_strict_scalar,50300,0.08789998292922974
selected,additive,test_accuracy,neuron_shared_minus_strict_scalar,50301,0.06599998474121094
selected,additive,test_accuracy,neuron_shared_minus_strict_scalar,50302,0.06439995765686035
selected,additive,test_accuracy,neuron_shared_minus_strict_scalar,50303,0.07389998435974121
selected,additive,test_accuracy,neuron_shared_minus_strict_scalar,50304,0.07080000638961792
selected,additive,test_accuracy,neuron_shared_minus_strict_scalar,50305,0.07969999313354492
selected,additive,test_accuracy,neuron_shared_minus_strict_scalar,50306,0.09529995918273926
selected,additive,test_accuracy,neuron_shared_minus_strict_scalar,50307,0.06949996948242188
selected,additive,test_accuracy,neuron_shared_minus_strict_scalar,50308,0.06740003824234009
selected,additive,test_accuracy,neuron_shared_minus_strict_scalar,50309,0.07070004940032959
selected,additive,test_accuracy,projected_k1_minus_neuron_shared,50300,0.0037999749183654785
selected,additive,test_accuracy,projected_k1_minus_neuron_shared,50301,0.001900017261505127
selected,additive,test_accuracy,projected_k1_minus_neuron_shared,50302,0.002400040626525879
selected,additive,test_accuracy,projected_k1_minus_neuron_shared,50303,0.0
selected,additive,test_accuracy,projected_k1_minus_neuron_shared,50304,0.0034999847412109375
selected,additive,test_accuracy,projected_k1_minus_neuron_shared,50305,0.0015000104904174805
selected,additive,test_accuracy,projected_k1_minus_neuron_shared,50306,0.0020999908447265625
selected,additive,test_accuracy,projected_k1_minus_neuron_shared,50307,-0.000299990177154541
selected,additive,test_accuracy,projected_k1_minus_neuron_shared,50308,0.002499997615814209
selected,additive,test_accuracy,projected_k1_minus_neuron_shared,50309,0.0015999674797058105
selected,additive,test_accuracy,subtree_k3_minus_projected_k1,50300,-0.000299990177154541
selected,additive,test_accuracy,subtree_k3_minus_projected_k1,50301,-0.00019997358322143555
selected,additive,test_accuracy,subtree_k3_minus_projected_k1,50302,-0.00020003318786621094
selected,additive,test_accuracy,subtree_k3_minus_projected_k1,50303,-0.000899970531463623
selected,additive,test_accuracy,subtree_k3_minus_projected_k1,50304,0.000599980354309082
selected,additive,test_accuracy,subtree_k3_minus_projected_k1,50305,0.002200007438659668
selected,additive,test_accuracy,subtree_k3_minus_projected_k1,50306,-0.002599954605102539
selected,additive,test_accuracy,subtree_k3_minus_projected_k1,50307,0.0020999908447265625
selected,additive,test_accuracy,subtree_k3_minus_projected_k1,50308,0.0020999908447265625
selected,additive,test_accuracy,subtree_k3_minus_projected_k1,50309,0.000800013542175293
selected,additive,test_accuracy,exact_path_minus_subtree_k3,50300,-0.0029000043869018555
selected,additive,test_accuracy,exact_path_minus_subtree_k3,50301,0.0009999871253967285
selected,additive,test_accuracy,exact_path_minus_subtree_k3,50302,0.001600027084350586
selected,additive,test_accuracy,exact_path_minus_subtree_k3,50303,0.0015000104904174805
selected,additive,test_accuracy,exact_path_minus_subtree_k3,50304,-0.0012999773025512695
selected,additive,test_accuracy,exact_path_minus_subtree_k3,50305,-0.001600027084350586
selected,additive,test_accuracy,exact_path_minus_subtree_k3,50306,0.001699984073638916
selected,additive,test_accuracy,exact_path_minus_subtree_k3,50307,-0.001699984073638916
selected,additive,test_accuracy,exact_path_minus_subtree_k3,50308,-0.0020000338554382324
selected,additive,test_accuracy,exact_path_minus_subtree_k3,50309,-0.0006999969482421875
selected,additive,test_accuracy,neuron_shared_minus_decoder_only,50300,0.0690000057220459
selected,additive,test_accuracy,neuron_shared_minus_decoder_only,50301,0.07169997692108154
selected,additive,test_accuracy,neuron_shared_minus_decoder_only,50302,0.07389998435974121
selected,additive,test_accuracy,neuron_shared_minus_decoder_only,50303,0.07609999179840088
selected,additive,test_accuracy,neuron_shared_minus_decoder_only,50304,0.07760000228881836
selected,additive,test_accuracy,neuron_shared_minus_decoder_only,50305,0.08039999008178711
selected,additive,test_accuracy,neuron_shared_minus_decoder_only,50306,0.07839995622634888
selected,additive,test_accuracy,neuron_shared_minus_decoder_only,50307,0.07999998331069946
