scan,target_root_id,target_nucleus_id,session,scan_idx,n_partners,n_pairs,n_trials,n_repeated_stimuli,repeats_two,repeats_ten,n_negative_reliabilities,observed_partial_rank
target256456_ses4_scan10_automatic_conservative,864691135810666525,256456,4,10,9,36,464,136,130,6,1,-0.14514167804763306
target256456_ses6_scan4_automatic_conservative,864691135810666525,256456,6,4,6,15,464,136,130,6,0,0.11631575420089862
target256456_ses6_scan6_automatic_conservative,864691135810666525,256456,6,6,10,45,464,136,130,6,0,0.10207077812898326
target256456_ses7_scan4_automatic_conservative,864691135810666525,256456,7,4,11,55,464,136,130,6,0,0.28868385613683256
target256550_ses5_scan6_automatic_conservative,864691135060651419,256550,5,6,10,45,464,136,130,6,0,0.15583653833357694
target256550_ses5_scan7_automatic_conservative,864691135060651419,256550,5,7,8,28,464,136,130,6,0,-0.017111465246561066
target256550_ses9_scan4_automatic_conservative,864691135060651419,256550,9,4,13,78,464,136,130,6,0,-0.1766728326763537
target258209_ses4_scan7_automatic_conservative,864691135277186789,258209,4,7,12,66,464,136,130,6,1,0.0647078357338761
target258209_ses8_scan5_automatic_conservative,864691135277186789,258209,8,5,17,136,464,136,130,6,0,0.07607580727214164
target264871_ses7_scan3_automatic_conservative,864691135739661169,264871,7,3,6,15,464,136,130,6,0,-0.4171652612857938
target264888_ses7_scan3_automatic_conservative,864691135196576298,264888,7,3,9,36,464,136,130,6,0,-0.35803673829454075
target264889_ses6_scan6_automatic_conservative,864691135324623260,264889,6,6,5,10,464,136,130,6,0,-0.014323984470054249
target291111_ses6_scan4_automatic_conservative,864691135409937097,291111,6,4,9,36,464,136,130,6,0,0.3018221148070211
