unit_index,pre_pt_root_id,nucleus_id,segment_id,major_branch,path_um,depth,x_um,y_um,z_um,n_synapses,contact_size,repeat_reliability,manual_match
0,864691136524348561,303570,9964,9817,107.83768858022748,6.0,722.6080000000001,528.488,774.32,1,10580.0,0.29084490243786076,False
1,864691136275334078,292936,9584,9533,122.67726511457316,2.0,723.0853333333334,497.35200000000003,883.64,3,7360.0,0.15278374123371977,False
2,864691136380816597,262777,9389,8089,131.931739537483,5.0,694.7280000000001,399.632,792.6,1,95640.0,0.3240637374171079,False
3,864691135738969220,292646,10596,10003,31.69192876748972,2.0,721.328,472.808,825.96,1,7588.0,0.12102953103382473,False
4,864691135295414796,258322,9916,9817,109.40297113502452,2.0,691.176,490.968,793.8000000000001,1,34440.0,0.08709508134153904,False
5,864691136335276211,227603,9179,8089,142.6593677166857,6.0,649.048,417.504,770.6,1,2136.0,0.12813319975192022,True
6,864691135464671550,256531,8589,7741,178.78822403380167,9.0,788.6320000000001,363.928,829.36,1,9488.0,0.10799103096226324,False
7,864691135469339474,292363,10586,9533,77.14315201226943,3.0,715.224,493.472,858.64,1,5760.0,0.05751156910452745,False
8,864691135839950227,256449,9964,9817,107.83768858022748,6.0,719.264,508.2,780.64,1,2372.0,0.14848051142598157,False
9,864691136034487739,256514,9105,7741,144.46371659089817,7.0,747.52,415.728,874.08,6,18352.0,0.1842946424311817,False
10,864691135591111179,222896,10235,9745,98.80638971404564,2.0,669.32,490.952,885.48,1,2172.0,0.21126854634797956,False
