partner_index,pre_pt_root_id,recording_id,session,scan_idx,field,unit_id,dandi_asset_id,dandi_path
0,864691135545285672,ses8_scan5_field4_unit4917,8,5,4,4917,436f762f-924a-4a30-9a92-156532a03d21,sub-17797/sub-17797_ses-8-scan-5_behavior+image+ophys.nwb
1,864691135102434592,ses8_scan5_field4_unit5611,8,5,4,5611,436f762f-924a-4a30-9a92-156532a03d21,sub-17797/sub-17797_ses-8-scan-5_behavior+image+ophys.nwb
2,864691136335276211,ses8_scan5_field6_unit8132,8,5,6,8132,436f762f-924a-4a30-9a92-156532a03d21,sub-17797/sub-17797_ses-8-scan-5_behavior+image+ophys.nwb
3,864691135376325193,ses8_scan5_field4_unit4923,8,5,4,4923,436f762f-924a-4a30-9a92-156532a03d21,sub-17797/sub-17797_ses-8-scan-5_behavior+image+ophys.nwb
4,864691135294476214,ses8_scan5_field2_unit2403,8,5,2,2403,436f762f-924a-4a30-9a92-156532a03d21,sub-17797/sub-17797_ses-8-scan-5_behavior+image+ophys.nwb
5,864691135347693215,ses8_scan5_field4_unit5023,8,5,4,5023,436f762f-924a-4a30-9a92-156532a03d21,sub-17797/sub-17797_ses-8-scan-5_behavior+image+ophys.nwb
6,864691135739736689,ses8_scan5_field2_unit2446,8,5,2,2446,436f762f-924a-4a30-9a92-156532a03d21,sub-17797/sub-17797_ses-8-scan-5_behavior+image+ophys.nwb
7,864691135442905672,ses8_scan5_field6_unit7919,8,5,6,7919,436f762f-924a-4a30-9a92-156532a03d21,sub-17797/sub-17797_ses-8-scan-5_behavior+image+ophys.nwb
8,864691135442668872,ses8_scan5_field2_unit2127,8,5,2,2127,436f762f-924a-4a30-9a92-156532a03d21,sub-17797/sub-17797_ses-8-scan-5_behavior+image+ophys.nwb
9,864691135582973549,ses8_scan5_field6_unit7859,8,5,6,7859,436f762f-924a-4a30-9a92-156532a03d21,sub-17797/sub-17797_ses-8-scan-5_behavior+image+ophys.nwb
10,864691136093372084,ses8_scan5_field2_unit2669,8,5,2,2669,436f762f-924a-4a30-9a92-156532a03d21,sub-17797/sub-17797_ses-8-scan-5_behavior+image+ophys.nwb
11,864691136086755436,ses8_scan5_field8_unit10049,8,5,8,10049,436f762f-924a-4a30-9a92-156532a03d21,sub-17797/sub-17797_ses-8-scan-5_behavior+image+ophys.nwb
12,864691135470787666,ses8_scan5_field2_unit2040,8,5,2,2040,436f762f-924a-4a30-9a92-156532a03d21,sub-17797/sub-17797_ses-8-scan-5_behavior+image+ophys.nwb
13,864691136906009522,ses8_scan5_field4_unit4989,8,5,4,4989,436f762f-924a-4a30-9a92-156532a03d21,sub-17797/sub-17797_ses-8-scan-5_behavior+image+ophys.nwb
14,864691136665194974,ses8_scan5_field2_unit2097,8,5,2,2097,436f762f-924a-4a30-9a92-156532a03d21,sub-17797/sub-17797_ses-8-scan-5_behavior+image+ophys.nwb
15,864691136118618136,ses8_scan5_field2_unit1626,8,5,2,1626,436f762f-924a-4a30-9a92-156532a03d21,sub-17797/sub-17797_ses-8-scan-5_behavior+image+ophys.nwb
16,864691135943762036,ses8_scan5_field4_unit4962,8,5,4,4962,436f762f-924a-4a30-9a92-156532a03d21,sub-17797/sub-17797_ses-8-scan-5_behavior+image+ophys.nwb
