reliability,lambda,target_root_id,mean_partial_rank,sd,positive_fraction,p05,p95
measured,0.0,864691135060651419,0.0006081215953377899,0.09273380101981765,0.4885,-0.14726144978954817,0.15766440129085676
measured,0.0,864691135196576298,-0.0006404833786753348,0.1740148779180506,0.50225,-0.28389276909348693,0.286226546883845
measured,0.0,864691135277186789,-0.0010874987956990749,0.0776225447215413,0.49325,-0.12923694567213298,0.13061178795933734
measured,0.0,864691135324623260,0.010596401470021277,0.3760513854324562,0.5075,-0.6232225972131238,0.6286433136784846
measured,0.0,864691135409937097,0.0025762507577196427,0.1759016631724111,0.4975,-0.2877356122661166,0.2921927309389332
measured,0.0,864691135739661169,0.0001291759970659041,0.28193395983942027,0.49825,-0.4638596222246326,0.46969529534769877
measured,0.0,864691135810666525,0.0004761356008305935,0.10003357725301686,0.4965,-0.1673402922296106,0.16480410968126163
perfect,0.0,864691135060651419,0.0003597781495844067,0.09559997469744701,0.50275,-0.1531599656777033,0.15797043825709559
perfect,0.0,864691135196576298,0.00021766312725297754,0.17243359280941442,0.49725,-0.2786740204748168,0.2931532863128734
perfect,0.0,864691135277186789,0.0012092900567086762,0.08384035261431189,0.504,-0.13580580620279886,0.13981951344305352
perfect,0.0,864691135324623260,0.01692070113493934,0.37696679536117494,0.51425,-0.6042569970384387,0.6511850133910438
perfect,0.0,864691135409937097,-0.0032684576852427217,0.17616206256448,0.493,-0.2905263288416019,0.2818584429854487
perfect,0.0,864691135739661169,-0.0017397186078175317,0.2897893892217295,0.49875,-0.4709701382732698,0.4835378199530839
perfect,0.0,864691135810666525,-0.0002510050594383789,0.10136038393368148,0.5005,-0.16665527990892132,0.16535141077303595
measured,0.5,864691135060651419,0.16024238463192114,0.09572244554121374,0.9535,0.0019024430189773902,0.3145379147054816
measured,0.5,864691135196576298,0.1813636441641075,0.16568828669972305,0.853,-0.09294967933169895,0.4447801071645757
measured,0.5,864691135277186789,0.13039762764520585,0.07857892061495676,0.95275,0.0016303053308457773,0.25970021373982416
measured,0.5,864691135324623260,0.4214308003495935,0.3382311733106472,0.874,-0.224482779776014,0.8524516940226412
measured,0.5,864691135409937097,0.10422147561500267,0.16898071353406055,0.7305,-0.18993078526697973,0.3681503323140248
measured,0.5,864691135739661169,0.40248775013547167,0.20060140116075192,0.96425,0.03884046941584193,0.697321275619242
measured,0.5,864691135810666525,0.16342026540496993,0.09533950570249963,0.95175,0.0037685462062186804,0.32090465246905114
perfect,0.5,864691135060651419,0.3378104495472591,0.08970059689565062,1.0,0.1848681466796725,0.47324216578463085
perfect,0.5,864691135196576298,0.3494675339740213,0.15883244835233667,0.97425,0.06673302583650043,0.5802793033173893
perfect,0.5,864691135277186789,0.3260710121775897,0.07213121572227434,1.0,0.19680260815148848,0.4337567587531651
perfect,0.5,864691135324623260,0.6016713180446203,0.29182028118769776,0.9475,-0.01971813343406253,0.908244690703049
perfect,0.5,864691135409937097,0.3066597173183097,0.12219421801459616,0.983,0.07981484612342526,0.46984192518468504
perfect,0.5,864691135739661169,0.5195403588284073,0.14910926806910121,1.0,0.2742852510795145,0.7628351052294703
perfect,0.5,864691135810666525,0.37439772024259366,0.08066418861673391,1.0,0.23418907916415946,0.49825579363371086
measured,1.0,864691135060651419,0.28997334558420984,0.08866157197640316,0.9995,0.13723444293772522,0.43100898646284125
measured,1.0,864691135196576298,0.27470859925810454,0.1595929141955722,0.95125,0.0026266397266362304,0.5238616355854594
measured,1.0,864691135277186789,0.23054655200382018,0.07413238653882805,0.99825,0.10395359637980828,0.34680054594676873
measured,1.0,864691135324623260,0.6333261987325928,0.2610268432464382,0.9655,0.07863744198164493,0.9097694392261213
measured,1.0,864691135409937097,0.19443213180234456,0.15273573197472237,0.8875,-0.07292241113982177,0.4262183236088343
measured,1.0,864691135739661169,0.49326703299538793,0.16183292556604958,0.99475,0.2262330090736478,0.7449293028425557
measured,1.0,864691135810666525,0.27303780505254055,0.08866417979500443,0.99725,0.12400006097659205,0.41544585354092584
perfect,1.0,864691135060651419,0.5128752175280217,0.06663669912044261,1.0,0.39025537759493456,0.6086013744817049
perfect,1.0,864691135196576298,0.46655848641738934,0.15774848032076927,0.9935,0.15123233953847554,0.6643239200524017
perfect,1.0,864691135277186789,0.4668338257929343,0.04453529130033426,1.0,0.3874165957075407,0.5291440037871564
perfect,1.0,864691135324623260,0.8042147315436226,0.16225805029849327,0.99425,0.6350354945120698,0.9573026298398014
perfect,1.0,864691135409937097,0.4406082002780267,0.06032359436700096,1.0,0.31833142436439354,0.5233737047755815
perfect,1.0,864691135739661169,0.5241159398918406,0.18508445739394058,0.999,0.22377231551244034,0.8291352386053342
perfect,1.0,864691135810666525,0.5003063676367446,0.06513597084517804,1.0,0.38550192694857244,0.5982547640244431
