pre_soma_id,n_target_connections,n_targets,tree_distance_delta_um,shared_path_delta,route_overlap_delta
255120,1,1,92.38064954993192,-0.10891054591481653,-0.088
255129,4,4,-38.700439844881195,0.0802089608717914,0.1436220799544614
256424,8,8,-8.009675720976002,0.015046967544805563,0.018482243100885243
256446,10,10,-0.11285929429166401,0.020073004790111728,0.01041567330446845
256514,9,9,-30.330792923578517,-0.02082226444818343,-0.0033703387539640492
256622,10,10,-28.959726990558522,0.07022238917240119,0.07778145560472179
258234,9,9,-16.405230228370336,0.08133844370245696,0.0767654413009155
258249,7,7,-19.039938674420252,0.124882125204664,0.12181976874533754
258292,4,4,-5.44605984058591,-3.138053421968337e-05,0.013335380654969559
258379,1,1,-6.945620503045404,0.0,0.0
260505,14,14,-12.012422973654553,0.0164171650490009,0.03036938756322786
260541,7,7,-4.387091164766003,0.026898995535195865,-0.013499513320040788
260609,5,5,-11.268749083728878,0.015923842645162438,-0.012486696104387629
260620,6,6,-22.89614663085038,0.007182120228297642,-0.04014408331456147
260622,7,7,-45.083203391153965,0.09164105753408354,0.11382377611043581
260707,7,7,-25.425731270633445,0.04880358782405392,0.027274961981342407
260803,12,12,5.712025355006499,0.001078637052521439,-0.04820633643034041
262555,4,4,-26.40614432497524,-0.023879879207010252,-0.02917078032722336
262678,11,11,3.2651811233718644,-0.010711468115631046,-0.010050018924196451
262779,1,1,-17.978408204108632,0.08482323626497844,-0.04176655568121445
262805,4,4,-18.35638064021623,-0.006010804168516026,-0.029877671633176263
264649,2,2,-11.143225690412322,-0.001977330854061571,-0.03987744243296747
264783,1,1,274.5277899189813,-0.05423647489058297,-0.24823655511887358
264786,1,1,6.753475842319574,-0.004609988004609669,-0.018590155016122625
264792,6,6,-34.90588772027079,0.2124689751752071,0.16977804199257285
264824,1,1,5.077281934274026,-0.038068712607479016,-0.017971233510204413
264848,2,2,46.26001142217978,-0.05969913620763666,-0.08666492065982692
264849,1,1,-28.536290233726675,0.009109201349299975,0.019762246923368046
264891,4,4,-23.83243076648489,0.003121657406467724,0.016242641728289875
264920,6,6,1.7608121281950513,0.02835471290709239,0.028905770146312054
264932,1,1,5.024341256069391,-0.0030063553626044626,-0.08157821984705825
265035,4,4,17.543438830420524,-0.031056054117828243,-0.039430920866849455
265036,7,7,-21.15712522254257,0.026736382077237747,0.024003772426827823
267006,3,3,45.724520522667156,-0.04076041578168211,-0.054251207325746224
267010,1,1,-47.66321752747626,-0.01412049187157219,-0.030001656903658858
267015,1,1,42.74229372373344,-0.12397854723695886,-0.08645169772974971
267068,1,1,-32.79593284724257,-0.0055065297498651695,-0.0015482986869905652
267293,1,1,-25.510503422566387,0.02457150687711243,0.005541936077958467
267317,3,3,-17.98827975918755,-0.012650309335792457,-0.02396258091958217
269334,3,3,17.619560920636633,-0.013336921075195638,-0.010248624803716175
269414,6,6,-21.579528449124727,-0.013743731668983405,-0.04436343260788358
269485,8,8,1.839430619924915,-0.011147113599680323,0.0011504683633804524
269585,3,3,-25.088196342267242,0.05299762872486038,0.08798367002156898
269633,6,6,8.563430354606135,0.005111192537242247,0.03481426878601151
271673,1,1,-12.82877165545085,-0.02151996381041347,-0.015756284159579522
271886,1,1,58.8132331750283,-0.015392727467699673,-0.023630402303227868
286913,1,1,-298.4791902163735,0.26839694823393145,0.22113009697660474
291116,13,13,-11.674059143704277,0.03568999929336665,0.029660269390666866
291125,4,4,-45.04846256299434,0.03511323667281596,0.21328474644948361
291204,4,4,-43.58981593985535,0.20690814171620306,0.22590540686935195
292624,1,1,16.227072466117903,-0.05995239871814472,-0.04451373424937619
292649,10,10,-33.843628353215614,0.05020585159134274,0.025179459186330456
292669,10,10,-8.433801102984017,0.017192456550182235,0.015750598936191903
292670,5,5,17.44473067294144,-0.005113044771996704,-0.02418963208227409
292864,5,5,-54.4801444681613,0.15517618588126866,0.21926962149310833
292890,2,2,-1.801008329983759,0.0,0.0
294506,1,1,48.105853536248105,0.0,0.0
294649,4,4,-17.342457895798873,-0.012955575532526546,-0.010507875069234035
294749,1,1,-85.06394565402556,-0.0636572258038048,-0.06801256834502749
294825,11,11,-5.689963476038685,0.024093981474218203,0.010137684412426419
296398,7,7,3.9374995653932308,-0.01628099258771529,-0.01804404120646304
296530,1,1,45.228737807107564,-0.07013963425089374,-0.06979899649458113
296735,8,8,-2.6048129717736224,-0.011423492493619469,-0.008364343810104959
296738,5,5,-17.23412887457165,-0.01717226227681608,-0.01576319346974891
296758,3,3,24.781128976754164,-0.04602774387503387,-0.046342714016779474
298796,6,6,-9.263698631194336,0.00928775807214066,-0.02869795891163429
298897,2,2,-27.638752378155935,-0.011413863307845981,-0.006640512511203419
298930,5,5,-31.131801049905118,0.04539634912609802,0.01118350898315683
298937,6,6,-0.9146906318059868,0.005490078505671246,0.008302311606251176
298957,2,2,-38.50886957575526,0.11707820177276206,0.0753812005233491
300835,1,1,55.59987135000907,-0.1962564021611987,-0.08214127056157933
301085,5,5,1.5727278891597678,0.050689679201377257,0.08311811371177832
301107,8,8,-21.463621301327787,0.03688095316318995,0.016607887819669175
301120,2,2,-78.75731987305522,-0.02103979247236319,0.12580073566829836
301193,4,4,-24.878227042549188,0.013154646450191224,0.013918995719362696
301218,3,3,35.758181555137114,0.057729190161855015,0.05912626081768311
301227,3,3,-2.190606331154631,-0.06874294861567669,-0.05638013923381809
301239,6,6,-15.618788928051865,0.07933661655947535,0.03644668336251005
301245,1,1,-26.28647769517218,0.2714714555887191,0.2820987227681213
302962,1,1,-59.11018758206845,-0.003910745914747091,-0.0028078686704345115
302999,1,1,-77.99113826469721,0.04426059637446308,-0.009391796911446643
303085,6,6,1.7167372375582441,0.012391982523189432,0.013009115542065712
303149,14,14,-16.28814445845512,0.044827453936925964,0.02460898549488716
303172,1,1,-34.00323310085608,-0.019081994184939412,-0.008191817045686448
303195,1,1,0.7502281495424086,-0.021125072076905976,-0.016548459390200835
305046,1,1,20.817207702788153,-0.015759929654842478,-0.006760449301301045
305182,3,3,-37.50629375798135,0.14568746995793533,0.086595409690023
305232,1,1,37.760294005822544,-0.07047725237717085,-0.022813775171472827
305233,1,1,-58.01012132235812,0.035668823186778956,0.033790142790622514
305251,2,2,-7.056320581164716,-0.024865703188469188,-0.01377706722319142
305354,1,1,-36.78087437127459,-0.03502867184181584,-0.013355010560802327
307147,4,4,64.32302149068694,-0.07119930219030855,-0.06114359061592467
