post_soma_id,routes,method,capture,null_sd
255117,1,dense SVD oracle,0.2668756166897749,
255117,1,morphology-selected actual routes,0.24912652761435583,
255117,1,random actual routes,0.041883219238319926,0.0627209227330192
255117,1,depth-preserving ancestry shuffle,0.04259103225037622,0.018453015047311203
255117,1,depth bins,0.06351492952932247,
255117,2,dense SVD oracle,0.32918749399379205,
255117,2,morphology-selected actual routes,0.27577830492386024,
255117,2,random actual routes,0.07200703574772142,0.07580982424744341
255117,2,depth-preserving ancestry shuffle,0.06924946450064655,0.021715343333412684
255117,2,depth bins,0.08781042074989609,
255117,4,dense SVD oracle,0.43866874886403534,
255117,4,morphology-selected actual routes,0.3872256575480283,
255117,4,random actual routes,0.14287623243497422,0.09704587927413258
255117,4,depth-preserving ancestry shuffle,0.10263986645036724,0.0289725967881494
255117,4,depth bins,0.13135854694741267,
255117,8,dense SVD oracle,0.624685716489148,
255117,8,morphology-selected actual routes,0.573150357561315,
255117,8,random actual routes,0.25917218575289713,0.11037648303265896
255117,8,depth-preserving ancestry shuffle,0.16792225853154552,0.03389174035747844
255117,8,depth bins,0.17682918076416787,
255117,16,dense SVD oracle,0.8165656345226765,
255117,16,morphology-selected actual routes,0.7606567676057217,
255117,16,random actual routes,0.4711705072878565,0.10118144975029905
255117,16,depth-preserving ancestry shuffle,0.28260455583645216,0.03693633302939558
255117,16,depth bins,0.2574963781507802,
255156,1,dense SVD oracle,0.2627182423212877,
255156,1,morphology-selected actual routes,0.2569733591308816,
255156,1,random actual routes,0.047396239250959586,0.04924100594221438
255156,1,depth-preserving ancestry shuffle,0.02310991222600787,0.013604388168742786
255156,1,depth bins,0.06023663877241903,
255156,2,dense SVD oracle,0.34783084518485646,
255156,2,morphology-selected actual routes,0.337965926674727,
255156,2,random actual routes,0.10388928038827742,0.07665702525372804
255156,2,depth-preserving ancestry shuffle,0.05865689672106487,0.013703460908187725
255156,2,depth bins,0.07551393530440764,
255156,4,dense SVD oracle,0.47252849087553145,
255156,4,morphology-selected actual routes,0.42449999913658387,
255156,4,random actual routes,0.19229102853002375,0.08722803475389107
255156,4,depth-preserving ancestry shuffle,0.09943169142289231,0.02751109519646161
255156,4,depth bins,0.10204453049400852,
255156,8,dense SVD oracle,0.6529300632482665,
255156,8,morphology-selected actual routes,0.5951251930402472,
255156,8,random actual routes,0.35830045300390695,0.09396916594285928
255156,8,depth-preserving ancestry shuffle,0.1656487716800058,0.04460757957849315
255156,8,depth bins,0.158945461310794,
255156,16,dense SVD oracle,0.8682706050018587,
255156,16,morphology-selected actual routes,0.8476158580394749,
255156,16,random actual routes,0.6169867188960823,0.06339167169510589
255156,16,depth-preserving ancestry shuffle,0.29408732562051115,0.054761437957090306
255156,16,depth bins,0.24641902812526906,
255213,1,dense SVD oracle,0.5779473618129582,
255213,1,morphology-selected actual routes,0.5707684218422927,
255213,1,random actual routes,0.06719947454196937,0.10687867391323481
255213,1,depth-preserving ancestry shuffle,0.4494531657013172,0.014173472304091649
255213,1,depth bins,0.5707684218422927,
255213,2,dense SVD oracle,0.6667516475345919,
255213,2,morphology-selected actual routes,0.6636724021519609,
255213,2,random actual routes,0.12578965640685408,0.13975020665847476
255213,2,depth-preserving ancestry shuffle,0.4643785875187348,0.014550898187609223
255213,2,depth bins,0.5779694394538557,
255213,4,dense SVD oracle,0.746260319222136,
255213,4,morphology-selected actual routes,0.7310058026475719,
255213,4,random actual routes,0.22104754844122337,0.1526688423911196
255213,4,depth-preserving ancestry shuffle,0.47788143752320605,0.014711883889518166
255213,4,depth bins,0.5993473595904055,
255213,8,dense SVD oracle,0.8496956747439274,
255213,8,morphology-selected actual routes,0.8362779030099919,
255213,8,random actual routes,0.386044800571892,0.16315425719504248
255213,8,depth-preserving ancestry shuffle,0.5131244751114029,0.019147735465378388
255213,8,depth bins,0.6217192843984761,
255213,16,dense SVD oracle,0.9435352604556887,
255213,16,morphology-selected actual routes,0.914806075517879,
255213,16,random actual routes,0.6478011217222361,0.14025114469277858
255213,16,depth-preserving ancestry shuffle,0.5776765382097018,0.023483331943175
255213,16,depth bins,0.6748759798086614,
