channels,method,residual,wiring_nonzeros,root_id,residual_sd,actual_channels
1,dense PCA oracle,0.7900686559485998,25.0,864691135740320660,,
1,morphology-aware paths,0.7915471694717572,1.0,864691135740320660,,
1,random paths,0.988489514025414,0.65625,864691135740320660,0.030346330474552517,
1,shuffled ancestry,0.9812394222095113,1.0,864691135740320660,0.03042925067449888,
1,depth-only bins,0.9716861242275174,25.0,864691135740320660,,1.0
2,dense PCA oracle,0.6776380990348192,50.0,864691135740320660,,
2,morphology-aware paths,0.7216472707889834,3.0,864691135740320660,,
2,random paths,0.971881465529058,1.390625,864691135740320660,0.03466622731425421,
2,shuffled ancestry,0.9493611840197435,3.0,864691135740320660,0.06100529334509749,
2,depth-only bins,0.9449169783737283,25.0,864691135740320660,,2.0
4,dense PCA oracle,0.5092683750567205,100.0,864691135740320660,,
4,morphology-aware paths,0.5173950067133087,5.0,864691135740320660,,
4,random paths,0.9409048343147529,2.90625,864691135740320660,0.0666779211496433,
4,shuffled ancestry,0.9068560055082371,5.0,864691135740320660,0.08351721814590524,
4,depth-only bins,0.9000798583690636,25.0,864691135740320660,,4.0
8,dense PCA oracle,0.2599987428501004,200.0,864691135740320660,,
8,morphology-aware paths,0.4241560547033788,9.0,864691135740320660,,
8,random paths,0.8824744983332959,5.5625,864691135740320660,0.10194735768507222,
8,shuffled ancestry,0.8530721128756462,9.0,864691135740320660,0.1045550986421092,
8,depth-only bins,0.7042016081917463,25.0,864691135740320660,,8.0
16,dense PCA oracle,0.03342798930392351,400.0,864691135740320660,,
16,morphology-aware paths,0.18808670433386296,23.0,864691135740320660,,
16,random paths,0.763778644710281,10.3125,864691135740320660,0.1500594431111246,
16,shuffled ancestry,0.6526407104481582,23.0,864691135740320660,0.14153590680450726,
16,depth-only bins,0.5516666847283155,25.0,864691135740320660,,16.0
1,dense PCA oracle,0.6722690537203594,19.0,864691135992368833,,
1,morphology-aware paths,0.6726142873476628,2.0,864691135992368833,,
1,random paths,0.9641670756990584,0.703125,864691135992368833,0.08041953368761387,
1,shuffled ancestry,0.9509376968940284,2.0,864691135992368833,0.09259662584761276,
1,depth-only bins,0.9021456157610526,19.0,864691135992368833,,1.0
2,dense PCA oracle,0.5062902151123844,38.0,864691135992368833,,
2,morphology-aware paths,0.6704665632805431,3.0,864691135992368833,,
