architecture,core_strict,seed,feedback_strict,broadcast_mode_strict,test_accuracy_strict,run_dir_strict,config_index_strict,config_sha256_strict,result_sha256_strict,checkpoint_sha256_strict,cohort_strict,core_legacy,feedback_legacy,broadcast_mode_legacy,test_accuracy_legacy,run_dir_legacy,config_index_legacy,config_sha256_legacy,result_sha256_legacy,checkpoint_sha256_legacy,cohort_legacy,strict_minus_legacy
shunting,dendritic_shunting,42,scalar broadcast,scalar,0.8621000051498413,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/mnist_feedback_ladder/journal_mnist_feedback_ladder_strict_scalar_shunting_15seed_20260826004509,0,a924c00a09466ce23cda332ede97bc60e7d9e96542126a2f41c07347d707670c,567836da2cacda284a342e65bb8ae4884e642328a0cca245664b413438f3140d,6b0c43c512f9f129db58d8862347f013b15f1af0bf13d7e5e44925aa750e235b,matched_strict_scalar_control_2026-08-26,dendritic_shunting,scalar broadcast,per_soma,0.8966999650001526,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/mnist_feedback_ladder/journal_mnist_feedback_ladder_coordinates_shunting_15seed_20260825174136,0,a218341fbf041b6ae08d3b8524272653ab80c2824c6528e6ddc4824c7d267031,f696a815bd2c39dc8a029be6f716bd8c7d360c0694f9459e1da8eadf435bfddc,776167b2ea467b18e5415c717809b719f82bd8703d4f6809e69476bc4bf0316b,matched_current_source_coordinates_2026-08-25,-0.03459995985031128
shunting,dendritic_shunting,43,scalar broadcast,scalar,0.8585999608039856,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/mnist_feedback_ladder/journal_mnist_feedback_ladder_strict_scalar_shunting_15seed_20260826004509,1,4a2b7f3463c464b5a6abbfe7b26890baf84ce7b1fba05433a0e69ad1d2d521e1,5da8a985b5120084f6ff9a5c27e53bc3e987d67d388f426db10f335b1f311e5b,366b0b12b3344a5c9938b79f4fb4518da8d51e5443f676b1c4e76939797e62d4,matched_strict_scalar_control_2026-08-26,dendritic_shunting,scalar broadcast,per_soma,0.9086999893188477,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/mnist_feedback_ladder/journal_mnist_feedback_ladder_coordinates_shunting_15seed_20260825174136,1,136027279eabe6c40dfe37bcf62936e3c60fe118dce6accf46370fcf8977a289,d808f0c39d59e38063ee465cbb8a53bc473a7c5d3080e18d59f5299abe2e8912,b121e4d9bcc8aa8ada8453fc033c36dc9b7e7cfca4b2f5b9e0b5cb8cefcf4219,matched_current_source_coordinates_2026-08-25,-0.05010002851486206
shunting,dendritic_shunting,44,scalar broadcast,scalar,0.8932999968528748,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/mnist_feedback_ladder/journal_mnist_feedback_ladder_strict_scalar_shunting_15seed_20260826004509,2,2ad7e9cedcc451e7669464a3a296f0637dfd91f3a8eeb690bd2a730034b08047,2f14f95ec96e8bc4989cc1e47e4988d965b58f27ff60ecdb439da10f134dc6e3,fda5510a60156cbe7fd2e20342e094ac5b0e3d5f02e1cca47a54fea87967a153,matched_strict_scalar_control_2026-08-26,dendritic_shunting,scalar broadcast,per_soma,0.9057999849319458,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/mnist_feedback_ladder/journal_mnist_feedback_ladder_coordinates_shunting_15seed_20260825174136,2,5e4a5d5c69dfd2c3b1a7283d0543e9a58279321ae3d79725d2e995becb935afa,b9f5cc069d6826fad64f3e8ae72e50dae5651134d23ca1ae37e110076268c088,881728b626526fa6a42c098f343fac801b37827ff82f414d0903744a56d12117,matched_current_source_coordinates_2026-08-25,-0.012499988079071045
shunting,dendritic_shunting,45,scalar broadcast,scalar,0.8379999995231628,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/mnist_feedback_ladder/journal_mnist_feedback_ladder_strict_scalar_shunting_15seed_20260826004509,3,7937cc936109b5b4c8a55acac00e3d9ff103870b3ba424fbf4ce0db69e03c425,cbca548fcb320deff8867abbca77d5ce42bedc3af71dbec3bb6bbbf1e99f417f,4bac3180db9b49e53a61662c3dc8c751b7c1afd9afa43c67d1c901b662aa6374,matched_strict_scalar_control_2026-08-26,dendritic_shunting,scalar broadcast,per_soma,0.9097999930381775,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/mnist_feedback_ladder/journal_mnist_feedback_ladder_coordinates_shunting_15seed_20260825174136,3,e8cb473efdb3d41536e07103296240499745bad246279fc28c617cb68b21d801,3a3b9e7565bf4bdd1a725af72b8a2b88b8596a1965fde9126e61ce4e45275cd4,454282d2b535b8588093c17fa430bddb6f63496911ba6edfe45a0213fac7f93e,matched_current_source_coordinates_2026-08-25,-0.07179999351501465
shunting,dendritic_shunting,46,scalar broadcast,scalar,0.8580999970436096,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/mnist_feedback_ladder/journal_mnist_feedback_ladder_strict_scalar_shunting_15seed_20260826004509,4,6efdc5cccb46729d8e5ae517ce5a88bf2cd1d99f5eaf7e34bf8c328ae43af37c,b3cdd22afda3772d4b181f953a89f06a2ad8f29e07e8e3b3c2e326b3b71c1cfc,4d49687821a5592f948a2464dcdfae36e082ece83d4f48ba4ab15a0df30fe445,matched_strict_scalar_control_2026-08-26,dendritic_shunting,scalar broadcast,per_soma,0.9172999858856201,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/mnist_feedback_ladder/journal_mnist_feedback_ladder_coordinates_shunting_15seed_20260825174136,4,5cf8287145bb2479d221748b4339013656e541a3966592d2d6342cf800e03a54,8563a3381a62fb0bc0252c3ed619a292943bde5da969340142e55bdca67130bb,d29abe9beb816a29f23b1e9d0346571efa1b3940747b1293a1506c5a71af13db,matched_current_source_coordinates_2026-08-25,-0.0591999888420105
shunting,dendritic_shunting,47,scalar broadcast,scalar,0.8303999900817871,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/mnist_feedback_ladder/journal_mnist_feedback_ladder_strict_scalar_shunting_15seed_20260826004509,5,89ca595cf1d5170e49bbc9e01bf00b4d81182fb457be3ea8fc6fa5b351ef1227,220e736d0c478ad6ff48387b913799e695ee6de20b5467641898ebb079d3a44e,bdfdbbdeebd832f3c86817407ef8d254f31ee9ec8223552500306cd4f47b7845,matched_strict_scalar_control_2026-08-26,dendritic_shunting,scalar broadcast,per_soma,0.9055999517440796,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/mnist_feedback_ladder/journal_mnist_feedback_ladder_coordinates_shunting_15seed_20260825174136,5,f6c3620642859341c83b002c0f1d757c81cebf4099786f8b313cdc82354a1244,163d539398589086884ececa29b9f1a7601db267f18bd5227b51b0e890807c99,9cb4e2c7b4c1afe39aa694a7b600ea3425347a387cd455e80ccf3cd6e936f92a,matched_current_source_coordinates_2026-08-25,-0.07519996166229248
shunting,dendritic_shunting,48,scalar broadcast,scalar,0.856499969959259,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/mnist_feedback_ladder/journal_mnist_feedback_ladder_strict_scalar_shunting_15seed_20260826004509,6,2642ab18f2be0233b1372a66ad032340b3b0ab97db43a5b954582fad550efd88,b2262d6df896ea32fcd89bb090e41f01998a56e67633df34fc0dcf520924aaae,66a738157546a1a67d3cb648bd3c5a54df5a06bb7f9f1ff78ffefa9060f12de7,matched_strict_scalar_control_2026-08-26,dendritic_shunting,scalar broadcast,per_soma,0.9092999696731567,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/mnist_feedback_ladder/journal_mnist_feedback_ladder_coordinates_shunting_15seed_20260825174136,6,9141b2d07495fc6483b99834fb547d12364aa1715aae4e902b33284c51eaba0c,01a2d3bd22d17176a6592a05317cbc6c75042f50ac42d7b77f13ef5156c92108,57e1c40da18b9941722fc5d0dfe643d9a40a68b5f7081247f35728dd012df523,matched_current_source_coordinates_2026-08-25,-0.052799999713897705
shunting,dendritic_shunting,49,scalar broadcast,scalar,0.8743000030517578,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/mnist_feedback_ladder/journal_mnist_feedback_ladder_strict_scalar_shunting_15seed_20260826004509,7,190936bc9327c1c12718da05b07c9308dc48ba7676b0f57ee98afc3adb1ac745,2bdb2d1d1c93253b51d2d57446f24c2001a3f6e3df2b0d044f6e9298e0b93552,43fb86fd6fbb867a1c2f0468e198f742eca9dc1393f31e0e304eb99d08169847,matched_strict_scalar_control_2026-08-26,dendritic_shunting,scalar broadcast,per_soma,0.898099958896637,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/mnist_feedback_ladder/journal_mnist_feedback_ladder_coordinates_shunting_15seed_20260825174136,7,11a4513593e9356fd57c0b07a2030c516f8e26f6b881fd6ca6509e2515062a4e,ba26231e128ff5c2de57ad9b8e8505f1de4935ed5b1aa6ab328054e6e3640cb1,cdbb12b195cfc231bcba169515bddb3e1d0941a59c38d5cca1cd8e939649f44d,matched_current_source_coordinates_2026-08-25,-0.02379995584487915
shunting,dendritic_shunting,50,scalar broadcast,scalar,0.852899968624115,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/mnist_feedback_ladder/journal_mnist_feedback_ladder_strict_scalar_shunting_15seed_20260826004509,8,b02a614fb40e7853af176623f5338039a885471f669e90aebf5ec18fcbb271d3,772cd22e7060b1406aa2f1b35aea43d0fba1cfa3b139d480c590a529b3263fe9,d050166954bd239b8051b27e599ac6c660c9322cca65be3d6dd8d30e8248f4c4,matched_strict_scalar_control_2026-08-26,dendritic_shunting,scalar broadcast,per_soma,0.9088000059127808,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/mnist_feedback_ladder/journal_mnist_feedback_ladder_coordinates_shunting_15seed_20260825174136,8,0ed0e700e741306bbd98e955daa33564d40a557348f378b58f54530c67baa579,3ecabd02d0d661c483a453b76324c3911d9277363550e74a2d0b57615eef8356,dcff41299f01c1996a4faae8bda3589ad86ffe9980270f5d7227e327e9c2bc9f,matched_current_source_coordinates_2026-08-25,-0.05590003728866577
shunting,dendritic_shunting,51,scalar broadcast,scalar,0.8545999526977539,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/mnist_feedback_ladder/journal_mnist_feedback_ladder_strict_scalar_shunting_15seed_20260826004509,9,3093dbc66ddc395e58bb1dff7cd9d8fb7dff0a1c9c9e2d7d78b3548f0a340812,bd7fadea03356739126243021d8e70c9a90673da7e86f2de7adf3cc6bc99c4a9,536151f2bd2f037eda188891af20f48f757228d6246486dba83443bcf941c667,matched_strict_scalar_control_2026-08-26,dendritic_shunting,scalar broadcast,per_soma,0.9072999954223633,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/mnist_feedback_ladder/journal_mnist_feedback_ladder_coordinates_shunting_15seed_20260825174136,9,4fa9ef8d693e7b8924625a0af9ea08890a840bc6feff1d347da572f6a5b1aee9,c264d77e94b13586935a309bb34ec403f7a65b17fa2033caf7ad576dfe1dde5d,87aaf6898ca92b1a8aeb5b6124a38346f1cf272d986778a4dd87497c2bf58d06,matched_current_source_coordinates_2026-08-25,-0.052700042724609375
