seed,family,family_index,calibration_rows,calibration_noise_sd,alpha_scale,selected_candidate,pilot_candidate,observed_rank995,estimator_seconds,score_seconds,pilot_seconds,coefficient_nonzero,lasso_converged,alpha
820911,matching,0,64,0.0,0.15,mixed_p0,mixed_p1,8,0.013283786945976317,0.05015483289025724,0.18464954593218863,5,True,0.07003709418853983
820911,matching,0,64,0.5,0.15,mixed_p1,comb_p2,8,0.0035623539006337523,0.04875197389628738,0.06822082900907844,23,True,0.07754542482294832
820911,matching,0,256,0.0,0.15,mixed_p0,balanced_p0,8,0.002993820933625102,0.046302647911943495,0.07539829704910517,4,True,0.036326965968001855
820911,matching,0,256,0.5,0.15,mixed_p0,mixed_p1,8,0.0031129149720072746,0.04865816805977374,0.07446619204711169,47,True,0.04006210515692742
820911,matching,0,1024,0.0,0.15,mixed_p0,balanced_p0,8,0.008913323981687427,0.047570046968758106,0.1001194310374558,4,True,0.017656577258441854
820911,matching,0,1024,0.5,0.15,mixed_p0,mixed_p1,8,0.009151700069196522,0.04920761496759951,0.10111687099561095,60,True,0.020054410403562376
820911,quartet,1,64,0.0,0.15,balanced_p3,balanced_p1,8,0.002088699024170637,0.04577848000917584,0.061345625086687505,2,True,0.06493085404482793
820911,quartet,1,64,0.5,0.15,balanced_p3,comb_p2,8,0.0025871898978948593,0.04888897202908993,0.06190079404041171,24,True,0.07912502973234911
820911,quartet,1,256,0.0,0.15,balanced_p3,comb_p0,8,0.003025369020178914,0.04561696597374976,0.07495716097764671,2,True,0.034011743162190224
820911,quartet,1,256,0.5,0.15,balanced_p3,mixed_p3,8,0.0034488519886508584,0.0484469459624961,0.07511802890803665,43,True,0.03728963782312919
820911,quartet,1,1024,0.0,0.15,balanced_p3,mixed_p3,8,0.008778257993981242,0.04655751504469663,0.09911034710239619,2,True,0.0180829238985107
820911,quartet,1,1024,0.5,0.15,balanced_p3,balanced_p3,8,0.009813865064643323,0.050453135976567864,0.10704523604363203,64,True,0.020114241097121965
820911,nested_prefix,2,64,0.0,0.15,mixed_p1,mixed_p2,8,0.0020805399399250746,0.04670035804156214,0.06627464899793267,4,True,0.0737223205916998
820911,nested_prefix,2,64,0.5,0.15,mixed_p1,mixed_p1,8,0.0026499780360609293,0.050715185003355145,0.06482186494395137,25,True,0.07943621672280528
820911,nested_prefix,2,256,0.0,0.15,mixed_p1,balanced_p3,8,0.002994743990711868,0.04530840599909425,0.07888687902595848,4,True,0.037953732399661315
820911,nested_prefix,2,256,0.5,0.15,mixed_p1,mixed_p2,8,0.003360056085512042,0.04719141696114093,0.07493408094160259,54,True,0.038994921677172494
820911,nested_prefix,2,1024,0.0,0.15,mixed_p1,mixed_p1,8,0.008978732977993786,0.04510100500192493,0.10184321703854948,4,True,0.01878900852382301
820911,nested_prefix,2,1024,0.5,0.15,mixed_p1,mixed_p2,8,0.011876473086886108,0.04823917697649449,0.10348659905139357,58,True,0.020103891781670945
820911,random_interactions,3,64,0.0,0.15,mixed_p1,comb_p2,7,0.002190725994296372,0.046042305999435484,0.062467209063470364,5,True,0.06069737548468438
820911,random_interactions,3,64,0.5,0.15,comb_p1,comb_p1,8,0.0028724659932777286,0.04714978497941047,0.06421671598218381,26,True,0.07596749726608762
820911,random_interactions,3,256,0.0,0.15,mixed_p1,mixed_p1,7,0.0028756079263985157,0.04522582492791116,0.07700686505995691,4,True,0.03652376659375082
820911,random_interactions,3,256,0.5,0.15,comb_p1,comb_p1,8,0.0033699499908834696,0.04904308693949133,0.07687699794769287,58,True,0.040183827380657774
820911,random_interactions,3,1024,0.0,0.15,mixed_p1,mixed_p1,7,0.009466264978982508,0.046814198954962194,0.10699672205373645,4,True,0.017623284209632373
820911,random_interactions,3,1024,0.5,0.15,mixed_p2,comb_p2,7,0.010573087958618999,0.052024431992322206,0.1035629550460726,76,True,0.02066671634070765
